Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.057483,0.000011,0.250056,0.000018,0.000002,0.000003,0.000002,0.307574
0.064124,0.000012,0.198333,0.000013,0.000001,0.000002,0.000001,0.262486
0.069794,0.000011,0.256967,0.000017,0.000002,0.000004,0.000002,0.326795
0.065919,0.000010,0.257930,0.000017,0.000002,0.000003,0.000002,0.323883
0.061018,0.000011,0.202118,0.000015,0.000001,0.000003,0.000001,0.263168
0.093749,0.000014,0.283463,0.000013,0.000001,0.000003,0.000001,0.377244
0.089530,0.000018,0.267830,0.000023,0.000002,0.000003,0.000001,0.357406
0.061979,0.000011,0.201454,0.000013,0.000001,0.000002,0.000001,0.263462
0.093556,0.000016,0.239724,0.000014,0.000001,0.000002,0.000001,0.333314
0.066927,0.000011,0.303324,0.000013,0.000001,0.000003,0.000001,0.370280
0.067308,0.000012,0.190258,0.000013,0.000001,0.000002,0.000001,0.257596
0.090541,0.000015,0.320611,0.000018,0.000002,0.000003,0.000001,0.411191
0.064017,0.000010,0.255367,0.000017,0.000002,0.000003,0.000002,0.319417
0.067413,0.000010,0.398687,0.000022,0.000002,0.000003,0.000002,0.466139
0.088365,0.000016,0.311608,0.000019,0.000002,0.000003,0.000002,0.400014
0.089599,0.000014,0.281504,0.000014,0.000001,0.000002,0.000001,0.371134
0.042214,0.000010,0.826864,0.000014,0.000001,0.000003,0.000001,0.869107
0.062826,0.000010,0.273880,0.000014,0.000001,0.000002,0.000001,0.336734
0.090747,0.000016,0.297491,0.000021,0.000002,0.000004,0.000002,0.388282
0.092029,0.000015,0.062528,0.000019,0.000002,0.000003,0.000002,0.154598
0.089283,0.000015,0.209850,0.000013,0.000001,0.000002,0.000001,0.299165
0.067322,0.000011,0.032414,0.000014,0.000001,0.000002,0.000001,0.099766
0.061923,0.000011,0.067486,0.000023,0.000002,0.000003,0.000002,0.129449
0.070173,0.000017,0.044973,0.000019,0.000002,0.000003,0.000002,0.115189
0.064868,0.000016,0.282184,0.000016,0.000001,0.000002,0.000001,0.347089
0.093730,0.000016,0.325885,0.000018,0.000002,0.000003,0.000002,0.419655
0.066145,0.000013,0.390018,0.000016,0.000001,0.000002,0.000001,0.456197
0.071145,0.000012,0.266025,0.000017,0.000002,0.000003,0.000002,0.337204
0.088638,0.000012,0.032080,0.000015,0.000001,0.000003,0.000001,0.120750
0.065384,0.000011,0.300314,0.000019,0.000002,0.000010,0.000002,0.365742
0.070761,0.000014,0.043906,0.000018,0.000002,0.000003,0.000002,0.114705
0.083771,0.000014,0.031659,0.000015,0.000002,0.000003,0.000001,0.115465
0.090204,0.000015,0.308610,0.000022,0.000002,0.000003,0.000002,0.398858
0.093230,0.000014,0.035472,0.000016,0.000002,0.000003,0.000001,0.128738
0.059862,0.000011,0.195943,0.000013,0.000001,0.000002,0.000001,0.255833
0.064700,0.000011,0.030682,0.000014,0.000001,0.000002,0.000001,0.095412
0.066527,0.000010,0.031210,0.000015,0.000001,0.000002,0.000001,0.097767
0.063488,0.000009,0.193859,0.000014,0.000001,0.000002,0.000001,0.257375
0.067772,0.000011,0.031387,0.000014,0.000001,0.000002,0.000001,0.099189
0.066337,0.000003,0.031485,0.000014,0.000001,0.000002,0.000001,0.097845
0.062122,0.000003,0.190821,0.000015,0.000001,0.000002,0.000001,0.252964
