Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.058536,0.000010,0.194878,0.000014,0.000001,0.000003,0.000001,0.253444
0.064459,0.000012,0.197447,0.000005,0.000001,0.000003,0.000001,0.261928
0.069473,0.000011,0.244128,0.000013,0.000001,0.000002,0.000001,0.313630
0.065875,0.000012,0.239624,0.000016,0.000002,0.000004,0.000001,0.305535
0.062874,0.000011,0.202515,0.000014,0.000001,0.000003,0.000001,0.265419
0.093811,0.000013,0.227820,0.000015,0.000001,0.000003,0.000001,0.321664
0.064739,0.000027,0.201783,0.000013,0.000001,0.000002,0.000001,0.266566
0.093310,0.000015,0.207772,0.000014,0.000001,0.000003,0.000001,0.301117
0.064542,0.000005,0.320742,0.000016,0.000002,0.000004,0.000002,0.385312
0.064886,0.000012,0.256014,0.000017,0.000002,0.000004,0.000002,0.320936
0.088865,0.000016,0.317686,0.000014,0.000002,0.000003,0.000002,0.406587
0.066597,0.000013,0.184447,0.000013,0.000001,0.000002,0.000001,0.251074
0.064029,0.000011,0.227071,0.000013,0.000001,0.000002,0.000001,0.291128
0.082136,0.000013,0.387320,0.000017,0.000001,0.000003,0.000001,0.469491
0.090360,0.000017,0.336685,0.000018,0.000002,0.000003,0.000001,0.427087
0.061624,0.000011,0.232288,0.000014,0.000001,0.000002,0.000001,0.293943
0.040583,0.000009,0.816474,0.000014,0.000001,0.000002,0.000001,0.857085
0.092817,0.000016,0.289622,0.000017,0.000002,0.000003,0.000002,0.382479
0.070034,0.000188,0.048497,0.000016,0.000001,0.000002,0.000001,0.118739
0.073279,0.000015,0.046022,0.000019,0.000002,0.000003,0.000002,0.119341
0.084018,0.000012,0.308059,0.000020,0.000002,0.000003,0.000002,0.392115
0.062038,0.000013,0.242369,0.000013,0.000001,0.000002,0.000001,0.304438
0.095004,0.000015,0.291222,0.000015,0.000001,0.000002,0.000001,0.386260
0.063659,0.000011,0.194589,0.000015,0.000001,0.000002,0.000001,0.258277
0.088285,0.000013,0.084344,0.000019,0.000002,0.000004,0.000002,0.172669
0.067201,0.000011,0.308947,0.000018,0.000002,0.000003,0.000002,0.376183
0.087829,0.000017,0.043752,0.000019,0.000002,0.000003,0.000002,0.131623
0.082041,0.000015,0.411588,0.000021,0.000002,0.000003,0.000002,0.493671
0.062866,0.000004,0.030534,0.000015,0.000001,0.000002,0.000001,0.093423
0.092136,0.000014,0.285707,0.000014,0.000001,0.000002,0.000001,0.377875
0.077681,0.000012,0.030258,0.000015,0.000001,0.000002,0.000001,0.107971
0.088449,0.000015,0.042840,0.000020,0.000002,0.000004,0.000002,0.131331
0.066525,0.000011,0.031236,0.000014,0.000001,0.000003,0.000001,0.097790
0.068248,0.000012,0.199577,0.000013,0.000001,0.000002,0.000001,0.267854
0.082824,0.000016,0.271500,0.000014,0.000001,0.000002,0.000001,0.354359
0.067556,0.000014,0.042146,0.000018,0.000002,0.000003,0.000002,0.109740
0.083871,0.000012,0.029845,0.000015,0.000002,0.000003,0.000001,0.113749
0.064369,0.000010,0.194028,0.000013,0.000001,0.000003,0.000001,0.258425
0.066781,0.000010,0.030983,0.000015,0.000001,0.000002,0.000001,0.097793
0.069527,0.000014,0.042338,0.000017,0.000002,0.000003,0.000002,0.111903
0.084299,0.000012,0.033999,0.000016,0.000002,0.000003,0.000001,0.118333
0.064372,0.000010,0.191351,0.000013,0.000001,0.000002,0.000001,0.255750
0.066491,0.000009,0.031272,0.000015,0.000001,0.000002,0.000001,0.097792
0.070708,0.000016,0.048117,0.000018,0.000002,0.000003,0.000002,0.118866
0.087517,0.000012,0.030754,0.000015,0.000002,0.000003,0.000001,0.118304
0.062770,0.000009,0.197536,0.000005,0.000001,0.000002,0.000001,0.260324
0.065836,0.000011,0.029921,0.000014,0.000001,0.000002,0.000001,0.095787
0.065990,0.000011,0.079603,0.000016,0.000982,0.000010,0.000001,0.146613
0.067506,0.000009,0.030104,0.000018,0.000002,0.000003,0.000002,0.097643
0.066745,0.000010,0.029990,0.000014,0.000002,0.000002,0.000001,0.096765
0.062445,0.000009,0.192301,0.000014,0.000001,0.000002,0.000001,0.254773
0.065680,0.000009,0.029157,0.000014,0.000001,0.000002,0.000001,0.094865
0.065599,0.000004,0.029448,0.000014,0.000001,0.000002,0.000001,0.095068
0.066665,0.000009,0.029464,0.000013,0.000002,0.000002,0.000001,0.096156
0.067021,0.000009,0.029333,0.000014,0.000001,0.000002,0.000001,0.096381
0.065441,0.000009,0.029065,0.000014,0.000001,0.000002,0.000001,0.094534
0.066296,0.000010,0.029862,0.000014,0.000001,0.000002,0.000001,0.096186
0.065216,0.000011,0.029538,0.000014,0.000001,0.000002,0.000001,0.094784
0.067651,0.000011,0.030030,0.000014,0.000001,0.000002,0.000001,0.097710
0.067630,0.000010,0.029845,0.000014,0.000001,0.000002,0.000001,0.097503
0.067784,0.000010,0.029445,0.000014,0.000001,0.000002,0.000001,0.097257
0.062116,0.000010,0.029508,0.000014,0.000001,0.000002,0.000001,0.091652
0.065135,0.000011,0.029705,0.000014,0.000001,0.000003,0.000001,0.094871
0.067250,0.000010,0.029867,0.000014,0.000001,0.000003,0.000001,0.097145
0.067076,0.000010,0.029770,0.000013,0.000001,0.000002,0.000001,0.096875
0.066699,0.000011,0.030432,0.000014,0.000001,0.000002,0.000001,0.097160
0.064997,0.000011,0.053759,0.000016,0.000001,0.000003,0.000001,0.118788
0.065420,0.000009,0.030597,0.000013,0.000001,0.000002,0.000001,0.096043
0.067426,0.000012,0.030264,0.000015,0.000001,0.000002,0.000001,0.097722
0.066727,0.000010,0.029728,0.000014,0.000001,0.000002,0.000001,0.096483
0.066823,0.000011,0.029454,0.000013,0.000001,0.000002,0.000001,0.096305
0.064748,0.000010,0.029087,0.000012,0.000001,0.000002,0.000001,0.093862
0.066064,0.000012,0.029721,0.000015,0.000002,0.000002,0.000001,0.095816
0.066202,0.000011,0.046687,0.000017,0.000001,0.000003,0.000001,0.112922
0.068335,0.000010,0.029738,0.000014,0.000001,0.000002,0.000001,0.098102
0.066254,0.000011,0.029704,0.000014,0.000001,0.000002,0.000001,0.095987
0.064651,0.000012,0.029758,0.000015,0.000001,0.000002,0.000001,0.094440
