Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.067643,0.000012,0.226277,0.000012,0.000001,0.000003,0.000001,0.293949
0.064943,0.000012,0.195318,0.000018,0.000001,0.000002,0.000001,0.260296
0.067087,0.000012,0.201116,0.000014,0.000002,0.000003,0.000001,0.268237
0.079827,0.000022,0.314709,0.000023,0.000002,0.000012,0.000002,0.394596
0.067107,0.000011,0.199711,0.000014,0.000001,0.000002,0.000001,0.266847
0.067925,0.000010,0.238276,0.000013,0.000001,0.000002,0.000001,0.306229
0.066008,0.000013,0.227436,0.000014,0.000001,0.000002,0.000001,0.293474
0.065143,0.000010,0.291486,0.000015,0.000001,0.000002,0.000001,0.356659
0.093006,0.000015,0.376132,0.000018,0.000002,0.000003,0.000002,0.469177
0.060850,0.000011,0.404309,0.000018,0.000002,0.000004,0.000002,0.465195
0.062634,0.000009,0.218813,0.000015,0.000002,0.000004,0.000001,0.281478
0.091032,0.000017,0.278417,0.000018,0.000002,0.000003,0.000001,0.369490
0.067532,0.000011,0.352975,0.000016,0.000001,0.000002,0.000001,0.420538
0.087571,0.000021,0.318229,0.000017,0.000002,0.000004,0.000001,0.405845
0.066919,0.000011,0.189948,0.000014,0.000001,0.000002,0.000001,0.256896
0.062938,0.000011,0.227745,0.000017,0.000002,0.000003,0.000002,0.290716
0.089299,0.000015,0.270710,0.000017,0.000002,0.000004,0.000001,0.360047
0.092804,0.000013,0.358536,0.000018,0.000002,0.000004,0.000002,0.451379
0.065356,0.000010,0.282253,0.000018,0.000002,0.000003,0.000001,0.347643
0.080077,0.000009,0.193183,0.000015,0.000001,0.000003,0.000001,0.273290
0.082988,0.000013,0.316648,0.000021,0.000002,0.000003,0.000002,0.399677
0.089975,0.000015,0.381424,0.000019,0.000002,0.000003,0.000002,0.471439
0.089008,0.000017,0.287057,0.000016,0.000002,0.000003,0.000002,0.376105
0.089297,0.000016,0.268251,0.000014,0.000001,0.000002,0.000001,0.357582
0.047935,0.000013,1.078169,0.000015,0.000001,0.000002,0.000001,1.126136
0.086385,0.000014,0.043239,0.000019,0.000060,0.000011,0.000002,0.129730
0.076698,0.000012,0.313904,0.000022,0.000002,0.000004,0.000002,0.390645
0.063709,0.000010,0.031030,0.000015,0.000001,0.000002,0.000001,0.094768
0.087230,0.000012,0.251663,0.000017,0.000002,0.000003,0.000002,0.338927
0.093162,0.000014,0.315271,0.000019,0.000002,0.000003,0.000002,0.408471
0.093086,0.000013,0.043561,0.000018,0.000002,0.000003,0.000002,0.136685
0.070649,0.000017,0.284319,0.000014,0.000001,0.000002,0.000001,0.355003
0.087211,0.000015,0.341427,0.000022,0.000002,0.000003,0.000002,0.428681
0.086807,0.000020,0.033557,0.000031,0.000002,0.000003,0.000001,0.120421
0.096510,0.000005,0.262954,0.000015,0.000001,0.000002,0.000001,0.359488
0.075959,0.000011,0.248829,0.000018,0.000002,0.000003,0.000002,0.324824
0.089595,0.000014,0.043136,0.000005,0.000002,0.000003,0.000002,0.132757
0.088766,0.000014,0.225671,0.000014,0.000001,0.000002,0.000001,0.314469
0.063985,0.000010,0.030573,0.000015,0.000001,0.000002,0.000001,0.094587
0.065574,0.000011,0.033523,0.000015,0.000001,0.000002,0.000001,0.099128
0.090723,0.000014,0.043302,0.000019,0.000002,0.000004,0.000002,0.134066
0.080541,0.000011,0.270992,0.000016,0.000002,0.000003,0.000002,0.351565
0.067595,0.000011,0.034426,0.000012,0.000001,0.000002,0.000001,0.102049
0.079381,0.000012,0.222586,0.000022,0.000002,0.000008,0.000002,0.302012
0.092589,0.000015,0.034363,0.000016,0.000002,0.000003,0.000001,0.126988
0.064145,0.000010,0.192632,0.000014,0.000001,0.000002,0.000001,0.256805
0.068042,0.000012,0.030107,0.000015,0.000001,0.000002,0.000001,0.098181
0.089641,0.000015,0.122430,0.000020,0.001161,0.000009,0.000001,0.213278
0.093131,0.000013,0.041855,0.000019,0.000002,0.000003,0.000002,0.135026
0.064707,0.000009,0.029397,0.000015,0.000001,0.000002,0.000001,0.094132
0.066224,0.000010,0.029194,0.000015,0.000001,0.000002,0.000001,0.095447
0.064825,0.000004,0.265899,0.000021,0.000001,0.000002,0.000001,0.330754
0.093431,0.000014,0.043120,0.000018,0.000002,0.000004,0.000002,0.136591
0.063621,0.000010,0.272508,0.000014,0.000001,0.000002,0.000001,0.336159
0.061997,0.000009,0.182706,0.000014,0.000001,0.000002,0.000001,0.244731
0.065084,0.000004,0.029883,0.000004,0.000001,0.000002,0.000001,0.094980
0.066466,0.000011,0.029805,0.000015,0.000001,0.000002,0.000001,0.096301
0.066559,0.000010,0.029693,0.000014,0.000001,0.000002,0.000001,0.096281
0.067225,0.000010,0.029987,0.000014,0.000001,0.000002,0.000001,0.097241
0.063194,0.000011,0.186174,0.000015,0.000001,0.000002,0.000001,0.249399
0.068008,0.000011,0.030027,0.000014,0.000001,0.000002,0.000001,0.098064
0.062270,0.000011,0.029401,0.000014,0.000032,0.000011,0.000001,0.091741
0.064618,0.000011,0.029559,0.000014,0.000001,0.000002,0.000001,0.094206
0.066705,0.000011,0.029799,0.000014,0.000001,0.000002,0.000001,0.096533
0.067543,0.000012,0.029691,0.000014,0.000001,0.000002,0.000001,0.097264
0.066068,0.000004,0.029872,0.000012,0.000001,0.000002,0.000001,0.095960
0.066019,0.000011,0.054705,0.000017,0.000001,0.000003,0.000001,0.120758
0.065311,0.000011,0.029686,0.000013,0.000001,0.000002,0.000001,0.095026
0.067052,0.000011,0.029325,0.000014,0.000001,0.000002,0.000001,0.096407
0.066641,0.000011,0.030203,0.000015,0.000001,0.000003,0.000001,0.096875
0.066669,0.000010,0.029229,0.000014,0.000001,0.000002,0.000001,0.095928
0.064210,0.000010,0.029097,0.000014,0.000001,0.000002,0.000001,0.093335
0.066146,0.000010,0.029279,0.000015,0.000036,0.000008,0.000001,0.095496
0.066345,0.000010,0.047154,0.000016,0.000001,0.000002,0.000001,0.113531
0.068471,0.000010,0.030400,0.000014,0.000001,0.000002,0.000001,0.098900
0.066318,0.000011,0.029659,0.000015,0.000001,0.000002,0.000001,0.096008
0.064572,0.000010,0.029717,0.000015,0.000001,0.000002,0.000001,0.094319
