Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.058905,0.000010,0.194576,0.000015,0.000002,0.000004,0.000001,0.253512
0.064615,0.000021,0.194994,0.000014,0.000001,0.000003,0.000001,0.259648
0.070080,0.000011,0.282704,0.000016,0.000002,0.000003,0.000002,0.352817
0.064343,0.000010,0.223177,0.000013,0.000001,0.000003,0.000001,0.287548
0.066416,0.000011,0.262599,0.000006,0.000002,0.000004,0.000002,0.329038
0.067072,0.000013,0.199525,0.000004,0.000001,0.000002,0.000001,0.266618
0.091738,0.000014,0.316986,0.000005,0.000001,0.000002,0.000001,0.408747
0.064998,0.000011,0.262549,0.000017,0.000001,0.000002,0.000001,0.327581
0.066229,0.000013,0.194892,0.000014,0.000001,0.000002,0.000001,0.261153
0.088864,0.000014,0.255929,0.000016,0.000002,0.000003,0.000002,0.344829
0.091193,0.000014,0.380847,0.000019,0.000002,0.000004,0.000001,0.472081
0.064697,0.000010,0.379897,0.000016,0.000002,0.000003,0.000001,0.444625
0.091297,0.000016,0.294208,0.000017,0.000002,0.000003,0.000002,0.385544
0.065887,0.000005,0.287605,0.000016,0.000002,0.000003,0.000002,0.353520
0.090003,0.000018,0.277535,0.000013,0.000001,0.000003,0.000001,0.367574
0.063729,0.000011,0.290236,0.000017,0.000002,0.000003,0.000002,0.353999
0.040182,0.000010,0.822753,0.000011,0.000001,0.000002,0.000001,0.862961
0.088960,0.000012,0.045730,0.000019,0.000002,0.000004,0.000002,0.134729
0.090644,0.000016,0.301279,0.000018,0.000002,0.000003,0.000001,0.391964
0.066680,0.000011,0.031662,0.000016,0.000001,0.000002,0.000001,0.098373
0.072432,0.000012,0.273540,0.000014,0.000001,0.000002,0.000001,0.346001
0.089993,0.000014,0.291988,0.000017,0.000002,0.000003,0.000002,0.382018
0.064997,0.000012,0.057629,0.000016,0.000001,0.000002,0.000001,0.122658
0.075487,0.000013,0.032329,0.000008,0.000002,0.000003,0.000002,0.107843
0.068277,0.000013,0.325777,0.000005,0.000002,0.000003,0.000001,0.394078
0.090213,0.000016,0.308534,0.000016,0.000002,0.000003,0.000001,0.398784
0.072763,0.000011,0.031874,0.000019,0.000002,0.000003,0.000002,0.104673
0.066194,0.000010,0.216625,0.000016,0.000001,0.000002,0.000001,0.282850
0.066157,0.000014,0.326690,0.000005,0.000002,0.000003,0.000002,0.392872
0.059587,0.000010,0.031890,0.000014,0.000001,0.000002,0.000001,0.091505
0.090649,0.000016,0.305421,0.000013,0.000001,0.000002,0.000001,0.396104
0.071563,0.000015,0.043359,0.000019,0.000002,0.000003,0.000002,0.114963
0.084082,0.000013,0.031570,0.000016,0.000002,0.000003,0.000002,0.115688
0.064554,0.000011,0.198738,0.000014,0.000001,0.000002,0.000001,0.263321
0.066595,0.000011,0.031957,0.000015,0.000001,0.000002,0.000001,0.098582
0.067613,0.000014,0.043628,0.000019,0.000002,0.000003,0.000002,0.111280
0.083879,0.000013,0.030955,0.000016,0.000002,0.000003,0.000001,0.114869
0.064747,0.000010,0.192973,0.000013,0.000001,0.000002,0.000001,0.257748
0.066753,0.000010,0.031508,0.000015,0.000001,0.000002,0.000001,0.098290
0.069751,0.000015,0.044409,0.000018,0.000002,0.000003,0.000002,0.114200
0.085311,0.000013,0.034651,0.000016,0.000002,0.000004,0.000001,0.119998
0.064561,0.000011,0.194999,0.000014,0.000001,0.000002,0.000001,0.259590
0.068089,0.000010,0.031778,0.000015,0.000001,0.000002,0.000001,0.099895
0.070492,0.000016,0.049720,0.000019,0.000002,0.000003,0.000002,0.120253
0.088196,0.000012,0.031727,0.000016,0.000002,0.000004,0.000001,0.119959
0.062691,0.000010,0.193367,0.000013,0.000001,0.000002,0.000001,0.256087
0.065868,0.000010,0.030946,0.000014,0.000001,0.000002,0.000001,0.096843
0.066882,0.000011,0.079296,0.000016,0.000907,0.000019,0.000002,0.147132
0.072349,0.000011,0.031614,0.000018,0.000002,0.000003,0.000002,0.103998
0.069231,0.000011,0.029851,0.000015,0.000001,0.000002,0.000001,0.099112
0.062531,0.000010,0.193805,0.000014,0.000001,0.000002,0.000001,0.256365
0.065119,0.000019,0.030919,0.000018,0.000002,0.000003,0.000002,0.096082
0.062096,0.000010,0.032748,0.000015,0.000001,0.000002,0.000001,0.094874
0.067864,0.000009,0.030593,0.000019,0.000002,0.000003,0.000002,0.098491
0.065383,0.000010,0.030845,0.000014,0.000001,0.000002,0.000001,0.096256
0.066256,0.000009,0.030470,0.000018,0.000002,0.000003,0.000002,0.096759
0.064875,0.000010,0.030841,0.000015,0.000001,0.000002,0.000001,0.095745
0.066118,0.000010,0.030701,0.000019,0.000002,0.000003,0.000002,0.096854
0.065741,0.000010,0.030851,0.000014,0.000001,0.000002,0.000001,0.096621
0.067625,0.000010,0.030105,0.000018,0.000002,0.000003,0.000002,0.097764
0.067363,0.000011,0.030247,0.000015,0.000001,0.000002,0.000001,0.097640
0.062524,0.000003,0.030221,0.000014,0.000001,0.000002,0.000001,0.092766
0.064039,0.000010,0.030532,0.000014,0.000001,0.000002,0.000001,0.094601
0.066634,0.000010,0.030656,0.000004,0.000001,0.000002,0.000001,0.097309
0.070518,0.000015,0.042284,0.000018,0.000002,0.000003,0.000002,0.112841
0.085023,0.000012,0.030131,0.000015,0.000002,0.000003,0.000001,0.115187
0.065577,0.000011,0.030178,0.000015,0.000001,0.000002,0.000001,0.095785
0.069675,0.000016,0.041925,0.000017,0.000002,0.000003,0.000002,0.111639
0.084488,0.000012,0.029778,0.000015,0.000002,0.000003,0.000001,0.114299
