Sample,Sample<->Recognize,Recognize,Recognize<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.058792,0.000011,0.195481,0.000012,0.000001,0.000003,0.000001,0.254301
0.070501,0.000011,0.196817,0.000014,0.000001,0.000002,0.000001,0.267348
0.063659,0.000010,0.194858,0.000012,0.000001,0.000002,0.000001,0.258544
0.067724,0.000011,0.201420,0.000014,0.000001,0.000003,0.000001,0.269173
0.066141,0.000009,0.260185,0.000015,0.000002,0.000003,0.000002,0.326355
0.041347,0.000010,0.409965,0.000013,0.000001,0.000003,0.000001,0.451339
0.060977,0.000011,0.205712,0.000014,0.000001,0.000002,0.000001,0.266718
0.093111,0.000013,0.229294,0.000014,0.000001,0.000002,0.000001,0.322436
0.092935,0.000014,0.202401,0.000015,0.000001,0.000002,0.000001,0.295369
0.062292,0.000011,0.275488,0.000019,0.000002,0.000013,0.000002,0.337825
0.064543,0.000011,0.193548,0.000014,0.000001,0.000002,0.000001,0.258121
0.068026,0.000017,0.329582,0.000016,0.000002,0.000014,0.000002,0.397658
0.083897,0.000010,0.183270,0.000014,0.000001,0.000002,0.000001,0.267195
0.088104,0.000014,0.289393,0.000018,0.000002,0.000003,0.000002,0.377535
0.065204,0.000010,0.188781,0.000013,0.000001,0.000002,0.000001,0.254012
0.065941,0.000016,0.287639,0.000019,0.000002,0.000003,0.000002,0.353620
0.066609,0.000010,0.190667,0.000014,0.000001,0.000002,0.000001,0.257305
0.091175,0.000015,0.434377,0.000019,0.000002,0.000003,0.000002,0.525594
0.080085,0.000016,0.284429,0.000005,0.000002,0.000002,0.000002,0.364541
0.093178,0.000013,0.218446,0.000013,0.000002,0.000003,0.000001,0.311657
0.064661,0.000011,0.199407,0.000013,0.000001,0.000002,0.000001,0.264096
0.087123,0.000014,0.225032,0.000014,0.000001,0.000002,0.000001,0.312186
0.065746,0.000010,0.193327,0.000013,0.000001,0.000002,0.000001,0.259100
0.089503,0.000014,0.332379,0.000020,0.000002,0.000004,0.000002,0.421925
0.064282,0.000010,0.198230,0.000013,0.000001,0.000002,0.000001,0.262539
0.066481,0.000010,0.434646,0.000016,0.000001,0.000002,0.000001,0.501157
0.083582,0.000011,0.339255,0.000020,0.000002,0.000004,0.000002,0.422876
0.067181,0.000011,0.218788,0.000017,0.000002,0.000003,0.000002,0.286003
0.102944,0.000015,0.252753,0.000004,0.000001,0.000002,0.000001,0.355720
0.062831,0.000003,0.194514,0.000015,0.000001,0.000002,0.000001,0.257367
0.067603,0.000010,0.194718,0.000014,0.000001,0.000002,0.000001,0.262349
0.090009,0.000015,0.307919,0.000014,0.000001,0.000002,0.000001,0.397961
0.064556,0.000010,0.246153,0.000020,0.000002,0.000003,0.000001,0.310746
0.101581,0.000014,0.375768,0.000008,0.000002,0.000002,0.000001,0.477376
0.065640,0.000010,0.193329,0.000014,0.000001,0.000002,0.000001,0.258997
0.086285,0.000010,0.189345,0.000014,0.000001,0.000003,0.000001,0.275659
0.066966,0.000010,0.300722,0.000018,0.000002,0.000003,0.000002,0.367723
0.089419,0.000012,0.286703,0.000017,0.000002,0.000003,0.000002,0.376158
0.064801,0.000010,0.194611,0.000015,0.000001,0.000002,0.000001,0.259441
0.072525,0.000014,0.271990,0.000013,0.000001,0.000002,0.000001,0.344545
0.067130,0.000014,0.255791,0.000016,0.000001,0.000003,0.000001,0.322955
0.092672,0.000015,0.308578,0.000015,0.000002,0.000003,0.000002,0.401285
0.067595,0.000011,0.198280,0.000015,0.000001,0.000002,0.000001,0.265905
0.066371,0.000010,0.193908,0.000014,0.000001,0.000002,0.000001,0.260307
0.064250,0.000010,0.270676,0.000018,0.000002,0.000003,0.000001,0.334959
0.066351,0.000012,0.196956,0.000014,0.000001,0.000002,0.000001,0.263337
0.088945,0.000016,0.310824,0.000014,0.000001,0.000002,0.000001,0.399803
0.075103,0.000014,0.201589,0.000014,0.000001,0.000002,0.000001,0.276724
0.087784,0.000010,0.239090,0.000016,0.001043,0.000009,0.000001,0.327953
0.062835,0.000010,0.183097,0.000013,0.000001,0.000002,0.000001,0.245959
0.065248,0.000012,0.184541,0.000014,0.000001,0.000002,0.000001,0.249819
0.066587,0.000010,0.167601,0.000014,0.000001,0.000002,0.000001,0.234217
0.070975,0.000016,0.320014,0.000017,0.000002,0.000002,0.000002,0.391029
0.091492,0.000016,0.283343,0.000012,0.000001,0.000002,0.000001,0.374868
0.066764,0.000009,0.181796,0.000014,0.000001,0.000002,0.000001,0.248587
0.069907,0.000014,0.307424,0.000019,0.000002,0.000004,0.000002,0.377370
0.065004,0.000009,0.187518,0.000014,0.000001,0.000002,0.000001,0.252549
0.067810,0.000011,0.187279,0.000015,0.000001,0.000002,0.000001,0.255119
0.089772,0.000015,0.301641,0.000017,0.000002,0.000003,0.000001,0.391451
0.066168,0.000013,0.306566,0.000014,0.000001,0.000002,0.000001,0.372764
0.090569,0.000016,0.310590,0.000017,0.000002,0.000004,0.000002,0.401200
0.064922,0.000010,0.213247,0.000014,0.000001,0.000003,0.000001,0.278199
0.064171,0.000016,0.311472,0.000016,0.000002,0.000003,0.000002,0.375681
0.088447,0.000015,0.293208,0.000014,0.000001,0.000003,0.000001,0.381689
0.063100,0.000011,0.192002,0.000014,0.000001,0.000002,0.000001,0.255130
0.070754,0.000016,0.317894,0.000017,0.000002,0.000003,0.000002,0.388688
0.063990,0.000009,0.188416,0.000014,0.000001,0.000002,0.000001,0.252433
0.091065,0.000016,0.302146,0.000013,0.000001,0.000002,0.000001,0.393244
0.067590,0.000011,0.176570,0.000014,0.000001,0.000002,0.000001,0.244189
0.074260,0.000011,0.342356,0.000022,0.000002,0.000003,0.000002,0.416656
0.093285,0.000014,0.295411,0.000014,0.000001,0.000003,0.000001,0.388729
0.067033,0.000015,0.300511,0.000017,0.000002,0.000004,0.000002,0.367583
0.088086,0.000010,0.186258,0.000014,0.000001,0.000002,0.000001,0.274371
0.090221,0.000013,0.278749,0.000018,0.000002,0.000002,0.000002,0.369007
0.065359,0.000010,0.188408,0.000014,0.000001,0.000002,0.000001,0.253794
0.067928,0.000016,0.286153,0.000016,0.000001,0.000002,0.000001,0.354117
0.067628,0.000010,0.187598,0.000014,0.000001,0.000002,0.000001,0.255255
0.066790,0.000010,0.186523,0.000014,0.000001,0.000002,0.000001,0.253341
0.076586,0.000016,0.306611,0.000018,0.000002,0.000003,0.000002,0.383236
0.066188,0.000009,0.268944,0.000016,0.000002,0.000003,0.000002,0.335162
0.092645,0.000013,0.249937,0.000015,0.000002,0.000004,0.000001,0.342617
0.066170,0.000010,0.222571,0.000014,0.000001,0.000002,0.000001,0.288769
0.065035,0.000010,0.197839,0.000017,0.000002,0.000002,0.000001,0.262907
0.088113,0.000014,0.287940,0.000012,0.000001,0.000003,0.000001,0.376085
0.065673,0.000010,0.189685,0.000014,0.000001,0.000002,0.000001,0.255387
0.062791,0.000010,0.260666,0.000013,0.000001,0.000002,0.000001,0.323483
0.093339,0.000013,0.278212,0.000014,0.000001,0.000002,0.000001,0.371582
0.063720,0.000009,0.235558,0.000018,0.000002,0.000004,0.000002,0.299312
0.063721,0.000010,0.177672,0.000014,0.000001,0.000002,0.000001,0.241421
0.092786,0.000012,0.266766,0.000014,0.000001,0.000002,0.000001,0.359583
0.062267,0.000010,0.180056,0.000015,0.000001,0.000002,0.000001,0.242352
0.080254,0.000012,0.248550,0.000019,0.000002,0.000003,0.000002,0.328841
0.064713,0.000010,0.224561,0.000017,0.000001,0.000003,0.000001,0.289306
0.091305,0.000015,0.238565,0.000013,0.000001,0.000002,0.000001,0.329902
