Sample,Sample<->Recognize,Recognize,Recognize<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.058810,0.000012,0.231634,0.000016,0.000002,0.000003,0.000002,0.290479
0.071724,0.000012,0.196043,0.000012,0.000001,0.000002,0.000001,0.267795
0.063799,0.000012,0.194311,0.000012,0.000001,0.000002,0.000001,0.258138
0.040994,0.000010,0.318881,0.000014,0.000001,0.000003,0.000001,0.359903
0.065832,0.000009,0.197549,0.000012,0.000001,0.000002,0.000001,0.263406
0.067436,0.000010,0.201030,0.000012,0.000001,0.000002,0.000001,0.268493
0.092891,0.000015,0.223302,0.000016,0.000002,0.000004,0.000002,0.316231
0.062446,0.000011,0.205136,0.000017,0.000002,0.000003,0.000002,0.267617
0.066093,0.000023,0.198481,0.000016,0.000001,0.000003,0.000001,0.264618
0.063491,0.000016,0.331438,0.000017,0.000002,0.000003,0.000002,0.394969
0.065262,0.000010,0.194991,0.000015,0.000001,0.000002,0.000001,0.260282
0.090901,0.000015,0.309825,0.000019,0.000002,0.000003,0.000001,0.400766
0.065246,0.000009,0.193290,0.000013,0.000001,0.000002,0.000001,0.258562
0.066864,0.000010,0.272221,0.000014,0.000001,0.000002,0.000001,0.339113
0.064438,0.000009,0.187015,0.000014,0.000001,0.000002,0.000001,0.251481
0.074901,0.000012,0.249615,0.000019,0.000002,0.000004,0.000001,0.324553
0.072295,0.000018,0.276749,0.000014,0.000001,0.000003,0.000001,0.349081
0.088079,0.000019,0.245315,0.000018,0.000002,0.000003,0.000002,0.333438
0.088967,0.000014,0.316442,0.000019,0.000002,0.000004,0.000002,0.405448
0.063167,0.000010,0.250449,0.000019,0.000002,0.000003,0.000002,0.313652
0.067059,0.000011,0.195929,0.000014,0.000001,0.000002,0.000001,0.263017
0.064995,0.000010,0.233133,0.000014,0.000001,0.000002,0.000001,0.298156
0.065614,0.000010,0.195085,0.000015,0.000001,0.000002,0.000001,0.260728
0.068786,0.000014,0.358463,0.000005,0.000002,0.000003,0.000001,0.427275
0.089768,0.000016,0.313891,0.000017,0.000002,0.000002,0.000002,0.403698
0.072021,0.000011,0.200272,0.000013,0.000001,0.000003,0.000001,0.272322
0.067865,0.000011,0.243894,0.000017,0.000001,0.000002,0.000001,0.311791
0.059664,0.000010,0.194383,0.000015,0.000001,0.000003,0.000001,0.254077
0.083626,0.000012,0.249733,0.000018,0.000002,0.000005,0.000002,0.333398
0.100706,0.000018,0.301544,0.000017,0.000002,0.000003,0.000002,0.402291
0.067940,0.000014,0.368838,0.000019,0.000002,0.000003,0.000002,0.436818
0.063699,0.000010,0.191453,0.000014,0.000001,0.000002,0.000001,0.255180
0.093618,0.000015,0.314284,0.000017,0.000002,0.000002,0.000001,0.407940
0.089618,0.000014,0.265662,0.000014,0.000001,0.000002,0.000001,0.355312
0.067001,0.000009,0.230204,0.000018,0.000002,0.000002,0.000002,0.297238
0.062141,0.000003,0.189833,0.000014,0.000001,0.000002,0.000001,0.251995
0.093088,0.000013,0.224761,0.000015,0.000001,0.000002,0.000001,0.317881
0.066633,0.000016,0.316851,0.000018,0.000002,0.000003,0.000002,0.383525
0.063907,0.000010,0.199739,0.000013,0.000001,0.000002,0.000001,0.263673
0.090173,0.000016,0.299223,0.000013,0.000001,0.000002,0.000001,0.389429
0.090475,0.000014,0.301894,0.000017,0.000002,0.000003,0.000002,0.392406
0.069269,0.000012,0.305241,0.000018,0.000002,0.000003,0.000002,0.374546
0.065086,0.000011,0.200451,0.000015,0.000001,0.000002,0.000001,0.265567
0.090799,0.000014,0.290863,0.000019,0.000002,0.000003,0.000001,0.381701
0.089814,0.000018,0.294828,0.000017,0.000002,0.000003,0.000002,0.384683
0.069629,0.000015,0.318693,0.000014,0.000001,0.000002,0.000001,0.388356
0.065369,0.000010,0.190652,0.000014,0.000001,0.000002,0.000001,0.256048
0.067444,0.000011,0.195733,0.000018,0.000002,0.000010,0.000002,0.263219
0.089703,0.000015,0.321453,0.000018,0.000002,0.000003,0.000002,0.411196
0.089360,0.000016,0.323944,0.000019,0.000002,0.000004,0.000001,0.413345
0.065730,0.000004,0.392873,0.000016,0.001005,0.000010,0.000001,0.459639
0.082424,0.000014,0.209333,0.000014,0.000001,0.000002,0.000001,0.291788
0.066117,0.000012,0.211557,0.000018,0.000002,0.000004,0.000002,0.277712
0.087249,0.000012,0.276547,0.000017,0.000002,0.000003,0.000002,0.363831
0.062967,0.000011,0.185267,0.000014,0.000001,0.000002,0.000003,0.248266
0.093546,0.000014,0.261935,0.000017,0.000002,0.000003,0.000001,0.355518
0.088676,0.000014,0.258856,0.000017,0.000002,0.000003,0.000002,0.347570
0.064288,0.000009,0.187853,0.000015,0.000001,0.000002,0.000001,0.252171
0.065030,0.000011,0.187381,0.000015,0.000001,0.000002,0.000001,0.252440
0.090685,0.000014,0.274636,0.000016,0.000002,0.000004,0.000002,0.365358
0.062135,0.000011,0.187782,0.000013,0.000001,0.000002,0.000001,0.249944
0.093376,0.000014,0.256136,0.000014,0.000001,0.000002,0.000001,0.349544
0.075588,0.000012,0.190118,0.000014,0.000001,0.000002,0.000001,0.265737
0.065745,0.000011,0.191559,0.000015,0.000001,0.000002,0.000001,0.257334
0.089873,0.000014,0.292554,0.000019,0.000002,0.000004,0.000002,0.382467
0.063809,0.000010,0.193319,0.000015,0.000001,0.000002,0.000001,0.257157
0.063483,0.000010,0.186159,0.000016,0.000001,0.000002,0.000001,0.249672
0.067842,0.000010,0.177666,0.000013,0.000001,0.000002,0.000001,0.245536
0.093200,0.000013,0.324481,0.000017,0.000002,0.000003,0.000002,0.417718
0.064123,0.000010,0.178951,0.000015,0.000001,0.000002,0.000001,0.243103
0.086250,0.000016,0.336076,0.000017,0.000001,0.000002,0.000001,0.422363
0.092958,0.000014,0.267406,0.000014,0.000001,0.000002,0.000001,0.360396
0.066822,0.000009,0.176414,0.000014,0.000001,0.000002,0.000001,0.243263
0.089580,0.000014,0.192532,0.000015,0.000001,0.000003,0.000001,0.282146
0.062006,0.000011,0.199574,0.000019,0.000002,0.000003,0.000002,0.261616
0.066965,0.000010,0.300958,0.000019,0.000002,0.000004,0.000002,0.367959
0.066915,0.000011,0.190262,0.000015,0.000001,0.000002,0.000001,0.257207
0.093982,0.000013,0.283026,0.000013,0.000001,0.000002,0.000001,0.377039
0.067660,0.000010,0.186533,0.000014,0.000001,0.000002,0.000001,0.254221
0.066524,0.000009,0.185623,0.000014,0.000001,0.000002,0.000001,0.252175
0.079001,0.000011,0.187961,0.000019,0.000002,0.000004,0.000002,0.266999
0.065324,0.000011,0.188073,0.000015,0.000001,0.000002,0.000001,0.253427
0.071058,0.000014,0.319989,0.000024,0.000002,0.000013,0.000002,0.391101
0.066867,0.000011,0.193542,0.000015,0.000001,0.000002,0.000001,0.260439
0.089634,0.000016,0.315345,0.000018,0.000002,0.000010,0.000002,0.405026
0.065516,0.000009,0.187716,0.000013,0.000001,0.000002,0.000001,0.253258
0.067022,0.000010,0.164593,0.000014,0.000001,0.000002,0.000001,0.231643
0.065803,0.000010,0.265291,0.000018,0.000002,0.000003,0.000002,0.331128
0.092595,0.000013,0.229524,0.000014,0.000001,0.000003,0.000001,0.322153
0.076979,0.000010,0.182485,0.000014,0.000001,0.000002,0.000001,0.259491
0.070320,0.000014,0.284861,0.000018,0.000002,0.000003,0.000002,0.355219
0.089240,0.000016,0.274946,0.000014,0.000001,0.000003,0.000001,0.364221
0.063381,0.000010,0.181984,0.000014,0.000001,0.000002,0.000001,0.245394
0.065742,0.000011,0.183392,0.000014,0.000001,0.000002,0.000001,0.249163
0.065894,0.000018,0.301966,0.000017,0.000002,0.000003,0.000002,0.367901
0.065108,0.000010,0.185836,0.000015,0.000001,0.000002,0.000001,0.250972
0.068904,0.000011,0.188283,0.000014,0.000001,0.000002,0.000001,0.257216
0.091801,0.000016,0.349985,0.000019,0.000002,0.000003,0.000002,0.441827
0.068053,0.000010,0.190820,0.000015,0.000001,0.000002,0.000001,0.258902
0.066538,0.000010,0.263942,0.000014,0.000001,0.000002,0.000001,0.330507
0.062674,0.000010,0.189895,0.000015,0.000001,0.000002,0.000001,0.252599
0.066644,0.000011,0.189287,0.000016,0.000001,0.000003,0.000001,0.255962
0.091392,0.000013,0.319381,0.000018,0.000002,0.000004,0.000002,0.410811
0.066788,0.000011,0.214560,0.000016,0.000200,0.000014,0.000002,0.281590
0.063793,0.000011,0.267489,0.000015,0.000001,0.000002,0.000001,0.331312
0.063658,0.000010,0.178927,0.000015,0.000001,0.000002,0.000001,0.242614
0.067548,0.000010,0.174740,0.000014,0.000001,0.000002,0.000001,0.242315
0.093864,0.000019,0.341592,0.000020,0.000002,0.000003,0.000002,0.435501
0.067064,0.000010,0.177143,0.000014,0.000001,0.000002,0.000001,0.244236
0.091769,0.000014,0.320848,0.000020,0.000207,0.000016,0.000002,0.412877
0.069414,0.000709,0.206973,0.000017,0.000001,0.000002,0.000001,0.277117
0.064575,0.000012,0.202712,0.000016,0.000201,0.000016,0.000002,0.267533
0.065737,0.000010,0.311176,0.000018,0.000159,0.000015,0.000001,0.377117
0.066631,0.000003,0.187714,0.000014,0.000001,0.000002,0.000001,0.254365
0.067005,0.000011,0.241517,0.000019,0.000002,0.000003,0.000002,0.308559
0.094488,0.000015,0.312115,0.000015,0.000001,0.000002,0.000001,0.406637
0.065588,0.000010,0.212799,0.000016,0.000001,0.000003,0.000001,0.278418
0.084288,0.000012,0.239945,0.000019,0.000002,0.000003,0.000002,0.324271
0.068971,0.000014,0.166847,0.000018,0.000002,0.000004,0.000002,0.235857
0.072488,0.000015,0.333029,0.000016,0.000001,0.000002,0.000001,0.405553
0.084427,0.000013,0.232789,0.000016,0.000177,0.000010,0.000001,0.317432
0.090901,0.000015,0.300602,0.000013,0.000001,0.000002,0.000001,0.391536
0.065302,0.000011,0.233698,0.000019,0.000002,0.000011,0.000002,0.299043
0.090242,0.000019,0.310808,0.000019,0.000187,0.000011,0.000001,0.401288
0.060601,0.000009,0.186195,0.000016,0.000001,0.000002,0.000001,0.246825
0.066000,0.000010,0.170217,0.000014,0.000001,0.000002,0.000001,0.236245
0.090255,0.000013,0.268380,0.000016,0.000187,0.000013,0.000001,0.358867
0.083623,0.000019,0.191419,0.000018,0.000002,0.000003,0.000002,0.275085
0.061111,0.000010,0.184920,0.000014,0.000001,0.000002,0.000001,0.246059
0.067880,0.000004,0.228910,0.000020,0.000211,0.000016,0.000002,0.297042
0.084516,0.000009,0.349491,0.000019,0.000002,0.000003,0.000002,0.434041
0.067497,0.000010,0.187925,0.000014,0.000001,0.000002,0.000001,0.255450
0.093168,0.000014,0.296220,0.000014,0.000001,0.000002,0.000001,0.389419
0.067491,0.000011,0.275042,0.000024,0.000310,0.000015,0.000002,0.342894
0.067485,0.000009,0.208655,0.000016,0.000001,0.000002,0.000001,0.276168
0.065081,0.000011,0.202398,0.000017,0.000001,0.000002,0.000001,0.267512
0.070594,0.000011,0.331685,0.000018,0.000238,0.000015,0.000002,0.402563
0.062416,0.000009,0.196879,0.000016,0.000001,0.000002,0.000001,0.259324
0.077660,0.000012,0.261070,0.000016,0.000171,0.000015,0.000002,0.338947
0.088304,0.000019,0.222839,0.000018,0.000129,0.000013,0.000002,0.311324
0.067281,0.000012,0.221221,0.000013,0.000001,0.000002,0.000001,0.288530
0.093101,0.000014,0.404463,0.000019,0.000216,0.000019,0.000002,0.497834
0.062524,0.000009,0.203043,0.000016,0.000130,0.000013,0.000002,0.265738
0.093212,0.000013,0.325901,0.000021,0.000002,0.000004,0.000002,0.419155
0.065072,0.000011,0.295526,0.000017,0.000280,0.000004,0.000001,0.360910
0.090019,0.000013,0.333785,0.000021,0.000814,0.000011,0.000001,0.424664
0.068973,0.000015,0.312048,0.000017,0.000193,0.000014,0.000002,0.381261
0.064290,0.000013,0.205368,0.000016,0.000168,0.000013,0.000002,0.269869
0.089773,0.000017,0.274622,0.000020,0.000156,0.000015,0.000002,0.364604
0.064910,0.000012,0.207938,0.000014,0.000133,0.000013,0.000002,0.273021
0.075494,0.000012,0.381949,0.000020,0.000002,0.000003,0.000002,0.457482
0.089498,0.000014,0.327459,0.000013,0.000305,0.000011,0.000002,0.417302
0.062463,0.000010,0.182552,0.000009,0.000001,0.000002,0.000001,0.245039
0.087804,0.000014,0.225327,0.000016,0.000001,0.000002,0.000001,0.313166
0.070192,0.000016,0.319020,0.000016,0.000001,0.000002,0.000001,0.389248
0.073037,0.000012,0.205881,0.000021,0.000002,0.000003,0.000002,0.278958
0.065781,0.000011,0.153354,0.000014,0.000001,0.000002,0.000001,0.219163
0.066076,0.000010,0.204715,0.000016,0.000172,0.000008,0.000001,0.270999
0.090210,0.000016,0.334173,0.000022,0.000130,0.000010,0.000001,0.424562
0.081214,0.000017,0.213999,0.000017,0.000001,0.000003,0.000001,0.295252
0.070409,0.000014,0.316942,0.000020,0.000210,0.000015,0.000002,0.387611
0.087661,0.000016,0.276860,0.000017,0.000001,0.000002,0.000001,0.364559
0.063708,0.000010,0.200614,0.000014,0.000134,0.000011,0.000001,0.264493
0.063302,0.000009,0.201564,0.000016,0.000207,0.000010,0.000002,0.265110
0.085969,0.000012,0.319610,0.000020,0.000002,0.000003,0.000002,0.405617
0.089865,0.000014,0.305842,0.000017,0.000258,0.000016,0.000002,0.396013
0.089264,0.000009,0.217333,0.000014,0.000124,0.000014,0.000002,0.306758
0.070310,0.000016,0.308621,0.000016,0.000132,0.000010,0.000001,0.379106
0.067676,0.000011,0.209531,0.000017,0.000200,0.000010,0.000001,0.277447
0.066127,0.000011,0.248561,0.000020,0.000123,0.000014,0.000002,0.314857
0.074166,0.000015,0.340585,0.000021,0.000171,0.000014,0.000002,0.414974
0.065840,0.000011,0.323140,0.000019,0.000002,0.000003,0.000002,0.389016
0.064952,0.000010,0.209142,0.000016,0.000170,0.000013,0.000002,0.274305
