Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.092165,0.004705,0.000001,0.002631,0.079552,0.002564,0.000001,0.005440,0.000001,0.013137,0.000058,0.006424,0.000001,0.004502,0.000002,0.211183
0.081474,0.004371,0.000001,0.002231,0.075520,0.002761,0.000001,0.005645,0.000001,0.008898,0.000050,0.006561,0.000001,0.004048,0.000002,0.191564
0.061547,0.006072,0.000001,0.002009,0.177357,0.002710,0.000001,0.004757,0.000001,0.003034,0.000024,0.002287,0.000001,0.003494,0.000002,0.263295
0.057922,0.005619,0.000001,0.002368,0.220575,0.002644,0.000001,0.004697,0.000001,0.008568,0.000051,0.006356,0.000001,0.004539,0.000002,0.313343
0.066225,0.003853,0.000001,0.001850,0.081268,0.003100,0.000001,0.005159,0.000001,0.020916,0.000081,0.006031,0.000001,0.003185,0.000002,0.191673
0.070719,0.004501,0.000001,0.001845,0.076049,0.003321,0.000001,0.003897,0.000001,0.008523,0.000050,0.006678,0.000001,0.003374,0.000002,0.178960
0.066733,0.004051,0.000001,0.002245,0.200897,0.002840,0.000001,0.005352,0.000001,0.002824,0.000029,0.002542,0.000001,0.003548,0.000003,0.291066
0.078991,0.005239,0.000001,0.001956,0.073214,0.002927,0.000001,0.004990,0.000001,0.001726,0.000010,0.002291,0.000001,0.005267,0.000002,0.176616
0.068857,0.004887,0.000001,0.001908,0.083501,0.003649,0.000001,0.005077,0.000001,0.009778,0.000052,0.006533,0.000001,0.003815,0.000002,0.188061
0.065087,0.004553,0.000001,0.001979,0.197564,0.003767,0.000001,0.005115,0.000001,0.008928,0.000051,0.006276,0.000001,0.003802,0.000002,0.297126
0.071749,0.005133,0.000001,0.001942,0.080357,0.003337,0.000001,0.004947,0.000001,0.003303,0.000028,0.002684,0.000001,0.004827,0.000002,0.178312
0.070749,0.004483,0.000001,0.002104,0.076574,0.003395,0.000001,0.005306,0.000001,0.009109,0.000052,0.006757,0.000001,0.003510,0.000002,0.182043
0.065460,0.004244,0.000001,0.001920,0.166162,0.002818,0.000001,0.005507,0.000001,0.009014,0.000051,0.006618,0.000001,0.003740,0.000002,0.265538
0.069949,0.005449,0.000001,0.002892,0.211017,0.002851,0.000001,0.004634,0.000001,0.009765,0.000050,0.006631,0.000001,0.003281,0.000002,0.316523
0.062346,0.004761,0.000001,0.001983,0.117854,0.003062,0.000001,0.005554,0.000002,0.003781,0.014341,0.002912,0.000001,0.005072,0.000002,0.221671
0.076508,0.005402,0.000001,0.002053,0.079909,0.002942,0.000001,0.005074,0.000001,0.008551,0.000049,0.006213,0.000001,0.004134,0.000002,0.190839
0.065077,0.005246,0.000001,0.001937,0.174720,0.003064,0.000001,0.006171,0.000001,0.008878,0.000051,0.015082,0.000001,0.003819,0.000002,0.284049
0.068599,0.003872,0.000001,0.001993,0.077277,0.002884,0.000001,0.004639,0.000001,0.003098,0.000029,0.002190,0.000001,0.003699,0.000002,0.168285
0.063331,0.004311,0.000001,0.001713,0.075044,0.003027,0.000001,0.004790,0.000001,0.008762,0.000062,0.006025,0.000001,0.003977,0.000002,0.171046
0.068015,0.004798,0.000001,0.002428,0.173288,0.002772,0.000001,0.004805,0.000001,0.003226,0.000029,0.002812,0.000001,0.003978,0.000002,0.266158
0.090843,0.004170,0.000001,0.002362,0.069426,0.002240,0.000001,0.005523,0.000001,0.002672,0.000023,0.002545,0.000001,0.003253,0.000002,0.183064
0.061130,0.004140,0.000001,0.001660,0.070461,0.003047,0.000001,0.005452,0.000001,0.003183,0.000029,0.004415,0.000001,0.003602,0.000002,0.157123
0.086210,0.005099,0.000001,0.001949,0.155707,0.002520,0.000001,0.006648,0.000001,0.003191,0.000032,0.002470,0.000001,0.003646,0.000002,0.267477
0.077691,0.005115,0.000001,0.002019,0.154031,0.002494,0.000000,0.005134,0.000001,0.003224,0.000028,0.003749,0.000001,0.004462,0.000002,0.257952
0.062804,0.003825,0.000001,0.001648,0.071627,0.002551,0.000001,0.004997,0.000001,0.009622,0.000065,0.006498,0.000001,0.003839,0.000002,0.167482
0.065782,0.004334,0.000001,0.001514,0.155319,0.002773,0.000000,0.005256,0.000001,0.003846,0.000030,0.002420,0.000001,0.004032,0.000002,0.245309
0.085326,0.004248,0.000001,0.001463,0.071080,0.001858,0.000000,0.006580,0.000001,0.003878,0.000025,0.002925,0.000001,0.003374,0.000001,0.180761
0.092419,0.004051,0.000001,0.001351,0.072640,0.001830,0.000000,0.004787,0.000001,0.008845,0.000050,0.006508,0.000001,0.003935,0.000002,0.196419
0.075234,0.003950,0.000001,0.001639,0.072700,0.002895,0.000001,0.004810,0.000001,0.003453,0.000035,0.003761,0.000001,0.005265,0.000002,0.173746
0.064789,0.004424,0.000001,0.001457,0.072062,0.001942,0.000001,0.006703,0.000001,0.003532,0.000027,0.002640,0.000001,0.004374,0.000003,0.161955
0.086228,0.004617,0.000001,0.002797,0.176874,0.002493,0.000000,0.004611,0.000001,0.002691,0.000021,0.002342,0.000001,0.003182,0.000002,0.285861
0.069986,0.004030,0.000000,0.001794,0.160415,0.002637,0.000001,0.004378,0.000001,0.002481,0.000019,0.002238,0.000001,0.004080,0.000003,0.252065
0.082293,0.004148,0.000001,0.001695,0.074551,0.004237,0.000001,0.005854,0.000001,0.002590,0.000027,0.002266,0.000001,0.003348,0.000002,0.181013
0.059164,0.003569,0.000001,0.002247,0.075927,0.003566,0.000001,0.005052,0.000001,0.003208,0.000031,0.002219,0.000001,0.004788,0.000002,0.159776
0.084139,0.003760,0.000000,0.002828,0.197843,0.003054,0.000001,0.005496,0.000001,0.004273,0.000038,0.002371,0.000001,0.004378,0.000002,0.308184
0.096374,0.004813,0.000001,0.001713,0.078516,0.002773,0.000001,0.004269,0.000001,0.002881,0.000026,0.002293,0.000001,0.003821,0.000002,0.197483
0.080381,0.004919,0.000001,0.002122,0.083216,0.002939,0.000001,0.003899,0.000001,0.008205,0.000050,0.006163,0.000001,0.004215,0.000002,0.196113
0.071625,0.004195,0.000001,0.002211,0.208897,0.003316,0.000001,0.005112,0.000001,0.002801,0.000023,0.002221,0.000000,0.004306,0.000002,0.304712
0.078246,0.004326,0.000001,0.001425,0.068859,0.003153,0.000001,0.005028,0.000001,0.003092,0.000029,0.003017,0.000002,0.003643,0.000001,0.170823
0.064894,0.003989,0.000001,0.001660,0.151807,0.003315,0.000001,0.005672,0.000001,0.002683,0.000024,0.002344,0.000001,0.003679,0.000002,0.240071
0.070145,0.004740,0.000001,0.001493,0.084380,0.003219,0.000001,0.005246,0.000001,0.003135,0.000029,0.002622,0.000001,0.004456,0.000003,0.179470
0.062767,0.003982,0.000001,0.001876,0.179441,0.002922,0.000001,0.005261,0.000001,0.002786,0.000022,0.002665,0.000001,0.003932,0.000002,0.265660
0.065839,0.004257,0.000001,0.001431,0.080338,0.003291,0.000001,0.005568,0.000001,0.003262,0.000029,0.002887,0.000001,0.003657,0.000002,0.170562
0.059527,0.005114,0.000001,0.002016,0.081715,0.003257,0.000001,0.004735,0.000001,0.003071,0.000028,0.002829,0.000001,0.005080,0.000002,0.167376
