Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.038537,0.008139,0.095990,0.004466,0.000052,0.147184
0.090971,0.005866,0.084286,0.004153,0.000053,0.185330
0.054663,0.006388,0.215273,0.003439,0.000042,0.279804
0.064226,0.005769,0.198498,0.002842,0.000034,0.271368
0.077355,0.031339,0.086583,0.006031,0.000335,0.201645
0.067404,0.031824,0.085212,0.003027,0.000063,0.187530
0.079180,0.005960,0.261412,0.003057,0.000046,0.349654
0.062604,0.030608,0.192121,0.002625,0.000035,0.287994
0.062277,0.091539,0.086089,0.002578,0.000061,0.242545
0.080267,0.031117,0.293169,0.002928,0.000048,0.407528
0.061771,0.071181,0.083599,0.002767,0.000044,0.219362
0.070135,0.088240,0.078830,0.009106,0.000035,0.246346
0.095763,0.054139,0.272161,0.002640,0.000037,0.424740
0.073852,0.136318,0.079931,0.002193,0.000060,0.292355
0.085091,0.071015,0.289605,0.002593,0.000035,0.448339
0.082708,0.140169,0.083988,0.002874,0.000040,0.309779
0.071615,0.101400,0.276475,0.003062,0.000053,0.452605
0.085531,0.135997,0.183817,0.002656,0.000054,0.408055
0.061214,0.178832,0.197400,0.003060,0.000047,0.440554
0.069543,0.142165,0.268299,0.003150,0.000037,0.483194
0.067037,0.265263,0.087309,0.005318,0.000043,0.424971
0.095260,0.143286,0.225175,0.007288,0.000064,0.471073
0.105018,0.113386,0.280564,0.012553,0.000054,0.511576
0.064882,0.294238,0.091291,0.002987,0.000031,0.453429
0.070342,0.245638,0.278017,0.002849,0.000035,0.596881
0.084098,0.267699,0.119929,0.005222,0.000122,0.477069
0.062155,0.241572,0.206816,0.004951,0.000061,0.515555
0.062840,0.269796,0.275361,0.003119,0.000066,0.611183
0.076169,0.351730,0.088072,0.003747,0.000044,0.519762
0.059398,0.322271,0.084758,0.002919,0.000043,0.469390
0.088517,0.346872,0.083359,0.002627,0.000054,0.521429
0.061488,0.340834,0.197837,0.003007,0.000049,0.603214
0.075985,0.329270,0.285857,0.005269,0.000058,0.696440
0.074686,0.302359,0.285047,0.008274,0.000045,0.670411
0.093909,0.391411,0.084115,0.002747,0.000037,0.572219
0.061984,0.375358,0.083660,0.002832,0.000037,0.523871
0.059228,0.367463,0.199460,0.002627,0.000035,0.628814
0.062594,0.424975,0.085411,0.002979,0.000040,0.575999
0.088395,0.379865,0.243736,0.002941,0.000036,0.714973
0.071467,0.382399,0.277049,0.003226,0.000069,0.734210
0.090200,0.410769,0.090827,0.002989,0.000041,0.594826
0.075738,0.418386,0.088985,0.005434,0.000127,0.588670
0.105641,0.423759,0.201346,0.003505,0.000052,0.734303
0.064263,0.484162,0.092370,0.003190,0.000037,0.644023
0.072272,0.404344,0.281261,0.004102,0.000058,0.762036
0.082069,0.419811,0.278718,0.003149,0.000047,0.783794
0.066318,0.461607,0.210499,0.003060,0.000040,0.741524
0.075356,0.503848,0.144872,0.003927,0.015604,0.743607
0.059898,0.545701,0.077612,0.002700,0.000066,0.685977
0.066245,0.548085,0.081490,0.002631,0.000053,0.698504
0.072750,0.491774,0.278675,0.005618,0.000035,0.848852
0.064201,0.515228,0.259317,0.003037,0.000084,0.841867
0.087573,0.501962,0.188329,0.002409,0.000039,0.780311
0.060045,0.606463,0.077987,0.001678,0.000037,0.746210
0.060516,0.551720,0.080838,0.002729,0.000047,0.695850
0.063076,0.576726,0.195682,0.009135,0.000069,0.844687
0.062126,0.599232,0.082065,0.009157,0.000039,0.752620
0.062938,0.580550,0.236316,0.011328,0.000118,0.891250
0.061606,0.550256,0.272014,0.003416,0.000079,0.887371
0.063702,0.612287,0.085960,0.003378,0.000034,0.765361
0.068115,0.592946,0.084149,0.003837,0.000036,0.749084
0.062950,0.640911,0.193878,0.002962,0.000048,0.900750
0.063225,0.648184,0.084869,0.010727,0.000036,0.807041
0.075370,0.568692,0.273640,0.002794,0.000042,0.920538
0.074919,0.607833,0.250375,0.003713,0.000048,0.936887
0.074169,0.663565,0.114375,0.004073,0.000069,0.856251
0.061529,0.634809,0.230981,0.004239,0.000056,0.931615
0.072742,0.679984,0.081888,0.003228,0.000058,0.837900
0.060213,0.704215,0.080264,0.002194,0.000052,0.846938
0.066728,0.652800,0.276595,0.003610,0.000064,0.999798
0.072304,0.662590,0.252961,0.002703,0.000034,0.990592
0.068150,0.690620,0.188045,0.004982,0.000136,0.951933
0.076321,0.738282,0.082476,0.004056,0.000043,0.901177
0.073424,0.688745,0.082841,0.003144,0.000033,0.848186
0.074330,0.714030,0.182163,0.002607,0.000040,0.973171
0.080159,0.736230,0.083234,0.003211,0.000047,0.902880
0.072197,0.723402,0.294802,0.002238,0.000062,1.092701
0.066801,0.761619,0.083579,0.002721,0.000068,0.914788
0.063009,0.715336,0.266022,0.010224,0.000723,1.055314
0.079545,0.757820,0.184881,0.002835,0.000043,1.025125
0.061961,0.756110,0.083576,0.002946,0.000046,0.904639
0.062828,0.771725,0.086888,0.002670,0.000052,0.924163
0.060360,0.794664,0.273758,0.003367,0.000045,1.132194
0.086901,0.801056,0.082485,0.004400,0.000046,0.974888
0.062851,0.792757,0.183804,0.009902,0.000047,1.049361
0.061225,0.787646,0.274584,0.003363,0.000059,1.126877
0.072293,0.855969,0.090159,0.002877,0.000061,1.021360
0.086654,0.802220,0.079973,0.002440,0.000048,0.971336
0.059911,0.810194,0.175358,0.001956,0.000034,1.047453
0.066204,0.837527,0.246034,0.002284,0.000065,1.152114
0.064721,0.861126,0.086330,0.003443,0.000052,1.015672
0.083720,0.773191,0.249249,0.003828,0.000065,1.110052
0.069143,0.844067,0.184423,0.005220,0.000080,1.102933
0.076384,0.873951,0.145946,0.002995,0.000064,1.099341
0.060993,0.904862,0.082142,0.003293,0.000036,1.051325
0.068578,0.852961,0.221127,0.003261,0.000042,1.145969
0.063080,0.919237,0.082263,0.004320,0.000050,1.068950
0.064279,0.838341,0.274308,0.003830,0.000058,1.180817
0.070052,0.926445,0.084733,0.003611,0.000037,1.084879
0.077799,0.899136,0.183675,0.003359,0.000039,1.164008
0.062253,0.902234,0.272145,0.003588,0.000048,1.240268
0.094555,0.921643,0.087466,0.003915,0.000069,1.107647
0.086068,0.893640,0.270287,0.012909,0.001013,1.263918
0.058385,0.941257,0.113204,0.013873,0.015098,1.141818
0.090959,0.934370,0.223129,0.003248,0.000053,1.251759
0.072507,0.925465,0.276648,0.003866,0.000059,1.278544
0.063245,1.020732,0.116272,0.002888,0.015071,1.218208
0.069221,1.023419,0.081358,0.003132,0.000052,1.177181
0.102836,0.949298,0.258552,0.002424,0.000060,1.313170
0.093520,0.989008,0.187920,0.002552,0.000117,1.273116
0.063838,1.049440,0.107358,0.003897,0.000053,1.224585
0.070137,1.047774,0.108873,0.003153,0.000040,1.229976
0.068561,1.007522,0.294010,0.003774,0.014974,1.388842
0.064903,1.130349,0.086711,0.004252,0.000093,1.286309
0.085737,1.052002,0.262537,0.004144,0.000040,1.404461
0.080610,1.027626,0.261977,0.011513,0.015223,1.396949
