Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.035538,0.007005,0.000001,0.003650,0.096854,0.004142,0.000001,0.007119,0.000001,0.008663,0.000042,0.007131,0.000001,0.006461,0.000002,0.176609
0.055476,0.004510,0.000001,0.003670,0.094845,0.003196,0.000001,0.004910,0.000001,0.010226,0.000071,0.006240,0.000001,0.002421,0.000002,0.185572
0.096615,0.005214,0.000001,0.002164,0.079837,0.002757,0.000001,0.005289,0.000001,0.008820,0.000043,0.006591,0.000001,0.003798,0.000002,0.211131
0.064221,0.004402,0.000001,0.002489,0.169484,0.003717,0.000001,0.005203,0.000001,0.005164,0.000601,0.003991,0.000001,0.004956,0.000002,0.264235
0.088342,0.004892,0.000001,0.002880,0.083973,0.002753,0.000001,0.005379,0.000001,0.010036,0.000082,0.006437,0.000001,0.003993,0.000002,0.208771
0.066932,0.005604,0.000001,0.003020,0.076364,0.003100,0.000001,0.005323,0.000001,0.008802,0.000041,0.006656,0.000001,0.004109,0.000002,0.179957
0.084907,0.005267,0.000001,0.002331,0.076140,0.004365,0.000001,0.005322,0.000001,0.009171,0.000052,0.006606,0.000001,0.005289,0.000002,0.199455
0.067547,0.004635,0.000001,0.002416,0.171481,0.003892,0.000001,0.006387,0.000001,0.003155,0.000023,0.002535,0.000001,0.004247,0.000002,0.266323
0.067464,0.004719,0.000001,0.002120,0.184459,0.004352,0.000001,0.005481,0.000001,0.020060,0.000093,0.010806,0.000001,0.003588,0.000002,0.303148
0.075395,0.004396,0.000001,0.001762,0.074901,0.003728,0.000001,0.005223,0.000001,0.009753,0.000067,0.006259,0.000001,0.003597,0.000002,0.185087
0.089117,0.004547,0.000001,0.001753,0.072362,0.002113,0.000001,0.004905,0.000001,0.008782,0.000069,0.007146,0.000001,0.003412,0.000003,0.194213
0.060370,0.004317,0.000001,0.001893,0.195624,0.003005,0.000001,0.005250,0.000001,0.009555,0.000071,0.006346,0.000001,0.004180,0.000002,0.290616
0.092384,0.005094,0.000001,0.001923,0.174951,0.002712,0.000000,0.004958,0.000001,0.010004,0.000777,0.006025,0.000001,0.003853,0.000002,0.302684
0.067922,0.004229,0.000013,0.002011,0.070291,0.002789,0.000001,0.004228,0.000001,0.013071,0.000248,0.006069,0.000001,0.004738,0.000003,0.175615
0.082365,0.005230,0.000001,0.001950,0.177280,0.003670,0.000001,0.005813,0.000001,0.008671,0.000042,0.006309,0.000001,0.003225,0.000002,0.294559
0.076636,0.004976,0.000001,0.001756,0.081936,0.002170,0.000001,0.004977,0.000001,0.003694,0.000032,0.003935,0.000002,0.003910,0.000002,0.184029
0.074602,0.004307,0.000001,0.002849,0.184719,0.003416,0.000001,0.006473,0.000001,0.009978,0.000073,0.005820,0.000001,0.003393,0.000002,0.295636
0.076627,0.004160,0.000001,0.002271,0.164941,0.003116,0.000001,0.006569,0.000001,0.008676,0.000042,0.006361,0.000001,0.003915,0.000002,0.276682
0.066610,0.004998,0.000001,0.001760,0.145835,0.003096,0.000001,0.006526,0.000001,0.003664,0.000027,0.002969,0.000001,0.005095,0.000002,0.240586
