Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.046777,0.004148,0.074914,0.011922,0.000040,0.008192,0.000002,0.145995
0.060108,0.002384,0.073330,0.010386,0.000059,0.008226,0.000002,0.154494
0.057971,0.002533,0.202959,0.010584,0.000033,0.009034,0.000002,0.283116
0.063053,0.008011,0.088066,0.011116,0.000060,0.008373,0.000002,0.178680
0.067089,0.002824,0.235182,0.010221,0.000061,0.010905,0.000003,0.326285
0.065897,0.020531,0.088101,0.009930,0.000042,0.007840,0.000002,0.192343
0.061682,0.005132,0.273999,0.009721,0.000040,0.007991,0.000002,0.358569
0.080746,0.033252,0.084759,0.009550,0.000064,0.008189,0.000002,0.216563
0.060478,0.041001,0.187237,0.009582,0.000030,0.007165,0.000002,0.305495
0.089487,0.013101,0.275246,0.009813,0.000032,0.007439,0.000002,0.395120
0.060996,0.083281,0.082186,0.009618,0.000040,0.007518,0.000002,0.243642
0.071421,0.059609,0.196088,0.009182,0.000048,0.008688,0.000003,0.345038
0.076122,0.064727,0.229506,0.009797,0.000053,0.007607,0.000002,0.387815
0.061202,0.133440,0.077360,0.008918,0.000039,0.007272,0.000002,0.288234
0.066793,0.087800,0.255204,0.009598,0.000033,0.008310,0.000002,0.427741
0.061272,0.110675,0.082896,0.009636,0.000035,0.007534,0.000001,0.272048
0.061420,0.108369,0.182824,0.009810,0.000037,0.007405,0.000002,0.369867
0.062184,0.133803,0.251752,0.011654,0.000055,0.007522,0.000002,0.466971
0.061713,0.127360,0.198245,0.014010,0.000034,0.007962,0.000002,0.409327
0.062556,0.180316,0.084214,0.010807,0.000044,0.008636,0.000002,0.346574
0.061547,0.151251,0.224594,0.012192,0.000035,0.007772,0.000002,0.457392
0.060610,0.227982,0.086922,0.011497,0.000032,0.008463,0.000002,0.395508
0.080014,0.140366,0.225014,0.016432,0.000071,0.007752,0.000002,0.469651
0.077937,0.199838,0.107027,0.009945,0.000036,0.011396,0.000002,0.406180
