Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.037150,0.009235,0.099782,0.004150,0.000047,0.150364
0.059612,0.006220,0.082988,0.002841,0.000036,0.151697
0.066497,0.006423,0.190746,0.002858,0.000034,0.266558
0.067595,0.005876,0.204269,0.002869,0.000042,0.280651
0.093096,0.007092,0.085040,0.003138,0.000037,0.188403
0.066722,0.017776,0.084624,0.002515,0.000033,0.171670
0.060391,0.006037,0.273459,0.002901,0.000040,0.342827
0.062115,0.073600,0.084978,0.002626,0.000033,0.223353
0.060905,0.040360,0.218761,0.002810,0.000036,0.322871
0.086007,0.013618,0.295194,0.003039,0.000038,0.397897
0.084853,0.055928,0.217350,0.003366,0.000048,0.361544
0.093654,0.062280,0.197122,0.003875,0.000034,0.356965
0.067214,0.155693,0.077287,0.002034,0.000061,0.302289
0.083599,0.070954,0.256825,0.002691,0.000063,0.414131
0.061521,0.174052,0.081599,0.002595,0.000034,0.319800
0.078792,0.079515,0.275349,0.003148,0.000032,0.436836
0.061541,0.189924,0.084839,0.003072,0.000064,0.339441
0.059803,0.158987,0.226459,0.002628,0.000035,0.447912
0.061156,0.190478,0.185700,0.002953,0.000056,0.440343
0.105926,0.160817,0.086804,0.003202,0.000036,0.356784
0.073098,0.183698,0.084643,0.003280,0.000035,0.344754
0.078800,0.160871,0.220811,0.003465,0.000060,0.464008
0.066790,0.239814,0.087729,0.008100,0.000456,0.402888
0.104385,0.134134,0.399168,0.003205,0.000043,0.640935
0.067001,0.201867,0.266336,0.010625,0.000041,0.545870
0.062260,0.267109,0.086752,0.003610,0.000067,0.419798
0.073233,0.238472,0.086001,0.003615,0.000036,0.401358
0.061188,0.273491,0.254482,0.003299,0.000041,0.592502
0.077233,0.291404,0.084901,0.003674,0.000032,0.457244
0.090654,0.246028,0.256720,0.003310,0.000035,0.596746
0.101217,0.269004,0.257854,0.009817,0.000037,0.637930
0.066898,0.317709,0.083254,0.008500,0.000055,0.476415
0.072375,0.304358,0.084661,0.003269,0.000045,0.464709
0.058360,0.323654,0.232854,0.003991,0.000035,0.618894
0.069597,0.356507,0.082550,0.005683,0.000119,0.514456
0.071489,0.357298,0.221109,0.002818,0.000059,0.652772
0.060740,0.383947,0.084001,0.002975,0.000069,0.531733
0.064694,0.331266,0.283018,0.002834,0.000049,0.681862
0.088062,0.374667,0.084450,0.003483,0.000054,0.550715
0.061926,0.359230,0.242897,0.002650,0.000034,0.666736
0.062116,0.387598,0.207698,0.003139,0.000042,0.660593
0.069927,0.408322,0.085930,0.009247,0.000037,0.573463
0.070088,0.401791,0.084300,0.003133,0.000037,0.559349
0.076102,0.364550,0.288906,0.003098,0.000044,0.732700
0.060449,0.461055,0.084646,0.003350,0.000052,0.609551
0.064476,0.425640,0.198797,0.003480,0.000041,0.692435
0.066851,0.399114,0.278598,0.003422,0.000067,0.748051
0.070314,0.469840,0.085149,0.004689,0.000054,0.630046
0.091228,0.433968,0.080262,0.002365,0.000035,0.607858
0.065091,0.456731,0.193226,0.002496,0.000045,0.717589
0.098537,0.471346,0.081516,0.003375,0.000079,0.654853
0.090855,0.418511,0.251263,0.001902,0.000084,0.762614
