Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.036708,0.006871,0.076287,0.004126,0.000036,0.124029
0.075697,0.005834,0.072682,0.003904,0.000051,0.158168
0.079523,0.006220,0.073800,0.003970,0.000063,0.163576
0.069759,0.005966,0.230775,0.002925,0.000043,0.309467
0.061532,0.026766,0.084974,0.004115,0.000060,0.177448
0.074345,0.005659,0.189742,0.003402,0.000123,0.273271
0.061215,0.006113,0.270176,0.003945,0.000046,0.341495
0.077514,0.035975,0.083674,0.002795,0.000040,0.199999
0.075963,0.031863,0.283161,0.003097,0.000041,0.394125
0.062838,0.034929,0.193575,0.002501,0.000081,0.293924
0.071981,0.060351,0.224153,0.003372,0.000049,0.359906
0.059063,0.047123,0.255080,0.003114,0.000060,0.364439
0.086070,0.139379,0.083496,0.003067,0.000039,0.312051
0.060866,0.113109,0.082395,0.005553,0.000061,0.261984
0.064066,0.130940,0.177424,0.003274,0.000049,0.375751
0.060345,0.164289,0.084000,0.007316,0.000032,0.315982
0.068088,0.125257,0.249450,0.002311,0.000044,0.445151
0.073807,0.147771,0.266311,0.003213,0.000037,0.491138
0.060895,0.213555,0.084829,0.003022,0.000037,0.362338
0.059986,0.164291,0.085096,0.003533,0.000037,0.312943
0.061975,0.158876,0.193288,0.003349,0.000035,0.417523
0.060779,0.217370,0.084392,0.003230,0.000032,0.365803
0.064572,0.176969,0.278251,0.003501,0.000032,0.523324
0.063358,0.234311,0.106023,0.003379,0.000037,0.407108
0.066888,0.177404,0.384322,0.007331,0.000037,0.635982
0.061435,0.257044,0.231596,0.003191,0.000039,0.553304
0.071865,0.259196,0.117265,0.008515,0.000595,0.457437
0.089951,0.232756,0.239504,0.003484,0.000036,0.565731
0.071718,0.311975,0.087074,0.003436,0.000058,0.474261
0.066641,0.264084,0.246649,0.003609,0.000037,0.581019
0.056047,0.333954,0.086565,0.006671,0.000037,0.483274
0.067550,0.286448,0.240007,0.003602,0.000049,0.597656
0.061291,0.351558,0.082460,0.009168,0.000035,0.504512
0.073785,0.351019,0.085071,0.003008,0.000056,0.512939
0.060262,0.309430,0.272610,0.003405,0.000039,0.645746
0.084483,0.298985,0.201942,0.003080,0.000035,0.588525
0.062772,0.381791,0.081540,0.002766,0.000036,0.528905
0.072154,0.352411,0.083681,0.003027,0.000037,0.511309
0.069683,0.324013,0.279359,0.002910,0.000047,0.676011
0.088569,0.355348,0.191173,0.002805,0.000035,0.637931
0.065422,0.410149,0.088759,0.003118,0.000059,0.567506
0.079563,0.337490,0.272150,0.003007,0.000036,0.692245
0.090115,0.377472,0.089020,0.003788,0.000048,0.560443
0.070980,0.415003,0.083944,0.003146,0.000037,0.573111
0.062019,0.406582,0.208474,0.007655,0.000085,0.684816
0.061104,0.412756,0.281130,0.003046,0.000071,0.758108
0.076619,0.408459,0.257418,0.005122,0.000090,0.747708
0.066493,0.472457,0.144399,0.007359,0.015381,0.706089
0.064990,0.514704,0.079318,0.007096,0.000036,0.666145
0.072661,0.436535,0.217500,0.008802,0.000040,0.735538
0.080653,0.480438,0.074419,0.003045,0.000063,0.638618
0.068391,0.454862,0.257848,0.002607,0.000044,0.783752
0.074815,0.527036,0.082368,0.002867,0.000035,0.687120
0.061116,0.487210,0.267844,0.003862,0.000060,0.820093
0.061092,0.531120,0.195405,0.005999,0.000038,0.793654
0.075482,0.542919,0.082166,0.003572,0.000088,0.704227
0.073270,0.528800,0.081941,0.002943,0.000034,0.686988
0.055080,0.515384,0.263307,0.003302,0.000059,0.837131
0.077381,0.512212,0.188249,0.002941,0.000036,0.780818
0.065318,0.582951,0.083433,0.003312,0.000040,0.735053
0.067814,0.550963,0.271526,0.003346,0.000035,0.893683
0.080188,0.554341,0.082999,0.004218,0.000075,0.721821
0.084614,0.560306,0.185494,0.009355,0.000059,0.839828
0.072524,0.575046,0.083720,0.011626,0.000082,0.742997
0.060707,0.580022,0.268741,0.003014,0.000030,0.912515
0.072224,0.622112,0.112991,0.010334,0.000034,0.817696
0.074589,0.581416,0.252356,0.003541,0.000036,0.911939
0.066482,0.648039,0.080688,0.002521,0.000034,0.797764
0.062876,0.615653,0.212630,0.002634,0.000046,0.893840
0.066397,0.599043,0.268547,0.003038,0.000036,0.937061
0.095971,0.634221,0.080330,0.002606,0.000034,0.813163
0.073575,0.636482,0.083215,0.002929,0.000088,0.796290
0.060779,0.648236,0.257387,0.003031,0.000063,0.969496
0.087241,0.670704,0.177599,0.002376,0.000044,0.937963
0.077220,0.682341,0.083070,0.006470,0.000059,0.849161
0.061297,0.682762,0.083297,0.003061,0.000040,0.830457
0.070610,0.663838,0.278449,0.002321,0.000056,1.015274
0.062435,0.732723,0.082331,0.003974,0.000037,0.881500
0.064253,0.704445,0.221065,0.003081,0.000038,0.992882
0.068881,0.694945,0.269574,0.004205,0.000068,1.037673
0.081546,0.726084,0.083627,0.003263,0.000037,0.894557
0.081428,0.708626,0.085494,0.005861,0.000039,0.881448
0.092091,0.689008,0.236763,0.007873,0.000080,1.025815
0.079180,0.739831,0.185304,0.002800,0.000050,1.007165
0.074724,0.768334,0.083989,0.002869,0.000033,0.929949
0.087828,0.715284,0.267218,0.003231,0.000040,1.073601
0.062732,0.766790,0.077032,0.004589,0.000048,0.911192
0.064414,0.805284,0.079673,0.002390,0.000043,0.951805
0.068101,0.747378,0.237972,0.004290,0.000040,1.057781
0.065484,0.776778,0.192390,0.002181,0.000047,1.036880
0.064479,0.818418,0.084302,0.003254,0.000048,0.970500
0.071328,0.797538,0.081729,0.003090,0.000036,0.953721
0.060315,0.779049,0.257984,0.002513,0.000039,1.099901
0.069425,0.786707,0.191684,0.002616,0.000035,1.050466
0.062089,0.853496,0.083618,0.003333,0.000035,1.002572
0.077039,0.759245,0.313282,0.003304,0.000037,1.152907
0.084792,0.817043,0.083822,0.006988,0.000036,0.992681
0.065785,0.815487,0.195065,0.003355,0.000033,1.079725
0.084954,0.862625,0.085227,0.011360,0.000047,1.044213
0.071427,0.828116,0.232049,0.015032,0.000042,1.146667
0.062199,0.871178,0.088266,0.003480,0.000048,1.025172
0.072932,0.841159,0.245467,0.003610,0.000061,1.163229
0.083209,0.870945,0.087163,0.003808,0.000085,1.045209
0.063151,0.838882,0.241183,0.003437,0.000037,1.146689
0.058834,0.881508,0.269737,0.006290,0.000036,1.216406
0.063896,0.910391,0.116334,0.003623,0.015367,1.109611
0.080513,0.898604,0.079604,0.005690,0.000040,1.064453
0.089290,0.919753,0.190160,0.002640,0.000034,1.201876
0.065276,0.925138,0.118063,0.004029,0.015421,1.127928
0.065529,0.928040,0.281891,0.009479,0.015055,1.299995
0.061097,1.003693,0.107802,0.003480,0.000051,1.176123
0.064572,0.920030,0.251382,0.007703,0.000118,1.243804
0.082401,0.986725,0.110309,0.003165,0.000044,1.182644
0.087357,0.956997,0.243028,0.003482,0.000036,1.290900
0.068203,1.045637,0.088027,0.008481,0.000041,1.210390
0.086084,0.923268,0.288366,0.004124,0.016043,1.317885
0.076145,0.962323,0.268306,0.003458,0.000045,1.310277
0.063692,1.070427,0.114736,0.003630,0.000055,1.252540
0.066552,1.054032,0.230154,0.004012,0.000034,1.354784
0.091876,1.052276,0.118199,0.003517,0.015253,1.281121
0.060350,1.047345,0.233665,0.003492,0.000035,1.344887
0.078956,1.103360,0.106349,0.002701,0.000037,1.291404
0.091964,1.054041,0.234358,0.004025,0.015272,1.399659
0.059123,1.129811,0.102177,0.001948,0.000041,1.293100
0.063092,1.096632,0.229456,0.001630,0.000049,1.390858
0.062509,1.165312,0.130835,0.008991,0.000051,1.367698
0.062676,1.112797,0.280595,0.002978,0.015908,1.474954
0.060669,1.157400,0.203240,0.002069,0.000060,1.423438
0.076164,1.214156,0.081646,0.003089,0.000035,1.375090
0.084506,1.142047,0.253432,0.003043,0.000063,1.483092
0.065173,1.191186,0.266821,0.004343,0.000100,1.527622
0.087737,1.186362,0.159674,0.004576,0.034871,1.473220
0.064961,1.191111,0.229226,0.007617,0.014468,1.507382
0.070953,1.292668,0.109054,0.003823,0.000064,1.476561
0.079309,1.232099,0.268080,0.004363,0.000051,1.583902
0.075157,1.273123,0.233283,0.005066,0.015308,1.601937
0.077356,1.298371,0.187304,0.004444,0.015776,1.583251
0.074373,1.254016,0.297140,0.003695,0.000049,1.629273
0.068936,1.377841,0.118376,0.003989,0.016584,1.585726
0.064044,1.393456,0.076142,0.007022,0.000057,1.540721
0.077604,1.337798,0.249264,0.003547,0.014467,1.682679
0.064370,1.396835,0.220686,0.003160,0.000040,1.685090
0.063291,1.402932,0.108803,0.003193,0.015022,1.593240
0.065290,1.442460,0.105911,0.013005,0.016885,1.643550
0.063390,1.404327,0.277891,0.003393,0.000057,1.749057
0.078770,1.384216,0.276892,0.003082,0.015362,1.758322
0.074751,1.409437,0.216140,0.003651,0.015744,1.719724
0.077487,1.479917,0.160318,0.003570,0.000040,1.721332
0.067127,1.504436,0.111367,0.004213,0.014868,1.702011
0.076500,1.503200,0.109968,0.004186,0.014795,1.708650
0.073564,1.472670,0.257620,0.005316,0.014482,1.823653
0.064628,1.499872,0.231011,0.004390,0.014886,1.814786
0.066462,1.558346,0.112057,0.009954,0.014803,1.761621
0.070824,1.513976,0.286495,0.004239,0.000033,1.875567
0.078610,1.567908,0.095416,0.007012,0.000044,1.748990
0.061404,1.541004,0.259824,0.007275,0.000342,1.869850
0.059397,1.570617,0.217079,0.002466,0.000071,1.849629
0.074371,1.632753,0.113605,0.003913,0.015595,1.840237
0.085971,1.595613,0.077414,0.002079,0.000046,1.761123
0.066393,1.606189,0.186790,0.001390,0.000037,1.860799
0.078078,1.611579,0.104572,0.004111,0.000068,1.798408
0.081223,1.615360,0.251889,0.002592,0.014790,1.965855
0.084565,1.601733,0.256519,0.010297,0.000054,1.953169
0.065882,1.661464,0.110300,0.006721,0.014568,1.858935
0.072311,1.618606,0.218122,0.004972,0.014375,1.928387
0.102857,1.674443,0.108489,0.005068,0.014857,1.905714
0.062637,1.721363,0.100723,0.003191,0.000042,1.887955
0.062380,1.687071,0.285859,0.004830,0.015956,2.056096
0.065174,1.673251,0.211463,0.006698,0.000060,1.956647
0.092315,1.651835,0.305058,0.003914,0.014442,2.067565
0.061833,1.792612,0.110251,0.003949,0.014643,1.983288
0.079673,1.768815,0.112454,0.004250,0.014709,1.979902
0.087297,1.750282,0.243116,0.003790,0.015073,2.099558
0.072591,1.822115,0.105944,0.003581,0.000093,2.004323
0.077303,1.744400,0.262828,0.003937,0.014818,2.103286
0.078221,1.749909,0.263928,0.003879,0.015337,2.111274
0.062558,1.856481,0.109413,0.004689,0.015174,2.048314
0.072401,1.856300,0.083928,0.002822,0.000044,2.015496
0.068722,1.844064,0.256865,0.005081,0.018451,2.193182
0.076273,1.849841,0.190850,0.003084,0.000083,2.120131
0.077825,1.823212,0.275892,0.002684,0.000052,2.179665
0.063877,1.914397,0.105213,0.004499,0.000061,2.088047
0.068823,1.907617,0.110313,0.003845,0.014942,2.105541
0.062176,1.906632,0.236124,0.003516,0.014890,2.223338
0.071607,1.952436,0.109980,0.004925,0.015265,2.154214
0.078720,1.905178,0.283682,0.005098,0.016315,2.288993
0.068968,1.885553,0.270481,0.003988,0.015873,2.244864
0.065752,1.999765,0.110297,0.004959,0.014683,2.195456
0.067745,1.971542,0.267993,0.004570,0.015215,2.327065
0.088098,1.989617,0.108571,0.003419,0.014859,2.204565
0.060521,1.997565,0.243884,0.008328,0.014672,2.324970
0.061043,2.005837,0.268508,0.015874,0.014477,2.365739
0.080684,2.057637,0.111006,0.007672,0.014847,2.271847
0.067901,2.099600,0.105869,0.003347,0.014708,2.291425
0.075382,2.041697,0.234369,0.002282,0.000058,2.353788
0.098578,2.074350,0.103440,0.003204,0.015280,2.294853
0.095674,2.024997,0.212561,0.005462,0.015262,2.353958
0.062628,2.074940,0.271267,0.003734,0.014698,2.427267
0.060797,2.147335,0.108588,0.004785,0.014714,2.336220
0.061817,2.160074,0.109079,0.004367,0.015572,2.350907
0.077464,2.103470,0.301054,0.004284,0.002455,2.488727
0.062443,2.136305,0.237363,0.005604,0.014758,2.456473
0.061281,2.148003,0.259454,0.008903,0.015360,2.493001
0.062343,2.235595,0.105825,0.009792,0.015490,2.429044
0.076389,2.227665,0.114239,0.003885,0.015257,2.437435
0.071973,2.216228,0.243944,0.003677,0.015665,2.551487
0.062204,2.205978,0.287886,0.003714,0.014778,2.574560
0.064227,2.286719,0.116822,0.003854,0.015046,2.486669
0.062736,2.208854,0.273875,0.003602,0.015246,2.564314
0.077200,2.312772,0.113392,0.005202,0.015446,2.524013
0.088009,2.277914,0.263148,0.010885,0.016343,2.656300
0.059526,2.342845,0.105843,0.003888,0.014664,2.526766
0.062018,2.312769,0.215533,0.008561,0.021215,2.620096
0.068549,2.295782,0.262338,0.010317,0.016244,2.653230
0.085933,2.382712,0.105928,0.004010,0.014822,2.593405
0.060219,2.379412,0.102549,0.003863,0.015292,2.561335
0.063964,2.364692,0.209889,0.002701,0.016595,2.657841
0.072925,2.369284,0.271974,0.008825,0.019918,2.742925
0.077219,2.433485,0.105482,0.008698,0.014453,2.639337
0.068700,2.391037,0.266280,0.003960,0.014344,2.744321
0.068995,2.446899,0.104975,0.003490,0.015139,2.639499
0.061289,2.457650,0.107162,0.004130,0.014919,2.645151
0.062775,2.427028,0.219143,0.006109,0.016531,2.731585
0.070630,2.469276,0.270500,0.008789,0.015830,2.835025
0.060732,2.533770,0.109445,0.006440,0.015832,2.726220
0.064241,2.449520,0.282066,0.011350,0.017896,2.825073
