Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.070802,0.790043,0.260186,0.002243,0.000044,1.123317
0.063447,0.828964,0.219767,0.002285,0.000045,1.114508
0.071234,0.864965,0.083820,0.002776,0.000036,1.022831
0.078125,0.800759,0.232159,0.002835,0.000039,1.113917
0.065007,0.859653,0.083592,0.003079,0.000036,1.011366
0.064848,0.880859,0.185452,0.003011,0.000060,1.134230
0.072698,0.864320,0.083361,0.003617,0.000050,1.024047
0.066325,0.856927,0.270204,0.003844,0.000064,1.197364
0.069177,0.921138,0.085256,0.005838,0.002817,1.084226
0.085471,0.861157,0.271625,0.003347,0.000037,1.221637
0.065988,0.910548,0.085964,0.003723,0.000095,1.066318
0.068682,0.895983,0.204065,0.004002,0.000045,1.172776
0.068864,0.950132,0.115613,0.004301,0.015926,1.154836
0.070161,0.892431,0.268354,0.003217,0.000052,1.234216
0.072342,0.962755,0.079206,0.009126,0.000036,1.123464
0.075528,0.925233,0.253329,0.005484,0.000040,1.259614
0.061852,0.932789,0.290078,0.002879,0.014856,1.302454
0.064391,0.988310,0.109979,0.004091,0.014947,1.181717
0.070753,0.958221,0.187666,0.005513,0.000084,1.222237
0.084037,1.035433,0.111739,0.010239,0.000057,1.241505
0.078076,1.019169,0.083246,0.003139,0.000044,1.183673
0.078909,1.008949,0.237479,0.003124,0.000046,1.328506
0.074781,1.072504,0.086736,0.003812,0.000058,1.237891
0.069451,0.991686,0.291663,0.004360,0.014740,1.371899
0.063556,0.985564,0.298871,0.003138,0.000037,1.351166
0.071417,1.095376,0.114421,0.004025,0.000059,1.285298
0.076195,1.083763,0.242996,0.003388,0.000040,1.406382
0.081385,1.098245,0.110875,0.003531,0.014772,1.308807
0.066217,1.086084,0.230838,0.003251,0.000069,1.386459
0.069454,1.163584,0.106749,0.002478,0.000037,1.342302
0.094581,1.053684,0.302128,0.003397,0.014526,1.468317
0.074375,1.168403,0.102498,0.002306,0.000392,1.347974
0.065706,1.161846,0.194604,0.001306,0.000043,1.423505
0.070240,1.146892,0.276404,0.002427,0.017323,1.513287
0.067837,1.209401,0.132415,0.009605,0.000054,1.419312
0.077593,1.176882,0.218113,0.001855,0.000041,1.474484
0.077259,1.253012,0.082774,0.002911,0.000046,1.416003
0.059358,1.194574,0.225336,0.002714,0.000043,1.482024
0.095474,1.216242,0.160792,0.004767,0.035535,1.512811
0.056041,1.258315,0.264252,0.010058,0.000062,1.588728
0.099547,1.206985,0.239477,0.009850,0.014061,1.569920
0.061346,1.345114,0.108954,0.003537,0.000044,1.518995
0.073261,1.238278,0.266783,0.003116,0.000034,1.581471
