Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.066598,0.607809,0.194312,0.011075,0.000122,0.007377,0.000002,0.887294
0.073595,0.630227,0.080300,0.010051,0.000031,0.007853,0.000002,0.802059
0.070555,0.592856,0.269123,0.009573,0.000033,0.008132,0.000003,0.950275
0.090078,0.560882,0.261197,0.010662,0.000160,0.007233,0.000002,0.930214
0.061478,0.662717,0.104147,0.010495,0.000056,0.008037,0.000015,0.846947
0.061099,0.672247,0.184867,0.009912,0.000039,0.007175,0.000002,0.935341
0.062423,0.664519,0.083214,0.010419,0.000038,0.008527,0.000002,0.829143
0.063981,0.682418,0.081713,0.012431,0.000597,0.009223,0.000002,0.850364
0.063636,0.637765,0.251474,0.010504,0.000033,0.022321,0.000003,0.985734
0.068436,0.644504,0.231313,0.010154,0.000045,0.007868,0.000002,0.962321
0.067785,0.689719,0.091167,0.011180,0.000046,0.007496,0.000002,0.867395
0.061027,0.692241,0.257517,0.009759,0.000045,0.007811,0.000003,1.028404
0.084365,0.702563,0.082881,0.011146,0.000032,0.008368,0.000002,0.889357
0.063106,0.679391,0.191954,0.012026,0.000044,0.011173,0.000002,0.957695
0.086443,0.699515,0.260577,0.010383,0.000031,0.007483,0.000002,1.064433
0.065054,0.733020,0.087223,0.010861,0.000057,0.007715,0.000002,0.903934
0.063655,0.749036,0.083164,0.010817,0.000032,0.008541,0.000002,0.915247
0.077128,0.734995,0.221375,0.010112,0.000058,0.007852,0.000002,1.051521
0.083174,0.744933,0.077713,0.008815,0.000036,0.007206,0.000003,0.921879
0.062741,0.740093,0.229746,0.010610,0.000030,0.007152,0.000002,1.050375
0.059276,0.776660,0.080214,0.011414,0.000053,0.007247,0.000002,0.934865
0.080830,0.707741,0.238667,0.011176,0.000059,0.006975,0.000002,1.045448
0.074192,0.755812,0.173579,0.009681,0.000053,0.007033,0.000002,1.020352
0.091379,0.764029,0.084322,0.019087,0.000032,0.007144,0.000002,0.965995
0.062391,0.771571,0.082200,0.010384,0.000035,0.007479,0.000002,0.934062
0.060550,0.771349,0.253627,0.009332,0.000046,0.008279,0.000003,1.103186
0.078825,0.755598,0.180689,0.010250,0.000050,0.008144,0.000002,1.033557
0.070864,0.816911,0.082818,0.010458,0.000037,0.007750,0.000002,0.988840
0.100184,0.728495,0.312518,0.009793,0.000031,0.007187,0.000003,1.158211
0.078342,0.786981,0.084086,0.010385,0.000032,0.008536,0.000003,0.968366
