Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.049106,0.008799,0.101518,0.004975,0.000057,0.164456
0.084276,0.005886,0.084468,0.010458,0.000064,0.185151
0.062205,0.007405,0.234154,0.003195,0.000045,0.307005
0.070025,0.006466,0.221075,0.002930,0.000043,0.300539
0.077999,0.070565,0.088734,0.004178,0.000063,0.241539
0.057662,0.006127,0.278776,0.003883,0.000047,0.346495
0.066729,0.067615,0.085519,0.002851,0.000034,0.222748
0.071656,0.067004,0.193581,0.003890,0.000034,0.336165
0.059237,0.094938,0.084793,0.002835,0.000209,0.242012
0.070610,0.055397,0.287671,0.006203,0.000045,0.419926
0.088325,0.085271,0.083279,0.004510,0.000032,0.261417
0.061386,0.082322,0.278509,0.003400,0.000051,0.425667
0.071267,0.117878,0.079012,0.003296,0.000035,0.271488
0.062734,0.109182,0.254488,0.002556,0.000052,0.429011
0.073718,0.128522,0.083818,0.002837,0.000037,0.288932
0.067268,0.153197,0.083234,0.004001,0.000036,0.307735
0.076827,0.135465,0.271268,0.003180,0.000038,0.486778
0.068407,0.157121,0.187208,0.003032,0.000130,0.415899
0.065697,0.157860,0.258500,0.003507,0.000069,0.485634
0.061854,0.209795,0.204153,0.004106,0.000033,0.479942
0.066098,0.276814,0.085650,0.003341,0.000043,0.431947
0.062972,0.192191,0.276176,0.005602,0.000062,0.537003
0.081343,0.198110,0.230033,0.004717,0.000033,0.514237
0.064852,0.181562,0.277720,0.004642,0.000055,0.528831
0.075168,0.288133,0.109287,0.003333,0.000034,0.475955
0.080102,0.292957,0.085695,0.003468,0.000046,0.462268
0.068836,0.272309,0.204980,0.003416,0.000067,0.549609
0.081064,0.312345,0.284253,0.003368,0.000109,0.681139
0.071753,0.353852,0.088083,0.006316,0.000057,0.520061
0.076296,0.335545,0.088487,0.003152,0.000058,0.503538
0.064499,0.294581,0.312202,0.004155,0.000042,0.675479
0.069191,0.345142,0.195782,0.003339,0.000035,0.613489
0.068232,0.400838,0.087199,0.003837,0.000032,0.560139
0.063033,0.391389,0.083155,0.003705,0.000044,0.541327
0.062701,0.377859,0.287968,0.004737,0.000036,0.733301
0.072326,0.372637,0.190044,0.004057,0.000054,0.639118
0.061315,0.445057,0.084455,0.002856,0.000038,0.593722
0.070502,0.367748,0.275262,0.003212,0.000051,0.716777
0.067749,0.418348,0.086204,0.004027,0.000071,0.576398
0.093623,0.406220,0.192331,0.006867,0.000061,0.699101
0.063649,0.448418,0.085141,0.010973,0.000110,0.608291
0.101902,0.399018,0.277433,0.003114,0.000042,0.781510
0.070679,0.490675,0.083797,0.003322,0.000035,0.648508
0.064715,0.415646,0.262542,0.004389,0.000053,0.747344
0.097267,0.446879,0.083032,0.003076,0.000040,0.630294
0.063811,0.466820,0.217337,0.003605,0.000034,0.751606
0.065194,0.491589,0.083766,0.003426,0.000034,0.644009
0.084966,0.493043,0.077830,0.005594,0.000061,0.661494
0.061234,0.483285,0.278774,0.011236,0.000067,0.834595
0.080032,0.502010,0.184462,0.004115,0.000121,0.770740
0.076568,0.509988,0.082098,0.005222,0.000041,0.673918
0.084780,0.457838,0.336413,0.003791,0.015621,0.898443
0.062657,0.542115,0.082674,0.003304,0.000037,0.690787
0.083856,0.536530,0.233054,0.003389,0.000056,0.856884
0.067217,0.554849,0.081442,0.002769,0.000036,0.706313
0.068495,0.562806,0.214244,0.002888,0.000036,0.848468
0.069024,0.570104,0.083426,0.003719,0.000055,0.726328
0.064174,0.550496,0.262156,0.003418,0.000035,0.880280
0.096510,0.558285,0.083105,0.006909,0.000033,0.744841
0.064554,0.589949,0.182987,0.013356,0.000121,0.850966
0.063324,0.576638,0.084379,0.002983,0.000033,0.727357
0.101915,0.546444,0.272961,0.021327,0.000060,0.942707
0.082994,0.608457,0.084623,0.007680,0.000054,0.783809
0.065258,0.605547,0.202469,0.003405,0.000031,0.876710
0.061461,0.603862,0.267371,0.003964,0.000034,0.936692
0.064913,0.641423,0.114091,0.003853,0.000093,0.824374
0.062957,0.657483,0.082216,0.003076,0.000059,0.805791
0.073303,0.634044,0.203885,0.004354,0.000036,0.915622
0.070978,0.645412,0.274729,0.004283,0.000046,0.995447
0.082010,0.688426,0.079937,0.002885,0.000037,0.853296
0.070038,0.642340,0.278739,0.003520,0.000074,0.994710
0.062548,0.688960,0.106909,0.010355,0.000036,0.868809
0.070166,0.704471,0.193846,0.003099,0.000033,0.971615
0.072451,0.724109,0.083436,0.007663,0.000063,0.887723
0.068330,0.692877,0.249401,0.003546,0.000262,1.014417
0.086339,0.731663,0.083425,0.003142,0.000043,0.904611
0.082005,0.706932,0.228636,0.002705,0.000035,1.020312
0.058063,0.742296,0.209174,0.004061,0.000059,1.013654
0.097754,0.733597,0.082839,0.006760,0.000050,0.921000
0.059322,0.784042,0.084989,0.004349,0.000062,0.932765
0.092808,0.718785,0.274212,0.003079,0.000036,1.088921
0.067615,0.796816,0.082288,0.009894,0.000077,0.956691
0.082758,0.734306,0.192355,0.027248,0.000047,1.036714
0.076523,0.736515,0.275192,0.017443,0.000100,1.105775
0.077495,0.810838,0.082313,0.003017,0.000036,0.973700
0.072098,0.799232,0.077216,0.003091,0.000036,0.951673
0.069347,0.805903,0.187042,0.004146,0.000044,1.066482
0.063653,0.849200,0.077628,0.002523,0.000051,0.993056
0.060103,0.823963,0.282230,0.003507,0.000077,1.169881
0.076791,0.784028,0.231900,0.002811,0.000036,1.095566
0.075423,0.846749,0.081341,0.002664,0.000036,1.006213
0.073631,0.830173,0.080808,0.004804,0.000060,0.989475
0.072257,0.827980,0.209796,0.002739,0.000048,1.112820
0.087050,0.841797,0.263285,0.003404,0.000066,1.195602
0.067635,0.883946,0.082929,0.004306,0.000033,1.038848
0.079704,0.812690,0.268206,0.002829,0.000035,1.163464
0.061961,0.876391,0.082987,0.004153,0.000032,1.025525
0.073971,0.880915,0.083228,0.006894,0.000075,1.045083
0.063853,0.912463,0.197065,0.016511,0.000063,1.189955
0.058970,0.944794,0.084849,0.005109,0.000044,1.093766
0.062170,0.896994,0.268321,0.010640,0.000053,1.238179
0.062588,0.898446,0.273227,0.007697,0.000037,1.241996
0.062224,0.914792,0.201373,0.005029,0.000046,1.183464
0.107145,0.918069,0.125185,0.009273,0.000084,1.159755
0.071463,0.960043,0.113444,0.004123,0.015504,1.164577
0.090573,0.899846,0.232506,0.003282,0.000053,1.226261
