Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.051505,0.008979,0.100931,0.004235,0.000048,0.165698
0.065945,0.006016,0.083373,0.003158,0.000037,0.158529
0.067091,0.007170,0.212049,0.002867,0.000036,0.289213
0.059266,0.058864,0.085115,0.003269,0.000040,0.206554
0.068129,0.006631,0.273104,0.002986,0.000033,0.350884
0.058024,0.006603,0.273556,0.003061,0.000043,0.341288
0.060838,0.073595,0.084542,0.002883,0.000036,0.221895
0.070806,0.053947,0.197186,0.003192,0.000065,0.325196
0.062766,0.062036,0.083453,0.002708,0.000042,0.211005
0.087118,0.053761,0.082682,0.005002,0.000111,0.228674
0.077101,0.067857,0.273555,0.002744,0.000044,0.421301
0.077673,0.111189,0.083431,0.007023,0.000062,0.279377
0.072726,0.067805,0.274295,0.006136,0.000064,0.421026
0.068738,0.139316,0.081952,0.003472,0.000036,0.293514
0.063752,0.092612,0.304283,0.003847,0.000096,0.464590
0.064493,0.159372,0.083076,0.006429,0.000071,0.313440
0.071805,0.146144,0.192562,0.009204,0.000106,0.419821
0.072258,0.108189,0.230849,0.002968,0.000036,0.414299
0.061264,0.165393,0.226410,0.003952,0.000044,0.457062
0.081731,0.159410,0.196861,0.003293,0.000045,0.441339
0.079521,0.239844,0.085588,0.004402,0.000042,0.409397
0.077306,0.135356,0.278044,0.003422,0.000048,0.494176
0.067013,0.176837,0.278233,0.005511,0.000049,0.527644
0.076619,0.260594,0.085180,0.010647,0.000061,0.433101
0.083939,0.221572,0.201225,0.004119,0.000067,0.510921
0.067367,0.288293,0.086484,0.004382,0.000032,0.446558
0.073193,0.249905,0.232676,0.003356,0.000043,0.559172
0.100406,0.244346,0.085056,0.003959,0.000059,0.433826
0.058053,0.296148,0.084914,0.003149,0.000040,0.442303
0.061194,0.262193,0.316873,0.003487,0.000036,0.643783
0.093805,0.245140,0.273829,0.006771,0.000062,0.619607
0.062541,0.351610,0.084441,0.003086,0.000042,0.501720
0.088068,0.301933,0.207675,0.003429,0.000062,0.601167
0.069887,0.329976,0.083043,0.003037,0.000034,0.485978
0.064087,0.350711,0.082481,0.004661,0.000050,0.501992
0.076708,0.366879,0.196446,0.007024,0.000054,0.647110
0.077938,0.389208,0.084822,0.006213,0.000066,0.558247
0.069165,0.343487,0.277248,0.006164,0.000077,0.696142
0.074295,0.322917,0.269432,0.002756,0.000055,0.669456
0.072061,0.411271,0.085338,0.003477,0.000043,0.572191
0.072592,0.367909,0.206477,0.002945,0.000031,0.649955
0.089423,0.380129,0.082976,0.004257,0.000035,0.556820
0.072503,0.409755,0.084067,0.003337,0.000040,0.569701
0.062429,0.393912,0.269357,0.003102,0.000039,0.728839
0.086952,0.380826,0.260576,0.003379,0.000052,0.731786
0.060578,0.473537,0.083853,0.003307,0.000040,0.621315
0.086346,0.390861,0.214261,0.005663,0.001563,0.698693
0.094337,0.425728,0.082655,0.002803,0.000044,0.605566
0.058467,0.473892,0.080715,0.003824,0.000046,0.616943
0.076125,0.412698,0.184054,0.002569,0.000036,0.675483
0.090069,0.439009,0.238606,0.003722,0.000035,0.771442
0.060362,0.524526,0.080968,0.002405,0.000043,0.668305
0.059451,0.465765,0.351749,0.003228,0.016616,0.896809
0.064893,0.494218,0.080985,0.003700,0.000047,0.643842
0.101494,0.477777,0.170341,0.002612,0.000058,0.752282
0.061153,0.520056,0.081767,0.002961,0.000034,0.665971
0.088523,0.475081,0.259713,0.002531,0.000035,0.825883
0.062860,0.535145,0.083127,0.003971,0.000036,0.685140
0.061816,0.521290,0.181334,0.004928,0.000117,0.769486
0.066465,0.510499,0.263420,0.002812,0.000058,0.843254
0.083942,0.527637,0.083575,0.003980,0.000055,0.699189
0.086000,0.508930,0.083871,0.003635,0.000034,0.682470
0.063358,0.563634,0.270110,0.004899,0.000047,0.902048
0.075321,0.568949,0.083126,0.009670,0.000064,0.737130
0.087878,0.540813,0.208289,0.011397,0.000042,0.848420
0.084999,0.522292,0.226772,0.003977,0.000092,0.838132
0.065019,0.628932,0.116492,0.003340,0.000033,0.813816
0.071770,0.607349,0.079073,0.002968,0.000034,0.761194
0.069220,0.566875,0.192496,0.002421,0.000032,0.831044
0.065326,0.657093,0.079682,0.013566,0.000057,0.815723
0.068390,0.595056,0.274925,0.018769,0.000066,0.957207
0.074233,0.572550,0.266928,0.018460,0.000061,0.932233
0.071312,0.635599,0.084084,0.002869,0.000035,0.793899
0.076968,0.652085,0.175140,0.002297,0.000040,0.906530
0.060305,0.663929,0.082551,0.005931,0.000058,0.812773
0.062921,0.613444,0.236908,0.003179,0.000041,0.916493
0.072740,0.672908,0.081286,0.003387,0.000090,0.830411
0.077934,0.662024,0.289343,0.003206,0.000067,1.032573
0.071457,0.685343,0.088759,0.003348,0.000034,0.848942
0.078282,0.659787,0.238428,0.003223,0.000043,0.979763
0.078053,0.703579,0.084938,0.003769,0.000100,0.870439
0.063266,0.717164,0.215904,0.003052,0.000037,0.999424
0.068396,0.730108,0.086047,0.008793,0.000073,0.893417
0.064697,0.696578,0.262414,0.004465,0.000039,1.028193
0.078855,0.740558,0.082344,0.009081,0.000051,0.910889
0.072962,0.703182,0.270296,0.004074,0.000058,1.050572
0.061896,0.735763,0.202554,0.002781,0.000043,1.003037
0.078826,0.759604,0.077049,0.002165,0.000034,0.917679
0.095390,0.728922,0.204208,0.002025,0.000089,1.030634
0.082176,0.731516,0.079349,0.003891,0.000046,0.896977
0.065044,0.793195,0.081892,0.002737,0.000030,0.942899
0.059860,0.781037,0.212513,0.002792,0.000036,1.056239
