Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.056486,0.005823,0.258131,0.004056,0.000057,0.324553
0.064815,0.006559,0.278323,0.003236,0.000053,0.352986
0.065623,0.006560,0.263083,0.003452,0.000056,0.338774
0.068727,0.155022,0.278483,0.003248,0.000049,0.505529
0.043973,0.007427,0.564386,0.004723,0.000105,0.620614
0.064401,0.170013,0.245865,0.003057,0.000044,0.483380
0.069705,0.176824,0.278188,0.003094,0.000046,0.527857
0.077199,0.324303,0.093623,0.009783,0.000043,0.504951
0.064669,0.292950,0.221498,0.003206,0.000055,0.582378
0.081443,0.297152,0.290983,0.002094,0.000034,0.671705
0.070285,0.308136,0.269730,0.002496,0.000038,0.650685
0.090643,0.281370,0.213825,0.007636,0.000036,0.593511
0.076400,0.435083,0.089201,0.002242,0.000036,0.602962
0.073472,0.396509,0.085048,0.002277,0.000045,0.557352
0.059236,0.439405,0.197351,0.002219,0.000038,0.698248
0.060474,0.460970,0.083746,0.002482,0.000035,0.607707
0.063497,0.422425,0.248387,0.003995,0.000047,0.738351
0.061804,0.391358,0.258708,0.001978,0.000050,0.713898
0.061578,0.478607,0.196186,0.002549,0.000041,0.738960
0.061697,0.472069,0.243085,0.002726,0.000064,0.779641
0.059942,0.450046,0.226351,0.002647,0.000035,0.739022
0.085795,0.550208,0.088075,0.003122,0.000045,0.727244
0.064801,0.472226,0.277966,0.002852,0.000040,0.817884
0.069810,0.551517,0.107599,0.003566,0.000031,0.732522
0.085976,0.551221,0.199525,0.002374,0.000060,0.839156
0.091590,0.518056,0.280500,0.002508,0.000052,0.892706
0.070438,0.594109,0.119482,0.002840,0.000060,0.786930
0.063388,0.546453,0.254593,0.002635,0.000044,0.867113
0.064658,0.626170,0.095878,0.003561,0.000069,0.790335
0.057494,0.625987,0.083373,0.003332,0.000051,0.770237
0.077404,0.608561,0.218267,0.002664,0.000039,0.906934
0.067896,0.637694,0.275058,0.003210,0.000048,0.983905
0.087580,0.650231,0.086901,0.002237,0.000068,0.827017
0.060107,0.634724,0.256155,0.003654,0.000068,0.954708
0.066570,0.655773,0.083529,0.002617,0.000060,0.808549
0.071334,0.670963,0.084772,0.003631,0.000060,0.830761
0.076517,0.691494,0.197666,0.003769,0.000042,0.969488
0.075887,0.716998,0.087196,0.002898,0.000057,0.883036
0.070434,0.674543,0.284550,0.003677,0.000032,1.033236
0.075363,0.682817,0.269090,0.002210,0.000056,1.029535
0.065114,0.747140,0.090532,0.004154,0.000036,0.906977
0.071044,0.697703,0.209433,0.003556,0.000102,0.981839
0.060693,0.766576,0.090753,0.003961,0.000036,0.922019
0.062623,0.735011,0.218203,0.002469,0.000034,1.018340
0.065880,0.745106,0.084753,0.003301,0.000046,0.899086
0.062861,0.774097,0.083237,0.002980,0.000035,0.923210
0.105570,0.699552,0.283931,0.003739,0.000038,1.092830
0.091157,0.716716,0.276862,0.003629,0.000063,1.088426
0.084781,0.803177,0.082924,0.002197,0.000036,0.973115
0.068452,0.779985,0.243216,0.007607,0.017065,1.116325
0.061604,0.807773,0.082498,0.006189,0.000062,0.958126
0.068834,0.816249,0.197873,0.002322,0.000063,1.085342
0.091097,0.792171,0.080522,0.001861,0.000049,0.965701
0.072582,0.826079,0.082171,0.003260,0.000035,0.984127
0.060099,0.824620,0.257320,0.008450,0.000043,1.150533
0.102255,0.790306,0.238046,0.002171,0.000031,1.132810
0.071313,0.874507,0.082971,0.002250,0.000037,1.031078
0.066163,0.845088,0.218178,0.002804,0.000058,1.132292
0.086140,0.840750,0.082979,0.002876,0.000049,1.012793
0.065826,0.865911,0.185516,0.002493,0.000057,1.119803
0.059185,0.883610,0.083631,0.002425,0.000042,1.028893
0.069045,0.845981,0.277049,0.002429,0.000038,1.194542
0.059690,0.901107,0.085557,0.003762,0.000068,1.050184
0.071210,0.861211,0.268437,0.002711,0.000054,1.203623
0.077707,0.907314,0.187832,0.003387,0.000059,1.176299
0.078376,0.903776,0.117616,0.003632,0.000093,1.103493
0.073862,0.930402,0.081925,0.003006,0.000107,1.089303
