Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.045990,0.006598,0.098487,0.011054,0.000030,0.009091,0.000002,0.171251
0.077876,0.002702,0.083383,0.010788,0.000031,0.008884,0.000002,0.183667
0.064530,0.003293,0.177989,0.010170,0.000032,0.008563,0.000002,0.264578
0.059566,0.003739,0.254661,0.010609,0.000032,0.008632,0.000002,0.337243
0.084115,0.044113,0.088557,0.011198,0.000034,0.009308,0.000003,0.237327
0.060040,0.002423,0.265874,0.010196,0.000045,0.015071,0.000002,0.353650
0.070920,0.045694,0.084863,0.009657,0.000041,0.008050,0.000002,0.219228
0.079904,0.028427,0.244228,0.014482,0.000034,0.010120,0.000002,0.377197
0.085323,0.052541,0.084638,0.020373,0.000058,0.007800,0.000001,0.250735
0.061746,0.055731,0.204070,0.021768,0.000101,0.008534,0.000002,0.351952
0.088080,0.041074,0.248155,0.009902,0.000031,0.007123,0.000003,0.394369
0.070531,0.115440,0.177007,0.009771,0.000035,0.007273,0.000002,0.380059
0.061491,0.150328,0.076616,0.010081,0.000033,0.007466,0.000002,0.306017
0.058324,0.093639,0.269802,0.009948,0.000033,0.007422,0.000002,0.439169
0.061208,0.067073,0.267800,0.014631,0.000030,0.007894,0.000002,0.418640
0.092190,0.128665,0.081746,0.014309,0.000034,0.008017,0.000003,0.324964
0.073704,0.152647,0.086912,0.009736,0.000031,0.007346,0.000002,0.330377
0.062472,0.170404,0.202293,0.009396,0.000032,0.007248,0.000002,0.451848
0.062568,0.187925,0.085896,0.016072,0.000226,0.008543,0.000002,0.361233
0.089108,0.166472,0.203247,0.009765,0.000042,0.007476,0.000001,0.476111
0.077987,0.190531,0.086063,0.010917,0.000035,0.008264,0.000002,0.373800
0.087041,0.147667,0.217390,0.010078,0.000046,0.007707,0.000002,0.469929
0.063464,0.226191,0.084304,0.017137,0.000049,0.008045,0.000002,0.399190
0.059532,0.141429,0.380721,0.010977,0.000055,0.007728,0.000002,0.600443
0.097772,0.211779,0.085396,0.010225,0.000033,0.007797,0.000002,0.413004
0.062692,0.197490,0.272016,0.010049,0.000032,0.008020,0.000003,0.550303
0.062721,0.267287,0.084806,0.011231,0.000034,0.007614,0.000001,0.433694
0.094845,0.225328,0.238925,0.011271,0.000054,0.008002,0.000002,0.578426
0.075284,0.275207,0.087994,0.012056,0.000031,0.008629,0.000002,0.459202
0.077001,0.234509,0.307341,0.012221,0.000052,0.011730,0.000002,0.642856
0.098255,0.275603,0.083898,0.019933,0.000052,0.007503,0.000002,0.485247
0.062783,0.272930,0.239911,0.010765,0.000037,0.007532,0.000002,0.593961
0.055173,0.295863,0.204660,0.011370,0.000059,0.007898,0.000002,0.575024
0.086063,0.338358,0.085319,0.009902,0.000037,0.007900,0.000002,0.527581
0.074425,0.300663,0.083264,0.010715,0.000041,0.007253,0.000002,0.476362
0.076418,0.299028,0.194181,0.010073,0.000031,0.007429,0.000002,0.587161
0.073519,0.355600,0.083529,0.009901,0.000037,0.007377,0.000002,0.529966
0.064731,0.323019,0.278387,0.010119,0.000032,0.008042,0.000002,0.684332
0.063746,0.329007,0.264323,0.009785,0.000032,0.007329,0.000002,0.674225
0.095700,0.348196,0.084290,0.014265,0.000031,0.007886,0.000002,0.550371
0.067593,0.369320,0.205150,0.009702,0.000035,0.008612,0.000002,0.660414
0.068808,0.387085,0.086021,0.010861,0.000034,0.008067,0.000002,0.560878
0.068852,0.403901,0.088582,0.017739,0.000056,0.011492,0.000001,0.590624
0.087052,0.350922,0.251938,0.010541,0.000040,0.006807,0.000001,0.707302
0.072609,0.355461,0.225195,0.010834,0.000103,0.007464,0.000001,0.671667
