Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.066853,0.570927,0.194237,0.008042,0.000031,0.008727,0.000002,0.848818
0.070721,0.571320,0.266840,0.008245,0.000031,0.009106,0.000002,0.926265
0.060856,0.648890,0.081405,0.007423,0.000033,0.008964,0.000002,0.807573
0.062762,0.553636,0.246660,0.008294,0.000029,0.008965,0.000002,0.880349
0.076284,0.615379,0.086547,0.008350,0.000035,0.009062,0.000003,0.795660
0.082131,0.618368,0.222563,0.007278,0.000034,0.008523,0.000003,0.938899
0.087164,0.623630,0.082790,0.009338,0.000053,0.012659,0.000002,0.815637
0.073711,0.590969,0.192901,0.008282,0.000046,0.010251,0.000002,0.876162
0.067223,0.640780,0.255397,0.007616,0.000043,0.009053,0.000002,0.980113
0.087936,0.668666,0.084368,0.008340,0.000033,0.009058,0.000002,0.858404
0.062416,0.642766,0.084305,0.008944,0.000045,0.009674,0.000002,0.808151
0.061028,0.697198,0.081382,0.007831,0.000110,0.009176,0.000002,0.856727
0.069176,0.651169,0.208868,0.009679,0.000122,0.018402,0.000002,0.957417
0.075319,0.650955,0.263984,0.007985,0.000032,0.010985,0.000003,1.009261
0.065774,0.662229,0.258920,0.008214,0.000035,0.009364,0.000002,1.004539
0.062421,0.711947,0.088338,0.009141,0.000030,0.009137,0.000002,0.881016
0.066102,0.721893,0.084524,0.007947,0.000032,0.009086,0.000002,0.889586
0.061707,0.738710,0.223207,0.008042,0.000032,0.009152,0.000002,1.040852
0.081873,0.678066,0.207385,0.007770,0.000031,0.015964,0.000002,0.991090
0.062300,0.746659,0.078019,0.013476,0.000042,0.009219,0.000002,0.909717
0.060841,0.701389,0.238075,0.008370,0.000035,0.008747,0.000002,1.017459
0.081674,0.709523,0.080015,0.009235,0.000033,0.008926,0.000002,0.889408
0.083555,0.748838,0.081253,0.007657,0.000049,0.010119,0.000002,0.931473
0.061541,0.761848,0.206099,0.007149,0.000049,0.008999,0.000002,1.045687
0.062278,0.738460,0.206404,0.008570,0.000038,0.009208,0.000002,1.024959
0.084696,0.759329,0.084055,0.008354,0.000030,0.009229,0.000002,0.945696
0.066495,0.766147,0.082456,0.009022,0.000030,0.009291,0.000002,0.933442
0.078427,0.747085,0.188158,0.008326,0.000034,0.009671,0.000003,1.031703
0.090972,0.714568,0.310075,0.008092,0.000032,0.009168,0.000002,1.132908
0.064070,0.817883,0.083141,0.008870,0.000068,0.010365,0.000002,0.984399
0.070400,0.734182,0.260097,0.008691,0.000037,0.010381,0.000003,1.083789
0.060652,0.801064,0.083343,0.008406,0.000061,0.009441,0.000002,0.962970
0.085216,0.797778,0.203196,0.009464,0.000042,0.010975,0.000002,1.106674
0.063148,0.821016,0.120981,0.008577,0.000031,0.009299,0.000003,1.023054
0.076619,0.804094,0.229349,0.009145,0.000051,0.010376,0.000003,1.129637
0.061855,0.806657,0.271482,0.008811,0.000031,0.009494,0.000002,1.158331
0.099178,0.838307,0.114531,0.008783,0.014553,0.010068,0.000003,1.085422
0.062188,0.859333,0.225568,0.008613,0.000042,0.009178,0.000002,1.164925
0.066135,0.902919,0.085359,0.007601,0.000037,0.008941,0.000002,1.070994
0.084600,0.825071,0.235168,0.008132,0.014269,0.009738,0.000003,1.176980
0.086729,0.870566,0.110126,0.008687,0.015090,0.010354,0.000002,1.101554
0.067805,0.884517,0.248528,0.007692,0.000031,0.009030,0.000002,1.217604
0.059927,0.937046,0.089224,0.008382,0.000033,0.009440,0.000003,1.104055
0.063883,0.915835,0.248363,0.012223,0.000405,0.009868,0.000002,1.250578
0.076660,0.902804,0.209184,0.008140,0.000031,0.010336,0.000002,1.207157
0.083366,0.940524,0.109804,0.008442,0.000040,0.009347,0.000002,1.151526
0.072113,0.962402,0.111248,0.008901,0.000033,0.008497,0.000001,1.163196
0.062312,0.971253,0.269744,0.008533,0.014652,0.008810,0.000001,1.335306
0.079073,0.945263,0.245232,0.008806,0.000039,0.009441,0.000004,1.287857
0.075412,0.945189,0.230720,0.008794,0.000032,0.009038,0.000001,1.269186
0.065229,1.046381,0.114179,0.009308,0.000031,0.010273,0.000002,1.245403
0.068960,1.015789,0.111708,0.008904,0.014252,0.009340,0.000002,1.228955
0.059033,1.041687,0.214333,0.008678,0.000032,0.008979,0.000002,1.332744
0.059772,1.071748,0.074878,0.006520,0.000030,0.008458,0.000002,1.221409
0.072039,1.035283,0.280882,0.008378,0.014380,0.010077,0.000016,1.421055
0.059845,1.081494,0.104475,0.007503,0.000033,0.010668,0.000002,1.264019
0.064242,1.028971,0.267609,0.008679,0.000146,0.009258,0.000002,1.378908
0.061538,1.128181,0.077513,0.007300,0.000047,0.008733,0.000002,1.283314
0.061393,1.090026,0.225427,0.008529,0.014801,0.009110,0.000003,1.409290
0.062036,1.104238,0.081841,0.008360,0.000032,0.010096,0.000002,1.266604
0.062101,1.099804,0.199284,0.008303,0.000031,0.009296,0.000002,1.378820
0.059625,1.120889,0.124684,0.009349,0.015269,0.010205,0.000002,1.340023
0.062516,1.118415,0.277905,0.010571,0.000059,0.009702,0.000002,1.479169
0.073364,1.103945,0.224683,0.008477,0.000031,0.009274,0.000002,1.419776
0.062843,1.166144,0.160241,0.009922,0.028577,0.010739,0.000003,1.438468
0.081850,1.153551,0.114627,0.009131,0.014667,0.010174,0.000002,1.384001
0.062524,1.178114,0.219008,0.013880,0.000050,0.009432,0.000001,1.483010
0.062404,1.162127,0.276680,0.013580,0.000045,0.010246,0.000002,1.525083
0.074164,1.180019,0.251264,0.009049,0.000032,0.010063,0.000002,1.524594
0.076619,1.206779,0.196131,0.011880,0.014775,0.009683,0.000001,1.515868
0.065516,1.265455,0.118874,0.009210,0.014955,0.009701,0.000002,1.483712
0.080018,1.268319,0.076473,0.015228,0.000085,0.008699,0.000002,1.448823
0.076795,1.214953,0.229661,0.010645,0.014565,0.011446,0.000002,1.558067
0.072928,1.277891,0.109038,0.008720,0.015318,0.009672,0.000002,1.493569
0.069714,1.300869,0.267598,0.008366,0.000056,0.008779,0.000002,1.655384
0.058340,1.261255,0.213311,0.008055,0.014544,0.009475,0.000002,1.564983
0.079247,1.318960,0.105954,0.014208,0.016960,0.009302,0.000002,1.544633
0.082007,1.271495,0.279886,0.008621,0.000043,0.009604,0.000002,1.651658
0.069805,1.369755,0.106024,0.015848,0.014780,0.010914,0.000002,1.587128
0.090638,1.329041,0.108853,0.009599,0.014679,0.010054,0.000002,1.562867
0.074698,1.363440,0.264412,0.015446,0.000061,0.009308,0.000002,1.727366
0.068353,1.335581,0.262699,0.010204,0.014838,0.010841,0.000003,1.702519
0.069649,1.419056,0.111729,0.009754,0.016969,0.010147,0.000002,1.637305
0.084600,1.314149,0.290026,0.010113,0.014501,0.010037,0.000002,1.723428
0.065631,1.439110,0.104231,0.007784,0.000033,0.008749,0.000002,1.625540
0.074258,1.427179,0.214857,0.009422,0.015330,0.009276,0.000002,1.750325
0.087450,1.459739,0.095819,0.008432,0.000052,0.009766,0.000002,1.661260
0.060539,1.470766,0.288732,0.009135,0.000031,0.013945,0.000002,1.843150
0.065737,1.424250,0.251548,0.008037,0.000033,0.008739,0.000002,1.758347
0.079802,1.490943,0.071456,0.009211,0.000032,0.007022,0.000001,1.658469
0.057742,1.515075,0.080082,0.007026,0.000030,0.009521,0.000001,1.669478
0.087571,1.495146,0.247288,0.008553,0.014601,0.009303,0.000003,1.862465
0.062657,1.526936,0.110884,0.009156,0.000108,0.009287,0.000002,1.719031
0.066895,1.519031,0.199443,0.007933,0.014949,0.010183,0.000002,1.818436
0.062494,1.485477,0.225652,0.007408,0.000030,0.008456,0.000002,1.789519
0.062415,1.567999,0.108040,0.008712,0.014657,0.009951,0.000002,1.771777
0.063322,1.543741,0.105926,0.009574,0.014461,0.010649,0.000002,1.747674
0.096239,1.547371,0.137385,0.010670,0.000059,0.010364,0.000002,1.802090
0.060366,1.561729,0.282263,0.008903,0.014952,0.012128,0.000002,1.940343
0.062019,1.539192,0.285692,0.018128,0.018107,0.010481,0.000003,1.933623
0.091402,1.514763,0.239417,0.009827,0.014707,0.009465,0.000002,1.879582
0.074600,1.658424,0.105857,0.008406,0.000031,0.008997,0.000002,1.856318
0.074245,1.637285,0.111785,0.015493,0.015827,0.010647,0.000015,1.865298
0.081921,1.605425,0.220207,0.009455,0.014535,0.010642,0.000002,1.942189
0.060317,1.653787,0.284036,0.009193,0.014142,0.010854,0.000002,2.032331
0.076206,1.599802,0.284298,0.009698,0.014169,0.010878,0.000002,1.995054
0.059915,1.723939,0.111419,0.011420,0.014849,0.010388,0.000002,1.931932
0.062523,1.739121,0.105046,0.008501,0.015100,0.009800,0.000002,1.940094
0.061305,1.712847,0.223662,0.008099,0.000032,0.008939,0.000002,2.014886
0.063000,1.736432,0.080521,0.007946,0.000037,0.009086,0.000002,1.897024
0.083435,1.681044,0.229781,0.007921,0.000034,0.009595,0.000002,2.011813
0.063498,1.755033,0.102757,0.007686,0.000038,0.008785,0.000002,1.937800
0.096584,1.700224,0.277388,0.009087,0.014873,0.010186,0.000002,2.108344
0.072211,1.758477,0.217142,0.015583,0.000065,0.008654,0.000002,2.072134
0.067197,1.797616,0.107929,0.009462,0.015149,0.012465,0.000002,2.009818
0.097584,1.774806,0.109186,0.009969,0.014650,0.009744,0.000002,2.015940
0.090799,1.747542,0.217649,0.009243,0.014805,0.009726,0.000002,2.089766
0.063260,1.791362,0.279909,0.009620,0.014687,0.009922,0.000002,2.168762
0.061217,1.850769,0.111491,0.009871,0.014543,0.011097,0.000002,2.058989
0.079332,1.765830,0.284157,0.009454,0.024421,0.011078,0.000002,2.174273
0.101160,1.833847,0.119367,0.009454,0.014459,0.010406,0.000002,2.088695
0.064329,1.859276,0.237367,0.009308,0.014173,0.011188,0.000002,2.195644
0.075331,1.885168,0.108434,0.008605,0.014822,0.010180,0.000002,2.102541
0.066719,1.925228,0.076406,0.006895,0.000031,0.008575,0.000002,2.083856
0.092163,1.834837,0.257261,0.009689,0.015127,0.014661,0.000002,2.223740
0.078906,1.875338,0.229742,0.009166,0.015402,0.010143,0.000002,2.218700
0.060153,1.945911,0.104248,0.008081,0.014779,0.008967,0.000002,2.142141
0.061930,1.957201,0.103987,0.008818,0.014753,0.009850,0.000002,2.156542
0.064222,1.906944,0.260021,0.008306,0.014101,0.009657,0.000002,2.263252
0.063044,1.923956,0.271130,0.008260,0.014472,0.009105,0.000002,2.289969
0.071621,1.984990,0.110812,0.009711,0.014534,0.010437,0.000002,2.202107
0.062766,1.947127,0.241082,0.008436,0.000032,0.008732,0.000002,2.268176
0.077578,2.012700,0.112917,0.008842,0.014533,0.009572,0.000002,2.236145
0.074344,1.959130,0.243389,0.009088,0.014632,0.008850,0.000001,2.309435
0.093511,2.008904,0.108441,0.009120,0.014747,0.009939,0.000002,2.244665
