Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.036441,0.003946,0.000001,0.002700,0.200351,0.001762,0.000001,0.002013,0.000008,0.002295,0.000001,0.249517
0.055252,0.002575,0.000001,0.002447,0.199205,0.001943,0.000001,0.001664,0.000013,0.001620,0.000001,0.264723
0.089418,0.002771,0.000001,0.002714,0.200729,0.001825,0.000000,0.001290,0.000012,0.001265,0.000001,0.300026
0.062459,0.002635,0.000001,0.002418,0.196733,0.001748,0.000001,0.001221,0.000007,0.001984,0.000001,0.269207
0.066286,0.002846,0.000001,0.002435,0.290249,0.002160,0.000014,0.001739,0.000009,0.002144,0.000001,0.367882
0.068790,0.002608,0.000001,0.002161,0.273442,0.001733,0.000001,0.001558,0.000008,0.001277,0.000001,0.351579
0.065483,0.002674,0.000001,0.001932,0.265761,0.001764,0.000001,0.001311,0.000009,0.001308,0.000001,0.340245
0.087917,0.002324,0.000001,0.001686,0.191593,0.002110,0.000001,0.001258,0.000009,0.001264,0.000001,0.288165
0.062417,0.003121,0.000001,0.003134,0.279621,0.001898,0.000001,0.001261,0.000009,0.001239,0.000001,0.352701
0.073471,0.002257,0.000001,0.002037,0.214396,0.001606,0.000001,0.001298,0.000007,0.001381,0.000001,0.296454
0.062999,0.002321,0.000001,0.001966,0.202996,0.001622,0.000001,0.001095,0.000009,0.001302,0.000001,0.274311
0.075535,0.002280,0.000001,0.001859,0.212270,0.001779,0.000001,0.001679,0.000024,0.003484,0.000001,0.298914
0.091409,0.009076,0.000001,0.001978,0.298752,0.001609,0.000001,0.002374,0.000091,0.001251,0.000001,0.406543
0.105374,0.002439,0.000001,0.002254,0.178877,0.001393,0.000001,0.001596,0.000018,0.002774,0.000001,0.294726
0.060056,0.002274,0.000001,0.001947,0.261464,0.001708,0.000001,0.002007,0.000011,0.001179,0.000001,0.330646
0.095517,0.002666,0.000001,0.002110,0.299758,0.001781,0.000001,0.001106,0.000009,0.001172,0.000001,0.404120
0.093017,0.002400,0.000001,0.001704,0.183819,0.001750,0.000001,0.001106,0.000010,0.001219,0.000001,0.285027
0.074543,0.002491,0.000001,0.001767,0.222412,0.001950,0.000001,0.001548,0.000014,0.001341,0.000001,0.306067
0.074216,0.003232,0.000003,0.001923,0.258128,0.001675,0.000001,0.001225,0.000008,0.001527,0.000001,0.341939
0.065089,0.031703,0.000001,0.001984,0.264094,0.001905,0.000001,0.002276,0.000009,0.002961,0.000001,0.370024
0.061378,0.027899,0.000001,0.002065,0.205464,0.002689,0.000001,0.003097,0.000007,0.002137,0.000000,0.304739
0.059935,0.002913,0.000000,0.002077,0.236733,0.001568,0.000001,0.001630,0.000028,0.001396,0.000001,0.306283
0.064522,0.038823,0.000014,0.001824,0.281435,0.001977,0.000001,0.001267,0.000009,0.001323,0.000001,0.391195
0.061643,0.002414,0.000001,0.002284,0.202079,0.001676,0.000001,0.001315,0.000012,0.001846,0.000001,0.273271
0.061400,0.003036,0.000001,0.002274,0.284072,0.001720,0.000001,0.001256,0.000011,0.001397,0.000001,0.355168
0.063166,0.010649,0.000001,0.001777,0.274137,0.001771,0.000014,0.001197,0.000015,0.001410,0.000001,0.354138
0.081037,0.002333,0.000001,0.002286,0.187047,0.001772,0.000001,0.001202,0.000009,0.001260,0.000001,0.276948
0.062310,0.002418,0.000001,0.002149,0.290704,0.002148,0.000000,0.001257,0.000010,0.001287,0.000001,0.362286
0.062729,0.039905,0.000001,0.001778,0.228517,0.001748,0.000001,0.001191,0.000008,0.001222,0.000001,0.337099
0.065875,0.004590,0.000001,0.001731,0.217571,0.001543,0.000001,0.001318,0.000012,0.001422,0.000001,0.294064
0.077782,0.002430,0.000001,0.002411,0.203890,0.001620,0.000001,0.001304,0.000010,0.001417,0.000001,0.290865
0.064238,0.002325,0.000001,0.002111,0.255420,0.001787,0.000001,0.001345,0.000011,0.001390,0.000001,0.328631
0.080301,0.002345,0.000001,0.002094,0.192683,0.001794,0.000001,0.001163,0.000019,0.001620,0.000001,0.282021
0.073264,0.002341,0.000001,0.002023,0.299637,0.002083,0.000001,0.001157,0.000009,0.001163,0.000001,0.381678
0.079805,0.003206,0.000001,0.001727,0.252934,0.001774,0.000001,0.001285,0.000009,0.002517,0.000001,0.343259
0.088165,0.002411,0.000001,0.001732,0.191263,0.002204,0.000001,0.001148,0.000010,0.001281,0.000001,0.288216
0.073304,0.002423,0.000001,0.001647,0.185258,0.003036,0.000001,0.001300,0.000013,0.001577,0.000001,0.268560
0.065417,0.002935,0.000001,0.002011,0.181065,0.001521,0.000001,0.002401,0.000009,0.001350,0.000001,0.256711
0.078607,0.002281,0.000001,0.001996,0.291581,0.002080,0.000002,0.001495,0.000010,0.001233,0.000001,0.379286
0.086160,0.002588,0.000001,0.002131,0.197752,0.001664,0.000000,0.001290,0.000010,0.001218,0.000001,0.292815
0.081913,0.014848,0.000000,0.002109,0.256809,0.001839,0.000001,0.001107,0.000007,0.001244,0.000001,0.359877
0.066057,0.002656,0.000001,0.001799,0.187168,0.001666,0.000001,0.001147,0.000011,0.001241,0.000001,0.261748
