Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.048294,0.004177,0.000001,0.002892,0.204297,0.001831,0.000001,0.001409,0.000010,0.002179,0.000001,0.265092
0.058135,0.003083,0.000001,0.002692,0.201899,0.001917,0.000001,0.001517,0.000008,0.001219,0.000001,0.270471
0.092961,0.002792,0.000001,0.001861,0.175565,0.001684,0.000001,0.001228,0.000009,0.001306,0.000001,0.277408
0.082013,0.002737,0.000001,0.002125,0.190274,0.004818,0.000001,0.001261,0.000009,0.001329,0.000001,0.284569
0.069025,0.002632,0.000001,0.002487,0.203608,0.001916,0.000000,0.001220,0.000009,0.001295,0.000001,0.282196
0.088727,0.002707,0.000001,0.001853,0.256817,0.001971,0.000001,0.001238,0.000008,0.001689,0.000001,0.355011
0.062598,0.002259,0.000001,0.002565,0.205786,0.002035,0.000001,0.001272,0.000009,0.001257,0.000001,0.277783
0.066611,0.002705,0.000001,0.002051,0.203177,0.001608,0.000000,0.001134,0.000008,0.001275,0.000001,0.278572
0.066938,0.002516,0.000001,0.002521,0.293994,0.002212,0.000001,0.001969,0.000008,0.001316,0.000001,0.371477
0.060697,0.002391,0.000001,0.002114,0.244844,0.001975,0.000001,0.001200,0.000014,0.001745,0.000001,0.314982
0.064747,0.002495,0.000001,0.001789,0.285053,0.001587,0.000001,0.001164,0.000010,0.001728,0.000001,0.358575
0.061698,0.002089,0.000001,0.001871,0.180149,0.001755,0.000001,0.001239,0.000014,0.001607,0.000001,0.250425
0.060827,0.002399,0.000001,0.001736,0.219305,0.001645,0.000001,0.002040,0.000038,0.001759,0.000001,0.289752
0.061578,0.002289,0.000001,0.001797,0.292002,0.001643,0.000000,0.001219,0.000012,0.001278,0.000001,0.361822
0.062208,0.002173,0.000001,0.001939,0.179814,0.001552,0.000000,0.001155,0.000011,0.001261,0.000001,0.250114
0.060603,0.002133,0.000001,0.001998,0.292811,0.001621,0.000001,0.001087,0.000009,0.001318,0.000001,0.361582
0.086871,0.002403,0.000001,0.001682,0.226104,0.001783,0.000001,0.001166,0.000008,0.001256,0.000001,0.321275
0.069562,0.002269,0.000001,0.002016,0.224900,0.001590,0.000001,0.001625,0.000011,0.001294,0.000001,0.303269
0.073908,0.003323,0.000001,0.001824,0.273979,0.001886,0.000001,0.001196,0.000009,0.001221,0.000001,0.357348
0.089690,0.002619,0.000000,0.001955,0.195658,0.001883,0.000001,0.001576,0.000009,0.001333,0.000001,0.294726
0.078872,0.005275,0.000001,0.001868,0.237227,0.001892,0.000001,0.001224,0.000014,0.002122,0.000001,0.328496
0.060405,0.002202,0.000001,0.002203,0.225358,0.001633,0.000001,0.001389,0.000012,0.001472,0.000001,0.294676
0.063415,0.016516,0.000001,0.002683,0.321479,0.004026,0.000000,0.001230,0.000013,0.001271,0.000001,0.410634
0.061538,0.002314,0.000001,0.001787,0.232923,0.001663,0.000001,0.001257,0.000014,0.001437,0.000001,0.302935
0.061673,0.002760,0.000001,0.001992,0.283399,0.001713,0.000001,0.001289,0.000007,0.001297,0.000001,0.354131
0.062847,0.008243,0.000001,0.001807,0.227658,0.001612,0.000000,0.001200,0.000008,0.001346,0.000001,0.304722
0.063534,0.002579,0.000001,0.002617,0.236133,0.002744,0.000001,0.001336,0.000009,0.001385,0.000001,0.310340
0.081408,0.002451,0.000001,0.002146,0.242426,0.001919,0.000001,0.001201,0.000007,0.001203,0.000001,0.332764
0.073968,0.020264,0.000000,0.001882,0.253514,0.001967,0.000001,0.001485,0.000009,0.001393,0.000001,0.354484
0.070545,0.003212,0.000000,0.002225,0.259537,0.001869,0.000001,0.001262,0.000009,0.001928,0.000001,0.340588
0.058028,0.004644,0.000000,0.001624,0.239353,0.001598,0.000000,0.001768,0.000013,0.001304,0.000001,0.308332
0.061352,0.002328,0.000001,0.002016,0.190573,0.001647,0.000001,0.001270,0.000009,0.001627,0.000000,0.260824
0.070728,0.002521,0.000001,0.002061,0.287836,0.001851,0.000002,0.003097,0.000014,0.001425,0.000001,0.369537
0.060211,0.002332,0.000001,0.002042,0.277015,0.001581,0.000001,0.001141,0.000010,0.001230,0.000001,0.345564
0.061435,0.002785,0.000001,0.001708,0.267505,0.001752,0.000001,0.001463,0.000008,0.001391,0.000001,0.338049
0.105134,0.002540,0.000001,0.002022,0.200951,0.001582,0.000001,0.001260,0.000011,0.001295,0.000001,0.314798
0.089019,0.002207,0.000001,0.001848,0.214319,0.001651,0.000001,0.001246,0.000011,0.001421,0.000001,0.311724
0.065928,0.002794,0.000001,0.002124,0.218030,0.001606,0.000001,0.001288,0.000011,0.001276,0.000001,0.293060
0.068730,0.008422,0.000001,0.002028,0.209165,0.001805,0.000001,0.001203,0.000008,0.001289,0.000001,0.292653
0.064528,0.004296,0.000001,0.001757,0.190849,0.001713,0.000001,0.001212,0.000008,0.001332,0.000001,0.265697
0.065536,0.002895,0.000001,0.001941,0.268156,0.001628,0.000001,0.001283,0.000009,0.001258,0.000001,0.342706
0.081694,0.002460,0.000001,0.002236,0.223315,0.002045,0.000001,0.001577,0.000009,0.001336,0.000001,0.314675
0.077491,0.002625,0.000001,0.002085,0.202053,0.001828,0.000000,0.001183,0.000008,0.001094,0.000001,0.288369
0.069600,0.002147,0.000001,0.002007,0.261374,0.001658,0.000001,0.002106,0.000026,0.003526,0.000001,0.342447
0.074484,0.002321,0.000001,0.001879,0.235138,0.002795,0.000001,0.001306,0.000012,0.001335,0.000001,0.319272
0.058948,0.002420,0.000001,0.001835,0.264695,0.001871,0.000001,0.001512,0.000013,0.001192,0.000001,0.332487
0.076690,0.002310,0.000001,0.001704,0.185864,0.001634,0.000001,0.001606,0.000013,0.001411,0.000001,0.271234
0.069022,0.002694,0.000001,0.001631,0.158667,0.001223,0.000001,0.001902,0.000008,0.001060,0.000001,0.236209
0.083939,0.002381,0.000001,0.002034,0.283333,0.001590,0.000001,0.001104,0.000007,0.001105,0.000001,0.375495
0.076357,0.002899,0.000001,0.002052,0.247261,0.001507,0.000001,0.001319,0.000010,0.003641,0.000001,0.335049
0.075003,0.002243,0.000001,0.002072,0.275460,0.002423,0.000001,0.001211,0.013990,0.001550,0.000001,0.373954
0.064432,0.002582,0.000002,0.001868,0.256199,0.001657,0.000001,0.002055,0.000010,0.001302,0.000001,0.330108
0.061596,0.004966,0.000001,0.002150,0.262285,0.001685,0.000001,0.001408,0.000009,0.001221,0.000001,0.335322
0.091443,0.009401,0.000001,0.001912,0.179945,0.002501,0.000001,0.002656,0.000016,0.001307,0.000001,0.289183
0.086415,0.002180,0.000001,0.001898,0.237587,0.001548,0.000001,0.001625,0.000013,0.001569,0.000001,0.332837
0.083038,0.003014,0.000000,0.002753,0.168990,0.001698,0.000001,0.001350,0.000012,0.001055,0.000000,0.261912
0.058599,0.002341,0.000001,0.001888,0.187025,0.001697,0.000001,0.001295,0.000009,0.001223,0.000001,0.254078
0.070064,0.002326,0.000001,0.001807,0.257799,0.001811,0.000001,0.001235,0.000011,0.001299,0.000001,0.336353
0.062084,0.002621,0.000001,0.001723,0.263250,0.001684,0.000001,0.001220,0.000010,0.001205,0.000001,0.333798
0.062802,0.002640,0.000000,0.002195,0.234123,0.001753,0.000000,0.001555,0.000016,0.001560,0.000001,0.306646
0.063374,0.006293,0.000000,0.001824,0.215043,0.001709,0.000001,0.001189,0.000007,0.001230,0.000001,0.290670
0.074456,0.002347,0.000001,0.002037,0.189784,0.001641,0.000001,0.001227,0.000009,0.001220,0.000001,0.272723
0.062626,0.002404,0.000001,0.002194,0.237278,0.001929,0.000001,0.001297,0.000007,0.001262,0.000001,0.309000
0.057844,0.002274,0.000001,0.002037,0.289199,0.001561,0.000001,0.001935,0.000011,0.001755,0.000001,0.356618
0.097038,0.002535,0.000001,0.002086,0.202170,0.001686,0.000001,0.001353,0.000015,0.001440,0.000001,0.308324
0.083351,0.002453,0.000001,0.001815,0.251780,0.001596,0.000001,0.001256,0.000013,0.001326,0.000001,0.343593
0.085182,0.002284,0.000001,0.001688,0.185154,0.001756,0.000001,0.002039,0.000010,0.001257,0.000001,0.279372
0.075753,0.002316,0.000001,0.001976,0.195281,0.001669,0.000001,0.001278,0.000011,0.001248,0.000001,0.279534
0.063413,0.002953,0.000001,0.001703,0.315374,0.002080,0.000001,0.001356,0.000007,0.001942,0.000001,0.388830
0.062983,0.002788,0.000001,0.002469,0.290217,0.001616,0.000000,0.001215,0.000009,0.001375,0.000001,0.362675
0.066338,0.002184,0.000001,0.001943,0.188752,0.001525,0.000001,0.001393,0.000011,0.001476,0.000001,0.263624
0.069522,0.003498,0.000001,0.001730,0.242716,0.001659,0.000001,0.001179,0.000009,0.001173,0.000001,0.321487
0.078374,0.002220,0.000001,0.003186,0.272130,0.001479,0.000001,0.001292,0.000011,0.001425,0.000001,0.360119
0.074530,0.005021,0.000001,0.001810,0.196357,0.001277,0.000000,0.001116,0.000008,0.001125,0.000001,0.281246
0.067076,0.009230,0.000001,0.001427,0.199632,0.001625,0.000001,0.001240,0.000010,0.001291,0.000001,0.281532
0.080285,0.004255,0.000001,0.002063,0.197974,0.001942,0.000001,0.001277,0.000012,0.001326,0.000001,0.289135
0.086325,0.002488,0.000001,0.001844,0.192495,0.002560,0.000001,0.001929,0.000006,0.001243,0.000001,0.288892
0.085016,0.002381,0.000001,0.002008,0.198012,0.001661,0.000001,0.001675,0.000010,0.001197,0.000001,0.291962
0.070316,0.002258,0.000001,0.002115,0.239706,0.001569,0.000001,0.001179,0.000011,0.001179,0.000001,0.318333
0.059343,0.002756,0.000001,0.001739,0.227156,0.001689,0.000000,0.001136,0.000013,0.001111,0.000001,0.294945
0.061240,0.002403,0.000001,0.001859,0.248355,0.001847,0.000001,0.001375,0.000013,0.001398,0.000001,0.318492
0.062091,0.002432,0.000001,0.002055,0.292973,0.001866,0.000001,0.001303,0.000008,0.001239,0.000000,0.363968
0.078957,0.002747,0.000001,0.001991,0.195007,0.001750,0.000001,0.001241,0.000007,0.001228,0.000001,0.282931
0.069503,0.002263,0.000001,0.001685,0.189398,0.001666,0.000001,0.002127,0.000014,0.001418,0.000001,0.268076
