Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.036462,0.004510,0.000001,0.002892,0.192988,0.001925,0.000001,0.001420,0.000007,0.001530,0.000001,0.241736
0.056630,0.002806,0.000001,0.002183,0.175439,0.001616,0.000001,0.001280,0.000009,0.001348,0.000001,0.241312
0.064162,0.002825,0.000001,0.002937,0.203473,0.001866,0.000001,0.001818,0.000010,0.001344,0.000001,0.278437
0.060701,0.002860,0.000001,0.002764,0.208661,0.001596,0.000000,0.001139,0.000009,0.001405,0.000001,0.279137
0.062112,0.002731,0.000001,0.002088,0.187152,0.001769,0.000001,0.001664,0.000017,0.001900,0.000001,0.259434
0.062689,0.002746,0.000001,0.002185,0.183087,0.001805,0.000001,0.001287,0.000010,0.001217,0.000001,0.255029
0.071536,0.002663,0.000001,0.001512,0.205567,0.001763,0.000000,0.001332,0.000010,0.001221,0.000001,0.285606
0.059973,0.002494,0.000001,0.002460,0.265227,0.001750,0.000001,0.001264,0.000011,0.001291,0.000001,0.334472
0.077021,0.002344,0.000001,0.002114,0.191907,0.001741,0.000001,0.001152,0.000008,0.001259,0.000001,0.277548
0.071116,0.002507,0.000001,0.001756,0.268752,0.001692,0.000001,0.001180,0.000011,0.001391,0.000001,0.348410
0.071087,0.002892,0.000001,0.002451,0.258627,0.001685,0.000001,0.001259,0.000010,0.001373,0.000001,0.339387
0.060147,0.002595,0.000001,0.002115,0.223223,0.001787,0.000001,0.001153,0.000009,0.001295,0.000001,0.292326
0.061707,0.002267,0.000001,0.002071,0.184981,0.001652,0.000001,0.001131,0.000009,0.001174,0.000001,0.254993
0.060971,0.002511,0.000001,0.001692,0.241715,0.002060,0.000001,0.001174,0.000008,0.001399,0.000001,0.311533
0.062327,0.003041,0.000001,0.002113,0.306644,0.001431,0.000001,0.001135,0.000007,0.001297,0.000001,0.377997
0.062519,0.010013,0.000000,0.002010,0.236061,0.001592,0.000001,0.001240,0.000009,0.001754,0.000001,0.315201
0.095916,0.002535,0.000001,0.002375,0.195564,0.001879,0.000001,0.001331,0.000011,0.001727,0.000001,0.301340
0.082396,0.002331,0.000001,0.002043,0.203020,0.001728,0.000001,0.001207,0.000009,0.004321,0.000001,0.297057
0.060388,0.002344,0.000001,0.002122,0.207250,0.001688,0.000001,0.001406,0.000015,0.001797,0.000001,0.277013
0.068610,0.002569,0.000001,0.001809,0.266574,0.001834,0.000001,0.001206,0.000009,0.002099,0.000001,0.344711
0.101715,0.003171,0.000001,0.001809,0.187565,0.001743,0.000001,0.001703,0.000009,0.001410,0.000001,0.299128
0.090880,0.002497,0.000001,0.001993,0.205193,0.002134,0.000001,0.001316,0.000012,0.001389,0.000001,0.305415
0.069441,0.002426,0.000001,0.001656,0.274108,0.001671,0.000001,0.003000,0.000010,0.002623,0.000001,0.354939
0.072652,0.002507,0.000001,0.001867,0.210566,0.001647,0.000000,0.003155,0.000008,0.002350,0.000000,0.294755
0.066166,0.002382,0.000001,0.002121,0.423513,0.001980,0.000001,0.001270,0.000017,0.001323,0.000001,0.498773
0.069763,0.002409,0.000001,0.002035,0.273199,0.001714,0.000001,0.001754,0.000014,0.001491,0.000001,0.352382
0.068270,0.005430,0.000001,0.002121,0.205571,0.001729,0.000001,0.001943,0.000011,0.001292,0.000001,0.286369
0.065317,0.002440,0.000001,0.002077,0.266380,0.001851,0.000001,0.001422,0.000010,0.001759,0.000001,0.341257
0.065127,0.002482,0.000001,0.001632,0.238234,0.002701,0.000001,0.001966,0.000011,0.001214,0.000001,0.313369
0.082311,0.002513,0.000001,0.002198,0.204887,0.001785,0.000000,0.001292,0.000010,0.001225,0.000001,0.296223
0.086355,0.002050,0.000001,0.001874,0.201193,0.001732,0.000001,0.001446,0.000011,0.001344,0.000001,0.296007
