Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.039924,0.003792,0.000001,0.002699,0.200747,0.001887,0.000000,0.001248,0.000011,0.001314,0.000001,0.251625
0.058798,0.002694,0.000001,0.002490,0.201927,0.001841,0.000001,0.001109,0.000009,0.001153,0.000001,0.270023
0.063610,0.002617,0.000001,0.001724,0.206249,0.001792,0.000001,0.001301,0.000008,0.001234,0.000001,0.278538
0.060532,0.002605,0.000001,0.001892,0.189631,0.001797,0.000001,0.002080,0.000009,0.001216,0.000001,0.259764
0.099540,0.003014,0.000001,0.002123,0.191452,0.001886,0.000001,0.001298,0.000023,0.001293,0.000001,0.300631
0.070711,0.002449,0.000000,0.002412,0.189110,0.001849,0.000001,0.001146,0.000009,0.001446,0.000001,0.269134
0.064831,0.002340,0.000000,0.002033,0.206096,0.001715,0.000001,0.001429,0.000018,0.001249,0.000001,0.279714
0.086726,0.002774,0.000001,0.002755,0.256060,0.002171,0.000001,0.001360,0.000009,0.001222,0.000001,0.353080
0.062260,0.002600,0.000001,0.001978,0.201941,0.001694,0.000001,0.001510,0.000016,0.002075,0.000001,0.274076
0.063469,0.002582,0.000001,0.001699,0.253467,0.001737,0.000001,0.001237,0.000007,0.001303,0.000001,0.325503
0.066262,0.002351,0.000001,0.001985,0.239891,0.001729,0.000001,0.001254,0.000009,0.001245,0.000001,0.314728
0.083758,0.002337,0.000001,0.001677,0.188060,0.002021,0.000001,0.001252,0.000006,0.001381,0.000001,0.280493
0.076779,0.002179,0.000001,0.001869,0.191044,0.001412,0.000000,0.001200,0.000011,0.001346,0.000001,0.275842
0.062974,0.002214,0.000001,0.002256,0.284413,0.001608,0.000000,0.001585,0.000014,0.001587,0.000001,0.356655
0.068792,0.002359,0.000001,0.001919,0.191073,0.001899,0.000001,0.001115,0.000008,0.001484,0.000001,0.268652
0.072972,0.002254,0.000001,0.001895,0.252741,0.001686,0.000000,0.001240,0.000013,0.001262,0.000001,0.334065
0.062286,0.002106,0.000001,0.001999,0.241824,0.001934,0.000001,0.001257,0.000013,0.001344,0.000001,0.312766
0.071340,0.002327,0.000001,0.002072,0.290671,0.001712,0.000001,0.001608,0.000008,0.001295,0.000001,0.371036
0.059215,0.002729,0.000001,0.002005,0.259327,0.001596,0.000001,0.001492,0.000010,0.001244,0.000001,0.327620
0.088107,0.002588,0.000001,0.001810,0.192204,0.001942,0.000001,0.001293,0.000009,0.001292,0.000001,0.289248
0.061779,0.002430,0.000001,0.001842,0.304330,0.002343,0.000001,0.001197,0.000011,0.001667,0.000001,0.375603
0.081294,0.002712,0.000001,0.002451,0.222907,0.001729,0.000001,0.001111,0.000008,0.001105,0.000001,0.313319
0.070887,0.002308,0.000001,0.002155,0.206144,0.001778,0.000001,0.001456,0.000009,0.001194,0.000001,0.285933
0.067673,0.002350,0.000001,0.002095,0.267769,0.001676,0.000001,0.001245,0.000011,0.001365,0.000001,0.344186
0.061132,0.019382,0.000001,0.001637,0.236601,0.001689,0.000000,0.001145,0.000008,0.001133,0.000001,0.322729
0.068799,0.002946,0.000001,0.001707,0.192863,0.001834,0.000001,0.001250,0.000020,0.001837,0.000001,0.271259
0.062425,0.002280,0.000001,0.001952,0.279636,0.001735,0.000001,0.001230,0.000012,0.001414,0.000001,0.350686
0.062909,0.008634,0.000001,0.002198,0.316731,0.001874,0.000001,0.001277,0.000012,0.001562,0.000001,0.395199
0.078676,0.002448,0.000001,0.002309,0.243900,0.001765,0.000001,0.001085,0.000008,0.001171,0.000001,0.331364
0.062238,0.002323,0.000001,0.002144,0.230806,0.001595,0.000001,0.001146,0.000008,0.001178,0.000001,0.301441
0.062712,0.002606,0.000001,0.004192,0.204553,0.002439,0.000003,0.002376,0.000009,0.001527,0.000001,0.280419
0.059458,0.014044,0.000001,0.001693,0.287068,0.001842,0.000001,0.002156,0.000011,0.001145,0.000001,0.367418
0.062448,0.041619,0.000000,0.002114,0.202168,0.001634,0.000001,0.001126,0.000007,0.001482,0.000001,0.312598
0.060154,0.002287,0.000001,0.002066,0.294435,0.001950,0.000001,0.001339,0.000009,0.001640,0.000001,0.363882
0.093771,0.002334,0.000000,0.001843,0.206338,0.001871,0.000001,0.001465,0.000009,0.001142,0.000001,0.308774
0.093602,0.002357,0.000001,0.002197,0.201056,0.001839,0.000001,0.001213,0.000011,0.001349,0.000001,0.303627
0.076639,0.002095,0.000001,0.001648,0.198230,0.001770,0.000001,0.001222,0.000009,0.001239,0.000001,0.282856
0.058433,0.002165,0.000000,0.002126,0.204067,0.001659,0.000001,0.001496,0.000009,0.001586,0.000001,0.271544
0.061575,0.002333,0.000001,0.002000,0.258516,0.001663,0.000001,0.001096,0.000012,0.001080,0.000001,0.328279
0.068692,0.032877,0.000000,0.002089,0.203676,0.001725,0.000001,0.001221,0.000009,0.001237,0.000001,0.311527
0.082259,0.002363,0.000001,0.001685,0.191369,0.001849,0.000001,0.001171,0.000008,0.001143,0.000001,0.281850
0.067601,0.002364,0.000001,0.002194,0.203434,0.001577,0.000001,0.001493,0.000008,0.001094,0.000001,0.279766
0.073023,0.002508,0.000001,0.002057,0.246834,0.001685,0.000001,0.001267,0.000009,0.001277,0.000001,0.328662
0.064189,0.002484,0.000001,0.002215,0.227837,0.001752,0.000001,0.001666,0.000014,0.001582,0.000001,0.301740
0.062705,0.002576,0.000001,0.002260,0.206529,0.001741,0.000000,0.001301,0.000012,0.001317,0.000001,0.278443
0.066225,0.002350,0.000001,0.002027,0.227306,0.001581,0.000000,0.001366,0.000012,0.001290,0.000001,0.302158
0.081028,0.002439,0.000001,0.002521,0.279399,0.001874,0.000001,0.001297,0.000009,0.001312,0.000001,0.369881
0.072292,0.002294,0.000001,0.001972,0.199627,0.001673,0.000000,0.001199,0.000010,0.001051,0.000001,0.280121
0.070247,0.002329,0.000001,0.001713,0.274303,0.001847,0.000001,0.003895,0.013811,0.001816,0.000001,0.369963
0.091222,0.002175,0.000001,0.001592,0.172436,0.002187,0.000001,0.001891,0.000012,0.001229,0.000001,0.272749
0.067665,0.002197,0.000001,0.002337,0.288381,0.001558,0.000001,0.001275,0.000011,0.001165,0.000001,0.364591
0.059234,0.007976,0.000001,0.001567,0.168924,0.001302,0.000000,0.001189,0.000011,0.001168,0.000001,0.241374
0.073606,0.002283,0.000001,0.001911,0.194189,0.001419,0.000001,0.001313,0.000012,0.001068,0.000001,0.275803
0.096313,0.002313,0.000001,0.001808,0.241677,0.001797,0.000000,0.001146,0.000009,0.001126,0.000001,0.346190
0.074652,0.002176,0.000001,0.002757,0.193279,0.002157,0.000001,0.002020,0.000016,0.002026,0.000001,0.279085
0.069352,0.003047,0.000001,0.001864,0.194818,0.001748,0.000001,0.001696,0.000014,0.001670,0.000001,0.274212
0.080229,0.002274,0.000001,0.002032,0.259155,0.001501,0.000001,0.001155,0.000010,0.001133,0.000001,0.347491
0.075768,0.002429,0.000001,0.002163,0.242694,0.001761,0.000001,0.001127,0.000009,0.001151,0.000001,0.327104
0.063513,0.002262,0.000001,0.002583,0.188301,0.002480,0.000001,0.001340,0.000009,0.001327,0.000001,0.261817
0.075636,0.002505,0.000001,0.001606,0.244734,0.002272,0.000001,0.001985,0.000009,0.001817,0.000001,0.330568
0.085420,0.002359,0.000001,0.001773,0.186060,0.001918,0.000001,0.001548,0.000176,0.001330,0.000001,0.280587
0.065187,0.002477,0.000001,0.002291,0.288922,0.001759,0.000001,0.001123,0.000010,0.001349,0.000001,0.363122
0.088798,0.002414,0.000001,0.001872,0.222877,0.001805,0.000001,0.001204,0.000006,0.001073,0.000001,0.320052
0.086677,0.002751,0.000001,0.002241,0.199574,0.001629,0.000001,0.001209,0.000009,0.001158,0.000001,0.295251
0.061161,0.002308,0.000001,0.001512,0.214440,0.003166,0.000001,0.003162,0.000020,0.001876,0.000001,0.287649
0.060928,0.002383,0.000001,0.001892,0.189953,0.001907,0.000001,0.001661,0.000009,0.001682,0.000001,0.260417
0.072520,0.002346,0.000001,0.002172,0.281827,0.002162,0.000001,0.003112,0.000017,0.003822,0.000001,0.367981
0.058514,0.003312,0.000001,0.002101,0.279265,0.002252,0.000001,0.001837,0.000013,0.001597,0.000001,0.348893
0.062704,0.002249,0.000001,0.001978,0.197504,0.001831,0.000001,0.001334,0.000009,0.001386,0.000001,0.268998
0.067069,0.002058,0.000001,0.001871,0.190309,0.001579,0.000001,0.001693,0.000012,0.001717,0.000001,0.266310
0.072631,0.011691,0.000001,0.002173,0.172718,0.007624,0.000001,0.001303,0.000012,0.001394,0.000001,0.269549
0.108471,0.002424,0.000001,0.001773,0.267306,0.001782,0.000001,0.001145,0.000006,0.001487,0.000001,0.384395
0.062392,0.002666,0.000001,0.001861,0.194298,0.001487,0.000001,0.001637,0.000012,0.001977,0.000001,0.266334
0.098821,0.002390,0.000001,0.001975,0.259003,0.002027,0.000002,0.003089,0.000013,0.001456,0.000001,0.368776
0.073345,0.002309,0.000001,0.002023,0.198351,0.001927,0.000001,0.001318,0.000011,0.001371,0.000001,0.280656
0.092792,0.002431,0.000001,0.002073,0.257225,0.001697,0.000001,0.001229,0.000009,0.001359,0.000001,0.358817
0.059747,0.011339,0.000001,0.002058,0.195284,0.001549,0.000001,0.001329,0.000009,0.001163,0.000001,0.272480
0.062913,0.006361,0.000000,0.001815,0.198477,0.001495,0.000001,0.001304,0.000009,0.001145,0.000001,0.273521
