Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.054497,0.002769,0.000001,0.001620,0.076535,0.002316,0.000001,0.001426,0.000009,0.001707,0.000001,0.140881
0.042652,0.003289,0.000001,0.003934,0.101132,0.002313,0.000000,0.001311,0.000013,0.001357,0.000001,0.156003
0.063843,0.002336,0.000001,0.002181,0.168826,0.002587,0.000001,0.001338,0.000011,0.001527,0.000001,0.242651
0.091243,0.002401,0.000001,0.001847,0.076236,0.002048,0.000001,0.001289,0.000006,0.001307,0.000000,0.176379
0.061891,0.002199,0.000001,0.002662,0.170185,0.002459,0.000001,0.001289,0.000011,0.001289,0.000001,0.241987
0.064447,0.002428,0.000001,0.002050,0.084861,0.002521,0.000001,0.002414,0.000009,0.001680,0.000001,0.160412
0.061672,0.002207,0.000001,0.002354,0.075068,0.002330,0.000001,0.001293,0.000007,0.001252,0.000001,0.146185
0.080461,0.002474,0.000001,0.001940,0.205034,0.002409,0.000001,0.001301,0.000011,0.001458,0.000001,0.295089
0.081574,0.002284,0.000001,0.002305,0.074929,0.001932,0.000000,0.001079,0.000010,0.001116,0.000001,0.165231
0.067476,0.002182,0.000001,0.001830,0.073193,0.002355,0.000001,0.001143,0.000017,0.001147,0.000001,0.149344
0.088840,0.003041,0.000001,0.002279,0.218180,0.002213,0.000001,0.001415,0.000011,0.001830,0.000001,0.317811
0.074396,0.002419,0.000001,0.001806,0.166083,0.002221,0.000001,0.001312,0.000007,0.001365,0.000001,0.249610
0.076840,0.002252,0.000001,0.002358,0.140542,0.002249,0.000001,0.001264,0.000056,0.001477,0.000001,0.227040
0.061672,0.002118,0.000001,0.001858,0.076459,0.002265,0.000001,0.001210,0.000009,0.001296,0.000001,0.146891
