Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.059359,0.003507,0.000001,0.002155,0.076111,0.002164,0.000001,0.001346,0.000009,0.001510,0.000001,0.146164
0.050629,0.006218,0.000001,0.004787,0.105183,0.002801,0.000001,0.001815,0.000013,0.001404,0.000001,0.172853
0.061855,0.003873,0.000001,0.002155,0.074239,0.002022,0.000001,0.001124,0.000008,0.001214,0.000001,0.146492
0.068217,0.003174,0.000001,0.001921,0.160487,0.002032,0.000001,0.001315,0.000009,0.001435,0.000001,0.238591
0.071180,0.002605,0.000001,0.001682,0.075878,0.002674,0.000001,0.001958,0.000008,0.001686,0.000001,0.157673
0.059905,0.002782,0.000001,0.002965,0.187434,0.002667,0.000001,0.001390,0.000009,0.001916,0.000001,0.259070
0.065456,0.002375,0.000001,0.001900,0.081682,0.002031,0.000001,0.001233,0.000008,0.001331,0.000001,0.156018
0.086041,0.002688,0.000001,0.002420,0.179297,0.002531,0.000001,0.001308,0.000008,0.001642,0.000001,0.275938
0.062157,0.002247,0.000001,0.001706,0.081070,0.002145,0.000000,0.001167,0.000011,0.001315,0.000001,0.151820
0.064018,0.002367,0.000001,0.002719,0.190295,0.003560,0.000001,0.002801,0.000014,0.001578,0.000001,0.267354
0.079914,0.002396,0.000001,0.001610,0.079634,0.003047,0.000001,0.002726,0.000010,0.001553,0.000000,0.170891
0.065198,0.002402,0.000001,0.001452,0.080145,0.001406,0.000001,0.001158,0.000010,0.001234,0.000001,0.153008
0.080961,0.002223,0.000001,0.001784,0.067135,0.002318,0.000001,0.001093,0.000007,0.001214,0.000001,0.156737
0.074202,0.002163,0.000001,0.001958,0.215935,0.002746,0.000001,0.001217,0.000011,0.001260,0.000001,0.299493
0.061953,0.003675,0.000001,0.001942,0.164216,0.001872,0.000001,0.001190,0.000008,0.001334,0.000001,0.236194
0.063819,0.002174,0.000001,0.001797,0.075143,0.001776,0.000001,0.001238,0.000009,0.002681,0.000001,0.148640
0.072309,0.002262,0.000001,0.001847,0.150753,0.001967,0.000001,0.001203,0.000010,0.001356,0.000001,0.231708
0.061622,0.002907,0.000001,0.001842,0.072736,0.002007,0.000001,0.001563,0.000009,0.001660,0.000001,0.144348
0.058806,0.002168,0.000001,0.002300,0.180985,0.002249,0.000001,0.001281,0.000009,0.001722,0.000001,0.249523
0.062008,0.002266,0.000001,0.001508,0.160705,0.001477,0.000001,0.001849,0.000021,0.001709,0.000001,0.231544
0.080729,0.002430,0.000001,0.001911,0.074859,0.002288,0.000001,0.001691,0.000020,0.001896,0.000001,0.165826
0.070047,0.002408,0.000001,0.002466,0.075273,0.002321,0.000001,0.001206,0.000009,0.001354,0.000001,0.155086
0.062983,0.002512,0.000000,0.001712,0.162948,0.002130,0.000001,0.001569,0.000009,0.001257,0.000001,0.235122
0.060998,0.003364,0.000001,0.001860,0.074454,0.002688,0.000001,0.001295,0.000013,0.001487,0.000001,0.146161
0.071614,0.002377,0.000001,0.002289,0.167153,0.002189,0.000001,0.001125,0.000007,0.001350,0.000001,0.248105
0.077386,0.002553,0.000001,0.002338,0.078807,0.002595,0.000001,0.001315,0.000009,0.001394,0.000001,0.166400
0.076049,0.002459,0.000000,0.002310,0.077632,0.002459,0.000001,0.001221,0.000009,0.001216,0.000001,0.163357
0.085853,0.002374,0.000001,0.001689,0.181605,0.002331,0.000001,0.001353,0.000011,0.002117,0.000001,0.277335
0.069308,0.002735,0.000001,0.002092,0.082771,0.002458,0.000001,0.001321,0.000007,0.001427,0.000001,0.162120
0.075670,0.002385,0.000001,0.001979,0.203575,0.002193,0.000001,0.001606,0.000009,0.001575,0.000001,0.288993
0.068285,0.002547,0.000001,0.001776,0.074982,0.002184,0.000001,0.002018,0.000037,0.001876,0.000001,0.153706
0.060377,0.002304,0.000001,0.001854,0.080601,0.002075,0.000001,0.001242,0.000019,0.001737,0.000001,0.150212
0.069192,0.002495,0.000001,0.002306,0.166191,0.002280,0.000001,0.001255,0.000011,0.002260,0.000001,0.245992
0.075211,0.002451,0.000001,0.001319,0.074143,0.002034,0.000000,0.001185,0.000009,0.001249,0.000001,0.157603
0.080546,0.002349,0.000001,0.001955,0.164111,0.002557,0.000001,0.001313,0.000010,0.001288,0.000001,0.254133
0.076638,0.002251,0.000001,0.001912,0.076154,0.002398,0.000001,0.001159,0.000009,0.001229,0.000009,0.161760
0.064090,0.002353,0.000001,0.001733,0.076623,0.002258,0.000001,0.001323,0.000007,0.001366,0.000001,0.149755
0.076028,0.002171,0.000001,0.001936,0.165497,0.002260,0.000000,0.001223,0.000005,0.001257,0.000000,0.250380
0.075997,0.002449,0.000001,0.001772,0.081135,0.002426,0.000001,0.001126,0.000009,0.001204,0.000001,0.166120
0.069963,0.002400,0.000001,0.001577,0.168232,0.002777,0.000001,0.001038,0.000008,0.001156,0.000001,0.247153
0.070586,0.002321,0.000001,0.001863,0.074758,0.002077,0.000001,0.001150,0.000008,0.001092,0.000001,0.153856
0.075856,0.002563,0.000001,0.002065,0.074359,0.002291,0.000001,0.001194,0.000008,0.001142,0.000001,0.159481
0.063884,0.002597,0.000001,0.001923,0.188115,0.002453,0.000001,0.001564,0.000007,0.001323,0.000001,0.261868
0.081667,0.002556,0.000001,0.002275,0.081884,0.001806,0.000001,0.001216,0.000021,0.001235,0.000001,0.172663
0.069868,0.002338,0.000001,0.001947,0.165163,0.002385,0.000001,0.001298,0.000011,0.001343,0.000001,0.244355
0.063788,0.002393,0.000001,0.002088,0.076758,0.002395,0.000001,0.001839,0.000009,0.001483,0.000001,0.150756
0.059910,0.002278,0.000001,0.002250,0.076536,0.002378,0.000001,0.001228,0.000010,0.001265,0.000001,0.145858
0.062413,0.002215,0.000001,0.001513,0.071777,0.001409,0.000001,0.001151,0.000017,0.001083,0.000001,0.141581
0.072297,0.002461,0.000001,0.002286,0.204232,0.002386,0.000001,0.001495,0.000009,0.001184,0.000001,0.286352
0.064269,0.002180,0.000001,0.002671,0.196140,0.002856,0.000001,0.001904,0.013992,0.001887,0.000001,0.285902
0.089028,0.002256,0.000001,0.001780,0.070973,0.001527,0.000001,0.001345,0.000010,0.001746,0.000001,0.168667
0.075957,0.004603,0.000002,0.001895,0.072246,0.001431,0.000000,0.001379,0.000010,0.001336,0.000001,0.158858
0.062337,0.002192,0.000001,0.002179,0.167485,0.002110,0.000001,0.002544,0.000013,0.001922,0.000001,0.240783
0.069799,0.002748,0.000001,0.001767,0.073168,0.001519,0.000001,0.001228,0.000011,0.001630,0.000001,0.151873
0.063263,0.002321,0.000001,0.001444,0.070500,0.001466,0.000000,0.001166,0.000011,0.001150,0.000001,0.141321
0.073725,0.002756,0.000001,0.001944,0.139514,0.001937,0.000001,0.001160,0.000010,0.001274,0.000001,0.222321
0.089615,0.002214,0.000001,0.001742,0.072097,0.002010,0.000001,0.001121,0.000009,0.001123,0.000001,0.169933
0.090584,0.003131,0.000001,0.001400,0.072172,0.001672,0.000001,0.001135,0.000009,0.001168,0.000001,0.171273
0.061974,0.002488,0.000001,0.001848,0.072492,0.002302,0.000001,0.001201,0.000008,0.001211,0.000001,0.143527
0.086045,0.002317,0.000001,0.001885,0.156449,0.002180,0.000001,0.001231,0.000008,0.001366,0.000001,0.251482
0.059751,0.002393,0.000001,0.001824,0.075877,0.001448,0.000000,0.001227,0.000008,0.001297,0.000002,0.143827
0.073121,0.002219,0.000001,0.001950,0.187809,0.004537,0.000002,0.003520,0.000016,0.002894,0.000001,0.276070
0.072826,0.002339,0.000001,0.002377,0.166241,0.002615,0.000001,0.001299,0.000009,0.001302,0.000001,0.249011
0.071154,0.003074,0.000001,0.001765,0.080503,0.002043,0.000001,0.001270,0.000012,0.001289,0.000001,0.161111
