Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.078009,0.004592,0.000001,0.001936,0.168943,0.002678,0.000001,0.005186,0.000001,0.002870,0.000020,0.002936,0.000001,0.004416,0.000002,0.271590
0.061861,0.003605,0.000000,0.001827,0.083255,0.003212,0.000001,0.005816,0.000001,0.008687,0.000042,0.006689,0.000001,0.003585,0.000002,0.178584
0.062291,0.004945,0.000001,0.002196,0.162014,0.002642,0.000001,0.004538,0.000001,0.010389,0.000074,0.006675,0.000001,0.005352,0.000002,0.261120
0.060974,0.003616,0.000000,0.001844,0.071935,0.002408,0.000001,0.004221,0.000001,0.010748,0.000075,0.006289,0.000001,0.004437,0.000002,0.166551
0.060379,0.005066,0.000001,0.002006,0.174946,0.002975,0.000001,0.004629,0.000001,0.008743,0.000043,0.006332,0.000001,0.004551,0.000002,0.269676
0.083359,0.003999,0.000001,0.001802,0.073197,0.002939,0.000001,0.004582,0.000001,0.009604,0.000052,0.006530,0.000001,0.003414,0.000002,0.189483
0.075777,0.004481,0.000001,0.001439,0.074625,0.003010,0.000001,0.006006,0.000001,0.009865,0.000047,0.009844,0.000001,0.003799,0.000002,0.188897
0.064035,0.004033,0.000001,0.001930,0.160325,0.002709,0.000001,0.004635,0.000001,0.011681,0.000113,0.006426,0.000001,0.003526,0.000002,0.259420
0.074020,0.004499,0.000001,0.002896,0.079801,0.003263,0.000001,0.005516,0.000001,0.009338,0.000042,0.007154,0.000001,0.004485,0.000002,0.191019
0.064862,0.003988,0.000000,0.001454,0.074454,0.002821,0.000001,0.005770,0.000001,0.016353,0.000143,0.009630,0.000001,0.005626,0.000002,0.185107
0.068565,0.004776,0.000001,0.001967,0.167903,0.002885,0.000001,0.005579,0.000001,0.009650,0.000060,0.007014,0.000001,0.004353,0.000002,0.272757
0.063102,0.005874,0.000001,0.001725,0.077402,0.002657,0.000001,0.006148,0.000001,0.009145,0.000066,0.007210,0.000001,0.003832,0.000001,0.177166
0.088556,0.005059,0.000001,0.002177,0.078541,0.003000,0.000001,0.005181,0.000001,0.008995,0.000051,0.007689,0.000002,0.005256,0.000002,0.204510
0.060441,0.003899,0.000001,0.002282,0.168055,0.003515,0.000001,0.005920,0.000001,0.017731,0.000115,0.007526,0.000001,0.004663,0.000002,0.274152
0.073569,0.005263,0.000000,0.002250,0.074666,0.002977,0.000001,0.005936,0.000001,0.009806,0.000048,0.006598,0.000001,0.004438,0.000002,0.185555
0.072337,0.005215,0.000001,0.001646,0.072398,0.002798,0.000001,0.005762,0.000001,0.008369,0.000042,0.006568,0.000001,0.004266,0.000002,0.179406
0.074672,0.004042,0.000001,0.001826,0.067004,0.003226,0.000001,0.004850,0.000001,0.007902,0.000053,0.005974,0.000001,0.003443,0.000002,0.172997
0.062908,0.004676,0.000001,0.002058,0.162023,0.003024,0.000001,0.004686,0.000001,0.008513,0.000043,0.006737,0.000001,0.005615,0.000002,0.260290
0.069191,0.003908,0.000001,0.002203,0.198204,0.003068,0.000001,0.005227,0.000001,0.004195,0.015407,0.002863,0.000001,0.004634,0.000002,0.308905
0.081481,0.004941,0.000001,0.001852,0.071706,0.003488,0.000001,0.005384,0.000001,0.008153,0.000041,0.006376,0.000001,0.003799,0.000002,0.187226
0.057986,0.004597,0.000001,0.002411,0.162001,0.003628,0.000001,0.004754,0.000001,0.008275,0.000079,0.008208,0.000001,0.003230,0.000002,0.255174
0.088629,0.006867,0.000001,0.002035,0.077297,0.003628,0.000001,0.005032,0.000001,0.008279,0.000054,0.006223,0.000001,0.003581,0.000002,0.201630
0.082814,0.004391,0.000001,0.001862,0.145691,0.002498,0.000001,0.005280,0.000001,0.007630,0.000051,0.006004,0.000001,0.004064,0.000002,0.260288
0.089893,0.005417,0.000001,0.001451,0.070324,0.002373,0.000001,0.005510,0.000001,0.017039,0.000052,0.006104,0.000001,0.003793,0.000002,0.201962
0.074226,0.005094,0.000001,0.002112,0.074054,0.002626,0.000001,0.005657,0.000001,0.008699,0.000044,0.006666,0.000001,0.003744,0.000002,0.182927
0.070636,0.004455,0.000001,0.001639,0.072355,0.002621,0.000001,0.004984,0.000001,0.008600,0.000042,0.006396,0.000001,0.005178,0.000002,0.176910
0.081807,0.004133,0.000001,0.002076,0.160120,0.003059,0.000001,0.004564,0.000001,0.003345,0.000027,0.002677,0.000001,0.002959,0.000002,0.264772
0.082861,0.004240,0.000000,0.001691,0.072753,0.002949,0.000001,0.004855,0.000001,0.008688,0.000049,0.006751,0.000001,0.003715,0.000001,0.188557
0.066417,0.003926,0.000001,0.001895,0.159414,0.003738,0.000001,0.005487,0.000001,0.009093,0.000043,0.006174,0.000001,0.003241,0.000002,0.259433
