Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.038506,0.008136,0.000001,0.003765,0.100241,0.004310,0.000001,0.007769,0.000001,0.009468,0.000070,0.006493,0.000001,0.006319,0.000002,0.185082
0.106514,0.007184,0.000001,0.003495,0.098315,0.003507,0.000001,0.005044,0.000001,0.009158,0.000045,0.006544,0.000001,0.004245,0.000002,0.244056
0.055025,0.006434,0.000001,0.003540,0.197024,0.003778,0.000001,0.007163,0.000001,0.003814,0.000030,0.003295,0.000001,0.004727,0.000002,0.284837
0.073222,0.005031,0.000001,0.002264,0.075916,0.005358,0.000002,0.007874,0.000001,0.009835,0.000069,0.006288,0.000001,0.004037,0.000002,0.189900
0.064930,0.005261,0.000001,0.003586,0.082801,0.003250,0.000001,0.005456,0.000001,0.003713,0.000027,0.002753,0.000001,0.005071,0.000002,0.176854
0.062728,0.004696,0.000001,0.002035,0.080607,0.002478,0.000001,0.006307,0.000001,0.002950,0.000023,0.002345,0.000001,0.005052,0.000002,0.169227
0.078327,0.005182,0.000001,0.002882,0.179228,0.004103,0.000001,0.004969,0.000001,0.014534,0.000075,0.006793,0.000001,0.005517,0.000002,0.301615
0.067234,0.006792,0.000001,0.002013,0.074766,0.002849,0.000001,0.004354,0.000001,0.011012,0.000043,0.006562,0.000001,0.004085,0.000002,0.179714
0.088153,0.006095,0.000001,0.003432,0.269960,0.002834,0.000001,0.004367,0.000001,0.002920,0.000023,0.002273,0.000001,0.003801,0.000002,0.383861
0.066255,0.006510,0.000001,0.001848,0.081853,0.002862,0.000001,0.004473,0.000001,0.009437,0.000078,0.006316,0.000001,0.003875,0.000002,0.183510
0.057004,0.007372,0.000002,0.003121,0.234297,0.003526,0.000001,0.005302,0.000001,0.008781,0.000042,0.006407,0.000001,0.004421,0.000002,0.330278
0.083526,0.005054,0.000001,0.002258,0.075257,0.003084,0.000001,0.004704,0.000001,0.009502,0.000070,0.006231,0.000001,0.003765,0.000002,0.193456
0.085750,0.004732,0.000001,0.002280,0.075537,0.002971,0.000001,0.004739,0.000001,0.002971,0.000024,0.002724,0.000002,0.003888,0.000002,0.185621
0.068494,0.004684,0.000001,0.001738,0.070337,0.002883,0.000001,0.004037,0.000001,0.002628,0.000018,0.002565,0.000001,0.004147,0.000002,0.161536
0.065022,0.005669,0.000001,0.002502,0.218520,0.002885,0.000001,0.004243,0.000001,0.002118,0.000013,0.001993,0.000001,0.004067,0.000002,0.307037
0.081015,0.004814,0.000001,0.002033,0.153042,0.002803,0.000001,0.005474,0.000001,0.004054,0.000029,0.002223,0.000001,0.003130,0.000002,0.258624
