Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.064821,0.004322,0.000001,0.001756,0.166491,0.003108,0.000001,0.004308,0.000001,0.003295,0.000032,0.002396,0.000001,0.004007,0.000002,0.254541
0.061777,0.004661,0.000001,0.001825,0.082648,0.002538,0.000001,0.005402,0.000001,0.002893,0.000016,0.002695,0.000001,0.003446,0.000002,0.167906
0.062608,0.004465,0.000001,0.001849,0.074033,0.003049,0.000001,0.005085,0.000001,0.002573,0.000017,0.003519,0.000001,0.003409,0.000002,0.160612
0.061404,0.006733,0.000001,0.001968,0.186454,0.002990,0.000001,0.005631,0.000001,0.001953,0.000014,0.002353,0.000001,0.004220,0.000002,0.273725
0.060646,0.004338,0.000001,0.002382,0.083905,0.003009,0.000001,0.004668,0.000001,0.008606,0.000069,0.006938,0.000001,0.004783,0.000002,0.179350
0.061072,0.004520,0.000001,0.001736,0.159249,0.002999,0.000001,0.005481,0.000001,0.001925,0.000011,0.002041,0.000001,0.003541,0.000002,0.242579
0.062580,0.004439,0.000001,0.001718,0.074064,0.004185,0.000001,0.005464,0.000001,0.002058,0.000013,0.002185,0.000001,0.005617,0.000003,0.162329
0.062162,0.004108,0.000001,0.001920,0.164979,0.002775,0.000001,0.004349,0.000001,0.001889,0.000012,0.002387,0.000001,0.003481,0.000002,0.248067
0.105933,0.006016,0.000001,0.001491,0.074243,0.002668,0.000001,0.004273,0.000001,0.001558,0.000009,0.002107,0.000001,0.003559,0.000002,0.201861
0.089810,0.005145,0.000001,0.002542,0.079564,0.002178,0.000001,0.004654,0.000001,0.016015,0.000105,0.009637,0.000001,0.004779,0.000002,0.214434
0.067201,0.004753,0.000001,0.001682,0.163036,0.003460,0.000001,0.005174,0.000001,0.002018,0.000014,0.002531,0.000001,0.003649,0.000002,0.253521
0.085517,0.006987,0.000001,0.001791,0.077859,0.002530,0.000001,0.006025,0.000001,0.009099,0.000052,0.006835,0.000001,0.005068,0.000002,0.201769
0.080208,0.004929,0.000001,0.001481,0.074218,0.002801,0.000001,0.005997,0.000001,0.001549,0.000010,0.003107,0.000001,0.004090,0.000002,0.178397
0.068575,0.004408,0.000001,0.002044,0.164732,0.002805,0.000001,0.005285,0.000001,0.001594,0.000009,0.002153,0.000001,0.003808,0.000002,0.255418
0.076809,0.005279,0.000001,0.001462,0.079663,0.003078,0.000001,0.004914,0.000001,0.002983,0.000022,0.003391,0.000001,0.004241,0.000001,0.181848
