Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.042766,0.003295,0.000001,0.001991,0.075928,0.002358,0.000001,0.001406,0.000008,0.001443,0.000001,0.129198
0.058523,0.002701,0.000001,0.003940,0.103232,0.002448,0.000001,0.001213,0.000011,0.001356,0.000001,0.173425
0.076985,0.003251,0.000065,0.001550,0.075345,0.001558,0.000001,0.001307,0.000011,0.001257,0.000001,0.161330
0.063616,0.002633,0.000001,0.002648,0.203075,0.001877,0.000001,0.001319,0.000007,0.001295,0.000001,0.276473
0.081613,0.002847,0.000001,0.002780,0.168067,0.002101,0.000000,0.001177,0.000007,0.001370,0.000001,0.259963
0.076873,0.003103,0.000001,0.001932,0.180519,0.002023,0.000001,0.001242,0.000009,0.001328,0.000001,0.267031
0.093355,0.002449,0.000001,0.001820,0.075711,0.002915,0.000001,0.001290,0.000020,0.002784,0.000001,0.180345
0.088191,0.003139,0.000001,0.001367,0.076709,0.001635,0.000000,0.001168,0.000012,0.001308,0.000002,0.173531
0.059855,0.002756,0.000001,0.002862,0.212471,0.001835,0.000001,0.001356,0.000011,0.001352,0.000001,0.282500
0.067379,0.002282,0.000001,0.001494,0.133596,0.001767,0.000001,0.001312,0.000010,0.002245,0.000001,0.210087
0.070024,0.002351,0.000001,0.002158,0.195024,0.001777,0.000001,0.001469,0.000010,0.001833,0.000000,0.274648
0.067500,0.002397,0.000001,0.001375,0.074717,0.001783,0.000001,0.001191,0.000009,0.001642,0.000001,0.150617
0.076530,0.002331,0.000001,0.001949,0.179208,0.001684,0.000000,0.001309,0.000009,0.001256,0.000001,0.264277
0.069447,0.002366,0.000001,0.001879,0.176028,0.001742,0.000001,0.001257,0.000011,0.001234,0.000001,0.253965
0.061544,0.002338,0.000000,0.001462,0.072241,0.002482,0.000001,0.001207,0.000011,0.001496,0.000001,0.142783
0.060779,0.002217,0.000001,0.001583,0.168758,0.001623,0.000001,0.001194,0.000010,0.001272,0.000001,0.237438
0.076651,0.002295,0.000001,0.002184,0.076338,0.001451,0.000001,0.001238,0.000011,0.001228,0.000001,0.161400
0.062122,0.002192,0.000001,0.002560,0.165731,0.001647,0.000001,0.001159,0.000010,0.001148,0.000001,0.236570
0.071764,0.003228,0.000001,0.001519,0.075657,0.001530,0.000001,0.001137,0.000009,0.001253,0.000001,0.156099
0.069934,0.002405,0.000001,0.001503,0.075025,0.001655,0.000001,0.001403,0.000009,0.001393,0.000001,0.153329
0.097704,0.002506,0.000001,0.001424,0.075545,0.001468,0.000001,0.001214,0.000009,0.001464,0.000001,0.181336
0.058842,0.002425,0.000001,0.002135,0.180493,0.001836,0.000001,0.001185,0.000006,0.001287,0.000001,0.248211
0.105382,0.002538,0.000001,0.001657,0.079647,0.001845,0.000001,0.001225,0.000010,0.002054,0.000001,0.194360
0.073062,0.002726,0.000003,0.002707,0.293605,0.001925,0.000001,0.001284,0.000016,0.001609,0.000001,0.376938
0.081557,0.002321,0.000001,0.002685,0.195022,0.001838,0.000001,0.001627,0.000014,0.001453,0.000001,0.286521
0.071655,0.002564,0.000001,0.001910,0.176101,0.002346,0.000000,0.002125,0.000011,0.001364,0.000000,0.258077
0.073957,0.002611,0.000001,0.001450,0.110312,0.001588,0.000000,0.001432,0.000009,0.001187,0.000001,0.192546
0.067699,0.002565,0.000001,0.001394,0.074950,0.002251,0.000001,0.001341,0.000009,0.001410,0.000001,0.151622
0.069044,0.002418,0.000001,0.002570,0.203802,0.002667,0.000001,0.001886,0.000009,0.001474,0.000000,0.283872
0.074826,0.002644,0.000001,0.001832,0.178553,0.001928,0.000001,0.001251,0.000009,0.001366,0.000001,0.262412
0.069574,0.002645,0.000001,0.001889,0.181466,0.002804,0.000001,0.001459,0.000011,0.001546,0.000001,0.261396
0.069022,0.002324,0.000001,0.002669,0.083154,0.002376,0.000001,0.002106,0.000009,0.001610,0.000000,0.163272
0.073822,0.002467,0.000001,0.001550,0.074547,0.001495,0.000000,0.001243,0.000009,0.001378,0.000001,0.156514
0.071952,0.002446,0.000001,0.001723,0.190637,0.001763,0.000001,0.001675,0.000008,0.001599,0.000001,0.271806
0.063817,0.002220,0.000001,0.001437,0.076719,0.001469,0.000001,0.001228,0.000012,0.001811,0.000004,0.148718
0.077055,0.002461,0.000001,0.002723,0.176870,0.001889,0.000001,0.001141,0.000008,0.001206,0.000001,0.263356
0.071400,0.002612,0.000002,0.001567,0.075242,0.001559,0.000000,0.001251,0.000009,0.002016,0.000001,0.155660
0.070415,0.003792,0.000001,0.002189,0.157863,0.002228,0.000001,0.001204,0.000010,0.001143,0.000001,0.238846
0.073813,0.002376,0.000001,0.002581,0.190431,0.001821,0.000001,0.001208,0.000008,0.001312,0.000001,0.273554
0.060814,0.002313,0.000001,0.002317,0.077644,0.001915,0.000001,0.001116,0.000008,0.001144,0.000001,0.147274
0.061251,0.002316,0.000001,0.001985,0.080605,0.002518,0.000001,0.001277,0.000011,0.001236,0.000001,0.151202
0.064879,0.002361,0.000001,0.001796,0.178870,0.001810,0.000001,0.001157,0.000009,0.001189,0.000001,0.252072
