Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.078085,0.002066,0.000001,0.002239,0.238297,0.001802,0.000000,0.000941,0.000007,0.001197,0.000001,0.324637
0.082418,0.002004,0.000001,0.002069,0.215352,0.001783,0.000001,0.001259,0.000011,0.001106,0.000001,0.306004
0.068484,0.001915,0.000001,0.002304,0.193622,0.001877,0.000001,0.001010,0.000006,0.001057,0.000001,0.270277
0.078199,0.002246,0.000001,0.002324,0.226398,0.001693,0.000000,0.000928,0.000006,0.001161,0.000001,0.312957
0.062605,0.001979,0.000001,0.002212,0.185193,0.001797,0.000000,0.001263,0.000009,0.001092,0.000001,0.256151
0.064960,0.006483,0.000001,0.002369,0.259775,0.001814,0.000000,0.000996,0.000009,0.001433,0.000001,0.337840
0.071204,0.002177,0.000001,0.002508,0.282176,0.001839,0.000000,0.001314,0.000010,0.001092,0.000001,0.362323
0.062400,0.002034,0.000001,0.002604,0.226560,0.001806,0.000001,0.000981,0.000009,0.001023,0.000001,0.297419
0.066312,0.002071,0.000001,0.002649,0.266206,0.002162,0.000000,0.001366,0.000015,0.001531,0.000001,0.342313
0.092395,0.002178,0.000001,0.002344,0.202346,0.001776,0.000000,0.000980,0.000008,0.001035,0.000001,0.303063
0.091206,0.002093,0.000001,0.002148,0.192130,0.001947,0.000001,0.001078,0.000008,0.001106,0.000001,0.291718
0.060444,0.001942,0.000000,0.002529,0.202434,0.001992,0.000001,0.001117,0.000006,0.001047,0.000001,0.271513
0.074511,0.002016,0.000000,0.004461,0.261623,0.001884,0.000000,0.001010,0.000007,0.001048,0.000001,0.346561
0.063120,0.002154,0.000001,0.002618,0.249038,0.001922,0.000001,0.001084,0.000007,0.001124,0.000001,0.321069
0.087058,0.005671,0.000001,0.002525,0.206927,0.001869,0.000000,0.001011,0.000008,0.001147,0.000001,0.306218
0.066454,0.002765,0.000001,0.002255,0.230324,0.001890,0.000000,0.001065,0.000008,0.001052,0.000001,0.305815
0.062887,0.002074,0.000001,0.002509,0.196167,0.001832,0.000000,0.001028,0.000007,0.001029,0.000001,0.267534
0.059548,0.002031,0.000001,0.002569,0.272771,0.001714,0.000001,0.004225,0.000572,0.001918,0.000001,0.345349
0.062834,0.002403,0.000001,0.002454,0.249282,0.001796,0.000001,0.000959,0.000009,0.001033,0.000001,0.320772
0.062693,0.001876,0.000001,0.002300,0.188455,0.001685,0.000001,0.001020,0.000015,0.001228,0.000001,0.259274
0.059805,0.001954,0.000000,0.002471,0.279375,0.001533,0.000000,0.001303,0.000013,0.001576,0.000001,0.348032
0.061947,0.001878,0.000001,0.002363,0.263735,0.001856,0.000000,0.000975,0.000006,0.001225,0.000001,0.333988
0.063184,0.002053,0.000001,0.002287,0.230436,0.001793,0.000000,0.000994,0.000007,0.001088,0.000001,0.301843
0.061905,0.002383,0.000001,0.002063,0.278302,0.001805,0.000001,0.001025,0.000006,0.001060,0.000001,0.348553
0.088202,0.002337,0.000001,0.003615,0.194298,0.001837,0.000001,0.000981,0.000008,0.001059,0.000001,0.292340
0.060088,0.002028,0.000001,0.002127,0.186955,0.001854,0.000000,0.001068,0.000008,0.001074,0.000001,0.255204
0.067218,0.002053,0.000001,0.002685,0.222132,0.001723,0.000001,0.001129,0.000012,0.001488,0.000001,0.298442
0.063183,0.001925,0.000000,0.002299,0.231696,0.001878,0.000000,0.001002,0.000006,0.001099,0.000001,0.303091
0.082826,0.001954,0.000001,0.002536,0.218285,0.001686,0.000001,0.001099,0.000014,0.001135,0.000001,0.309536
0.060809,0.002515,0.000001,0.002223,0.189314,0.002068,0.000001,0.001598,0.000010,0.001215,0.000001,0.259754
0.075563,0.002068,0.000001,0.002167,0.222507,0.001838,0.000000,0.000973,0.000008,0.001255,0.000001,0.306381
0.061494,0.001930,0.000001,0.002366,0.196339,0.001872,0.000001,0.000982,0.000008,0.001049,0.000001,0.266041
0.062721,0.002020,0.000001,0.002499,0.195927,0.001930,0.000000,0.001052,0.000008,0.001054,0.000001,0.267213
0.062560,0.002251,0.000001,0.003103,0.202813,0.001852,0.000000,0.001015,0.000008,0.001059,0.000001,0.274663
0.104780,0.002464,0.000000,0.002323,0.177250,0.001774,0.000000,0.000999,0.000010,0.001054,0.000001,0.290655
0.090834,0.002196,0.000001,0.002576,0.181745,0.001850,0.000000,0.001145,0.000014,0.001489,0.000001,0.281849
0.066725,0.001872,0.000001,0.001989,0.173154,0.001775,0.000000,0.000917,0.000007,0.000961,0.000001,0.247402
0.070468,0.002009,0.000001,0.001983,0.241732,0.006590,0.000001,0.001027,0.000013,0.001070,0.000001,0.324895
0.069603,0.001955,0.000001,0.002419,0.232144,0.002078,0.000001,0.001464,0.000009,0.000998,0.000001,0.310673
0.076413,0.002019,0.000001,0.002517,0.189652,0.001508,0.000001,0.001317,0.000034,0.001120,0.000001,0.274583
0.070526,0.001986,0.000001,0.002290,0.180413,0.001820,0.000001,0.000970,0.000007,0.001328,0.000001,0.259341
0.067629,0.002886,0.000000,0.002409,0.196326,0.003083,0.000001,0.001965,0.000018,0.003090,0.000001,0.277407
0.065018,0.002019,0.000001,0.002376,0.244559,0.001587,0.000000,0.001011,0.000011,0.001116,0.000001,0.317699
0.069463,0.002367,0.000001,0.002389,0.267117,0.001846,0.000000,0.001055,0.000008,0.001421,0.000001,0.345668
0.061724,0.002033,0.000000,0.002144,0.187205,0.001903,0.000000,0.001068,0.000010,0.001190,0.000001,0.257280
0.063722,0.001978,0.000001,0.002625,0.240198,0.001857,0.000000,0.001058,0.000009,0.001099,0.000001,0.312546
0.070208,0.002083,0.000001,0.002157,0.273465,0.002222,0.000001,0.001052,0.000006,0.001059,0.000001,0.352254
0.084028,0.002464,0.000001,0.002233,0.187139,0.001574,0.000000,0.001009,0.000008,0.001099,0.000001,0.279556
0.059161,0.002455,0.000001,0.002897,0.210163,0.002331,0.000001,0.001380,0.000008,0.001122,0.000001,0.279518
0.067444,0.002358,0.000001,0.002638,0.256357,0.001864,0.000000,0.001326,0.000009,0.001123,0.000001,0.333120
0.061211,0.002381,0.000001,0.002380,0.243256,0.001865,0.000000,0.001034,0.000006,0.001141,0.000001,0.313275
0.097652,0.002179,0.000001,0.002302,0.190404,0.001842,0.000000,0.001041,0.000009,0.001279,0.000001,0.296709
0.089859,0.002074,0.000000,0.002261,0.245196,0.001886,0.000000,0.001377,0.000017,0.001195,0.000001,0.343867
0.066323,0.002105,0.000001,0.002657,0.270435,0.001718,0.000000,0.001157,0.000012,0.001157,0.000001,0.345565
0.066562,0.002799,0.000001,0.003012,0.245916,0.001889,0.000000,0.001043,0.014397,0.001313,0.000001,0.336933
0.066012,0.002995,0.000001,0.002505,0.244568,0.001582,0.000000,0.001047,0.014631,0.001442,0.000001,0.334784
0.090426,0.002170,0.000000,0.002543,0.195925,0.001739,0.000000,0.000995,0.000007,0.000994,0.000001,0.294801
0.093586,0.001947,0.000001,0.002545,0.187064,0.001867,0.000000,0.000994,0.000009,0.001504,0.000001,0.289518
0.080139,0.002046,0.000001,0.002552,0.277815,0.001764,0.000000,0.000953,0.000009,0.001014,0.000001,0.366294
0.073880,0.001994,0.000000,0.002218,0.291456,0.003860,0.000001,0.003321,0.014476,0.002861,0.000001,0.394068
0.060267,0.010862,0.000001,0.002653,0.305299,0.002032,0.000000,0.001255,0.000009,0.001294,0.000001,0.383672
0.092553,0.001929,0.000001,0.002204,0.202849,0.001855,0.000001,0.001426,0.014160,0.001480,0.000001,0.318460
0.079871,0.003007,0.000000,0.002606,0.288194,0.001916,0.000000,0.001309,0.000010,0.001632,0.000001,0.378548
0.091918,0.002419,0.000001,0.002195,0.224731,0.002301,0.000001,0.001564,0.000014,0.001245,0.000001,0.326389
0.056921,0.002145,0.000000,0.002567,0.203350,0.001886,0.000000,0.001328,0.000010,0.001126,0.000001,0.269335
0.066437,0.002478,0.000000,0.002333,0.268397,0.001900,0.000000,0.001004,0.000008,0.001091,0.000001,0.343649
0.063528,0.052676,0.000001,0.002893,0.234398,0.002618,0.000001,0.002036,0.000012,0.001881,0.000001,0.360043
0.062895,0.002131,0.000001,0.003163,0.322096,0.001917,0.000000,0.002877,0.000012,0.001098,0.000001,0.396192
0.097760,0.007685,0.000000,0.002451,0.246482,0.001969,0.000000,0.001044,0.000006,0.001082,0.000001,0.358481
0.085332,0.002157,0.000001,0.002253,0.215401,0.001898,0.000000,0.001208,0.014363,0.001181,0.000001,0.323794
0.070885,0.001749,0.000001,0.002236,0.173309,0.001766,0.000000,0.001047,0.000013,0.001034,0.000001,0.252041
0.075478,0.001962,0.000001,0.002105,0.269508,0.002072,0.000001,0.001434,0.000007,0.001138,0.000001,0.353706
0.059722,0.007959,0.000001,0.002613,0.298221,0.002031,0.000000,0.001460,0.014572,0.001127,0.000001,0.387706
