Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.051079,0.007247,0.000002,0.003348,0.204587,0.002102,0.000001,0.001745,0.000007,0.001254,0.000001,0.271372
0.068689,0.002583,0.000001,0.003127,0.203276,0.002076,0.000001,0.001167,0.000010,0.001191,0.000001,0.282121
0.066860,0.003699,0.000001,0.004080,0.265094,0.001862,0.000001,0.001297,0.000011,0.001371,0.000001,0.344274
0.061849,0.001953,0.000000,0.002284,0.180882,0.001813,0.000000,0.000940,0.000009,0.001556,0.000000,0.251287
0.058917,0.001922,0.000000,0.003122,0.293194,0.001788,0.000000,0.000975,0.000007,0.001118,0.000001,0.361046
0.062833,0.001979,0.000000,0.002785,0.239373,0.002003,0.000001,0.001194,0.000009,0.002696,0.000001,0.312874
0.099703,0.002087,0.000000,0.002145,0.195461,0.001718,0.000000,0.001004,0.000008,0.001123,0.000001,0.303250
0.071794,0.002309,0.000000,0.002843,0.226010,0.001734,0.000000,0.001048,0.000008,0.001095,0.000001,0.306843
0.080604,0.002045,0.000001,0.003131,0.255112,0.001735,0.000000,0.000976,0.000005,0.001095,0.000001,0.344704
0.103956,0.002195,0.000001,0.002388,0.193048,0.001737,0.000000,0.001051,0.000010,0.001110,0.000001,0.305497
0.092855,0.002026,0.000001,0.002190,0.268571,0.001744,0.000000,0.001708,0.000011,0.001492,0.000001,0.370599
0.064254,0.002075,0.000001,0.002935,0.180168,0.002014,0.000001,0.001472,0.000011,0.001201,0.000001,0.254132
0.058400,0.002009,0.000001,0.002474,0.240697,0.001775,0.000000,0.001220,0.000010,0.001169,0.000001,0.307755
0.072252,0.002126,0.000001,0.002594,0.278637,0.001778,0.000000,0.000945,0.000008,0.001059,0.000001,0.359401
0.099497,0.002141,0.000001,0.002220,0.178743,0.001927,0.000000,0.000968,0.000007,0.001134,0.000001,0.286638
0.082261,0.001986,0.000001,0.002041,0.194346,0.008105,0.000000,0.001012,0.000010,0.001115,0.000001,0.290878
0.078451,0.001942,0.000000,0.002112,0.411680,0.001824,0.000000,0.000981,0.000010,0.001082,0.000001,0.498084
0.063717,0.040188,0.000001,0.002671,0.199301,0.001744,0.000000,0.001085,0.000011,0.001273,0.000001,0.309991
0.062580,0.002765,0.000001,0.002470,0.279088,0.001826,0.000000,0.001204,0.000007,0.001143,0.000001,0.351085
0.063168,0.013277,0.000000,0.002269,0.196613,0.001773,0.000000,0.001005,0.000005,0.001196,0.000001,0.279309
0.066350,0.019300,0.000001,0.001992,0.279851,0.001754,0.000000,0.001160,0.000010,0.001220,0.000001,0.371640
0.077406,0.002126,0.000001,0.002567,0.208722,0.001839,0.000000,0.001153,0.000010,0.001554,0.000001,0.295377
0.071851,0.001991,0.000001,0.002628,0.200439,0.001889,0.000001,0.001128,0.000008,0.001950,0.000001,0.281886
0.104988,0.002203,0.000001,0.002487,0.270672,0.001810,0.000000,0.001033,0.000011,0.002538,0.000001,0.385743
0.060381,0.013384,0.000000,0.001914,0.228354,0.001835,0.000000,0.001157,0.000006,0.001236,0.000001,0.308269
0.093982,0.002036,0.000001,0.002603,0.307809,0.001786,0.000000,0.001026,0.000010,0.001164,0.000001,0.410417
0.097172,0.002231,0.000001,0.002158,0.236802,0.001648,0.000001,0.001121,0.000010,0.001218,0.000001,0.342362
0.065923,0.032410,0.000000,0.002461,0.201127,0.001903,0.000000,0.001353,0.000008,0.001253,0.000001,0.306441
0.064474,0.003576,0.000001,0.002184,0.266397,0.002088,0.000001,0.001191,0.000006,0.001189,0.000001,0.341108
0.059638,0.002111,0.000001,0.002318,0.201977,0.001729,0.000001,0.001163,0.000013,0.001182,0.000001,0.270131
0.077900,0.002117,0.000001,0.002605,0.341681,0.002088,0.000001,0.001727,0.000014,0.001316,0.000001,0.429450
0.057508,0.014421,0.000000,0.002381,0.201749,0.001798,0.000000,0.000974,0.000008,0.001110,0.000001,0.279952
0.084634,0.002115,0.000001,0.002547,0.268781,0.002212,0.000000,0.001031,0.000006,0.002363,0.000001,0.363691
0.061626,0.013276,0.000000,0.002037,0.235163,0.001972,0.000001,0.001424,0.000014,0.002403,0.000001,0.317916
0.061288,0.002420,0.000001,0.002547,0.289499,0.001954,0.000000,0.001014,0.000007,0.001133,0.000001,0.359864
0.062490,0.042800,0.000000,0.002282,0.205769,0.001798,0.000000,0.001059,0.000009,0.001167,0.000002,0.317377
0.060958,0.013087,0.000000,0.002396,0.216562,0.001761,0.000000,0.000973,0.000005,0.001091,0.000000,0.296835
0.061270,0.015900,0.000000,0.002588,0.234119,0.001561,0.000000,0.000972,0.000008,0.001108,0.000000,0.317527
0.062336,0.004442,0.000002,0.002615,0.235594,0.001763,0.000000,0.001002,0.000006,0.001567,0.000001,0.309329
0.062408,0.003309,0.000001,0.002920,0.204446,0.001889,0.000001,0.001174,0.000011,0.001149,0.000000,0.277308
0.065735,0.002073,0.000001,0.002568,0.197832,0.001763,0.000000,0.000966,0.000006,0.001045,0.000001,0.271991
0.062219,0.002959,0.000001,0.002332,0.275323,0.001800,0.000000,0.001204,0.000006,0.001021,0.000001,0.346867
0.082781,0.002160,0.000001,0.002588,0.202707,0.001845,0.000000,0.001030,0.000007,0.001084,0.000001,0.294204
0.062132,0.018254,0.000001,0.002523,0.281418,0.001792,0.000001,0.001042,0.000006,0.001056,0.000001,0.368225
0.076957,0.002154,0.000001,0.002499,0.211383,0.001785,0.000001,0.002085,0.000022,0.001208,0.000001,0.298094
0.057618,0.002051,0.000001,0.002680,0.203967,0.002073,0.000000,0.000996,0.000010,0.001096,0.000001,0.270493
0.102634,0.002191,0.000001,0.002100,0.188952,0.001773,0.000001,0.001016,0.000008,0.001072,0.000001,0.299749
0.074092,0.002072,0.000001,0.002311,0.229578,0.002082,0.000001,0.001871,0.000012,0.002422,0.000001,0.314442
0.079584,0.002057,0.000001,0.002397,0.198692,0.002815,0.000001,0.001930,0.000009,0.001455,0.000001,0.288940
