Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.046701,0.005994,0.000001,0.003437,0.204649,0.001869,0.000000,0.001110,0.000008,0.001331,0.000001,0.265100
0.056562,0.003504,0.000001,0.003272,0.203723,0.001786,0.000000,0.001067,0.000006,0.001110,0.000000,0.271032
0.089758,0.003624,0.000001,0.002403,0.216798,0.001784,0.000000,0.000972,0.000007,0.001081,0.000001,0.316429
0.065559,0.002187,0.000001,0.002722,0.189571,0.002157,0.000001,0.001177,0.000008,0.001345,0.000001,0.264729
0.073299,0.002382,0.000001,0.002337,0.216117,0.001977,0.000001,0.001437,0.000009,0.001264,0.000000,0.298824
0.078972,0.002075,0.000001,0.002107,0.197960,0.001780,0.000000,0.002007,0.000012,0.002901,0.000001,0.287818
0.071134,0.002502,0.000001,0.003143,0.275363,0.001748,0.000000,0.003513,0.000013,0.002281,0.000001,0.359700
0.067491,0.001957,0.000000,0.003225,0.247165,0.002500,0.000001,0.002783,0.000013,0.001227,0.000000,0.326362
0.084803,0.002267,0.000001,0.002665,0.203836,0.001765,0.000000,0.001069,0.000008,0.001133,0.000001,0.297547
0.079318,0.002025,0.000001,0.002961,0.300674,0.001807,0.000000,0.001478,0.000008,0.001201,0.000001,0.389474
0.060468,0.001947,0.000001,0.002130,0.171018,0.001759,0.000001,0.001495,0.000008,0.001154,0.000001,0.239981
0.072272,0.002230,0.000001,0.002512,0.297657,0.001774,0.000001,0.001153,0.000007,0.001150,0.000001,0.378756
0.063000,0.001997,0.000000,0.002186,0.250436,0.001830,0.000001,0.001030,0.000008,0.001293,0.000001,0.321782
0.060978,0.025165,0.000001,0.002393,0.199202,0.001861,0.000001,0.001088,0.000007,0.001113,0.000001,0.291808
0.071223,0.001952,0.000000,0.002120,0.294715,0.001690,0.000001,0.000942,0.000007,0.001086,0.000001,0.373735
0.087426,0.002087,0.000001,0.002132,0.188333,0.001739,0.000001,0.001056,0.000006,0.001108,0.000001,0.283890
0.090305,0.030038,0.000001,0.002508,0.188081,0.001761,0.000000,0.001124,0.000010,0.001191,0.000001,0.315021
0.084984,0.002817,0.000001,0.002703,0.266629,0.001753,0.000000,0.001020,0.000007,0.001123,0.000001,0.361037
0.060298,0.001986,0.000001,0.002644,0.205402,0.003953,0.000001,0.002914,0.000016,0.001942,0.000001,0.279159
0.076797,0.025176,0.000001,0.001922,0.254672,0.002145,0.000001,0.001474,0.000010,0.002232,0.000001,0.364429
0.090821,0.002661,0.000001,0.002180,0.198695,0.001828,0.000000,0.001238,0.000012,0.001270,0.000001,0.298707
0.060821,0.019663,0.000000,0.002132,0.191605,0.001827,0.000000,0.001522,0.000014,0.001366,0.000001,0.278953
0.091704,0.002212,0.000001,0.002653,0.304245,0.002082,0.000001,0.001356,0.000010,0.001526,0.000001,0.405789
0.063309,0.013356,0.000000,0.002573,0.398243,0.001739,0.000001,0.001140,0.000009,0.001213,0.000001,0.481583
0.068090,0.002070,0.000001,0.002296,0.233940,0.001707,0.000000,0.001148,0.000009,0.001224,0.000001,0.310485
0.077503,0.002068,0.000000,0.002527,0.293901,0.001715,0.000001,0.001219,0.000007,0.001089,0.000001,0.380032
0.069078,0.004649,0.000001,0.002710,0.207555,0.002108,0.000001,0.001074,0.000016,0.001182,0.000001,0.288374
0.077819,0.023838,0.000000,0.008774,0.208962,0.002039,0.000000,0.001117,0.000014,0.001174,0.000001,0.323739
0.065703,0.003402,0.000001,0.002584,0.304047,0.001898,0.000000,0.001196,0.000019,0.001350,0.000001,0.380201
0.077318,0.036235,0.000000,0.002685,0.213579,0.001668,0.000001,0.001241,0.000011,0.001553,0.000001,0.334293
0.065830,0.009968,0.000000,0.002214,0.220285,0.001583,0.000000,0.001165,0.000011,0.001204,0.000001,0.302261
0.060542,0.002015,0.000001,0.002551,0.200402,0.001800,0.000001,0.001338,0.000009,0.001808,0.000001,0.270467
0.078886,0.024837,0.000000,0.002619,0.299989,0.001774,0.000000,0.001519,0.000014,0.001296,0.000001,0.410936
0.062988,0.008447,0.000000,0.002557,0.272304,0.001802,0.000000,0.001008,0.000008,0.001117,0.000001,0.350231
0.061624,0.002044,0.000001,0.002210,0.263618,0.002151,0.000002,0.001191,0.000008,0.001129,0.000001,0.333978
0.062186,0.026551,0.000000,0.002422,0.201337,0.001765,0.000001,0.000971,0.000009,0.002316,0.000001,0.297559
0.060840,0.004102,0.000000,0.002271,0.187815,0.001722,0.000000,0.000942,0.000007,0.001101,0.000001,0.258802
0.061036,0.017172,0.000000,0.002764,0.290876,0.001463,0.000000,0.000994,0.000006,0.001092,0.000001,0.375406
0.062453,0.040519,0.000000,0.002554,0.204418,0.001882,0.000001,0.001047,0.000008,0.001455,0.000001,0.314338
0.062017,0.013327,0.000000,0.002282,0.270892,0.001671,0.000000,0.001020,0.000007,0.001087,0.000001,0.352306
0.060967,0.003586,0.000001,0.002169,0.190604,0.002565,0.000001,0.001060,0.000008,0.001095,0.000001,0.262057
0.062324,0.013470,0.000000,0.002912,0.258451,0.001801,0.000000,0.001427,0.000009,0.001104,0.000001,0.341500
0.062609,0.002070,0.000001,0.002439,0.186982,0.001882,0.000000,0.000995,0.000009,0.001081,0.000001,0.258069
0.061144,0.002003,0.000001,0.002465,0.261505,0.002098,0.000000,0.001042,0.000008,0.001044,0.000001,0.331309
0.062769,0.002138,0.000000,0.002324,0.262137,0.001832,0.000000,0.001051,0.000006,0.001152,0.000001,0.333410
0.075100,0.002104,0.000001,0.002469,0.203385,0.001806,0.000000,0.001077,0.000008,0.001077,0.000001,0.287027
