Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.042579,0.005772,0.000001,0.003494,0.192695,0.001757,0.000000,0.001102,0.000007,0.001332,0.000001,0.248741
0.061869,0.003089,0.000001,0.002457,0.173715,0.002002,0.000001,0.001476,0.000010,0.001600,0.000001,0.246220
0.065884,0.002542,0.000000,0.003094,0.193248,0.001790,0.000000,0.001011,0.000008,0.001432,0.000001,0.269010
0.059860,0.001961,0.000000,0.002405,0.206100,0.001782,0.000000,0.001173,0.000036,0.001347,0.000001,0.274667
0.063212,0.002114,0.000000,0.003099,0.211209,0.001782,0.000000,0.001460,0.000013,0.002207,0.000001,0.285096
0.060990,0.002878,0.000001,0.002807,0.247968,0.002273,0.000001,0.001724,0.000015,0.002187,0.000001,0.320844
0.089667,0.002083,0.000001,0.001513,0.195312,0.001856,0.000000,0.001045,0.000007,0.001120,0.000001,0.292604
0.067170,0.010949,0.000001,0.002936,0.178209,0.001690,0.000000,0.000974,0.000008,0.001103,0.000001,0.263041
0.072923,0.002101,0.000000,0.002553,0.260236,0.001698,0.000000,0.000996,0.000008,0.001133,0.000001,0.341649
0.063717,0.002155,0.000001,0.002458,0.203945,0.001656,0.000001,0.002316,0.000008,0.001125,0.000001,0.277381
0.059717,0.002010,0.000001,0.003129,0.292595,0.001785,0.000000,0.001030,0.000006,0.001116,0.000001,0.361389
0.064349,0.001938,0.000001,0.001818,0.169305,0.002400,0.000001,0.001786,0.000032,0.001794,0.000001,0.243424
0.094271,0.002086,0.000001,0.002402,0.242229,0.001537,0.000000,0.001135,0.000012,0.001155,0.000001,0.344830
0.075905,0.002049,0.000001,0.003053,0.241350,0.002358,0.000000,0.001011,0.000007,0.001128,0.000001,0.326863
0.098015,0.002279,0.000001,0.002103,0.323950,0.001787,0.000000,0.001036,0.000011,0.001410,0.000001,0.430594
0.070598,0.002033,0.000003,0.003184,0.196891,0.001748,0.000000,0.001470,0.000011,0.001114,0.000001,0.277054
0.063707,0.001970,0.000001,0.002383,0.254555,0.001758,0.000001,0.000943,0.000007,0.001083,0.000000,0.326408
0.065876,0.002024,0.000001,0.003091,0.199739,0.001781,0.000000,0.001064,0.000008,0.001151,0.000001,0.274736
0.075383,0.002096,0.000001,0.002455,0.253372,0.001659,0.000000,0.001112,0.000009,0.001235,0.000001,0.337323
0.065385,0.002030,0.000001,0.002866,0.203038,0.001742,0.000000,0.001117,0.000007,0.001190,0.000001,0.277376
0.071173,0.010500,0.000000,0.002757,0.283432,0.001844,0.000000,0.001244,0.000013,0.001611,0.000001,0.372576
0.070485,0.004769,0.000001,0.002341,0.336138,0.001826,0.000000,0.001125,0.000010,0.001316,0.000001,0.418012
0.058188,0.002192,0.000001,0.002700,0.263639,0.001974,0.000000,0.001542,0.000012,0.002951,0.000001,0.333200
0.062152,0.002375,0.000001,0.002343,0.230714,0.001823,0.000000,0.002188,0.000008,0.003183,0.000001,0.304787
0.061772,0.002132,0.000001,0.002512,0.248133,0.002069,0.000000,0.001014,0.000007,0.001110,0.000001,0.318752
