Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.036596,0.003492,0.000001,0.003250,0.194299,0.001784,0.000000,0.001212,0.000008,0.001432,0.000001,0.242075
0.055056,0.002063,0.000000,0.002260,0.176845,0.001633,0.000000,0.000989,0.000006,0.001378,0.000001,0.240232
0.064960,0.002057,0.000000,0.002628,0.237090,0.001886,0.000000,0.001084,0.000009,0.001265,0.000001,0.310981
0.082150,0.001810,0.000000,0.003123,0.194461,0.001813,0.000000,0.001069,0.000009,0.001705,0.000001,0.286142
0.068648,0.002562,0.000001,0.002351,0.182159,0.001820,0.000000,0.001115,0.000009,0.001161,0.000001,0.259826
0.071748,0.002060,0.000000,0.003028,0.243683,0.001656,0.000000,0.001116,0.000010,0.001263,0.000001,0.324565
0.064506,0.002345,0.000000,0.002851,0.261541,0.001715,0.000000,0.001334,0.000009,0.001322,0.000001,0.335625
0.087485,0.003493,0.000001,0.002173,0.191527,0.001833,0.000000,0.000984,0.000009,0.001116,0.000001,0.288622
0.060802,0.002053,0.000001,0.003201,0.303369,0.001655,0.000000,0.001141,0.000011,0.001256,0.000001,0.373491
0.091227,0.002325,0.000001,0.002448,0.216243,0.001745,0.000000,0.000991,0.000007,0.001071,0.000001,0.316060
0.092975,0.002051,0.000001,0.002439,0.271792,0.001789,0.000000,0.001655,0.000010,0.001237,0.000001,0.373950
0.061823,0.007093,0.000001,0.002481,0.206936,0.001793,0.000000,0.001439,0.000008,0.001220,0.000001,0.282795
0.076086,0.002019,0.000001,0.002532,0.263913,0.001977,0.000001,0.001149,0.000008,0.001132,0.000001,0.348820
0.062399,0.002041,0.000000,0.002366,0.192997,0.001761,0.000001,0.001301,0.000007,0.001105,0.000001,0.263979
0.084716,0.002165,0.000000,0.002195,0.312435,0.005762,0.000001,0.000999,0.000010,0.001124,0.000001,0.409409
0.067068,0.001991,0.000000,0.002547,0.296276,0.001796,0.000000,0.001031,0.000008,0.001142,0.000001,0.371862
0.061162,0.002055,0.000001,0.002089,0.228733,0.001784,0.000000,0.000984,0.000008,0.001155,0.000001,0.297972
0.061184,0.013496,0.000000,0.002504,0.268591,0.001734,0.000000,0.000951,0.000008,0.001091,0.000001,0.349560
0.077377,0.030011,0.000001,0.002328,0.234112,0.001784,0.000001,0.001198,0.000010,0.001184,0.000001,0.348006
0.062936,0.023467,0.000001,0.002556,0.206182,0.001849,0.000000,0.001077,0.000007,0.001177,0.000001,0.299252
0.085044,0.002622,0.000001,0.002612,0.197843,0.001849,0.000001,0.001099,0.000006,0.001231,0.000001,0.292308
0.073375,0.002090,0.000001,0.002547,0.248659,0.001873,0.000001,0.001197,0.000010,0.001340,0.000001,0.331094
0.058729,0.054027,0.000000,0.002464,0.322237,0.001814,0.000000,0.001127,0.000011,0.001826,0.000001,0.442237
0.067260,0.002075,0.000001,0.002386,0.261646,0.001888,0.000001,0.001098,0.000007,0.001129,0.000001,0.337491
0.073573,0.004071,0.000001,0.002297,0.195998,0.001687,0.000000,0.001061,0.000005,0.001448,0.000001,0.280143
0.075197,0.002002,0.000001,0.002593,0.283124,0.001873,0.000000,0.001022,0.000008,0.001109,0.000001,0.366929
0.073242,0.002230,0.000001,0.002619,0.286578,0.001817,0.000000,0.001045,0.000007,0.001197,0.000001,0.368737
0.063266,0.002116,0.000001,0.002938,0.205345,0.001521,0.000000,0.000984,0.000010,0.001101,0.000001,0.277284
0.065226,0.002092,0.000001,0.002629,0.244021,0.001945,0.000001,0.001072,0.000008,0.001145,0.000001,0.318139
0.064152,0.012164,0.000000,0.002464,0.205069,0.001794,0.000000,0.001223,0.000007,0.001186,0.000001,0.288062
0.061008,0.035500,0.000000,0.002551,0.259704,0.001902,0.000001,0.001107,0.000010,0.001219,0.000001,0.363003
0.086938,0.002167,0.000001,0.002210,0.214356,0.001714,0.000000,0.001195,0.000010,0.001136,0.000001,0.309729
0.085624,0.002147,0.000001,0.002699,0.266812,0.001904,0.000001,0.001054,0.000008,0.001380,0.000001,0.361630
0.069277,0.001943,0.000001,0.002556,0.198679,0.001848,0.000001,0.001288,0.000007,0.001093,0.000001,0.276692
0.081492,0.002778,0.000001,0.002653,0.251337,0.001824,0.000000,0.000983,0.000008,0.001081,0.000001,0.342159
0.071513,0.002068,0.000001,0.002428,0.202439,0.001559,0.000000,0.000971,0.000008,0.001058,0.000001,0.282046
0.062395,0.002149,0.000001,0.002183,0.238726,0.002244,0.000000,0.001407,0.000009,0.001158,0.000001,0.310273
0.061744,0.002329,0.000001,0.002492,0.211992,0.001775,0.000001,0.001394,0.000007,0.001279,0.000001,0.283015
0.068957,0.002042,0.000001,0.002512,0.282741,0.001954,0.000001,0.001123,0.000007,0.001584,0.000002,0.360924
0.061215,0.016496,0.000000,0.002139,0.223513,0.001745,0.000000,0.001076,0.000011,0.001135,0.000001,0.307332
0.071106,0.002140,0.000001,0.002632,0.206986,0.001823,0.000000,0.001042,0.000008,0.001101,0.000001,0.286841
0.066273,0.002719,0.000001,0.002497,0.195061,0.001869,0.000001,0.001122,0.000009,0.001085,0.000001,0.270636
0.063120,0.002256,0.000001,0.002598,0.292228,0.001804,0.000001,0.001057,0.000010,0.001534,0.000001,0.364610
0.081097,0.002123,0.000001,0.002509,0.201039,0.001772,0.000000,0.001057,0.000006,0.001064,0.000001,0.290668
0.061820,0.002006,0.000001,0.002701,0.272206,0.001936,0.000001,0.001032,0.000006,0.001071,0.000001,0.342780
0.071256,0.002102,0.000001,0.002191,0.261647,0.001863,0.000001,0.001962,0.000013,0.002176,0.000001,0.343214
0.060445,0.001902,0.000001,0.002721,0.198835,0.001891,0.000000,0.001130,0.000011,0.001151,0.000001,0.268088
0.062827,0.002062,0.000001,0.002471,0.230472,0.001858,0.000001,0.001083,0.015026,0.001570,0.000001,0.317371
0.066253,0.002050,0.000000,0.002574,0.298362,0.001932,0.000001,0.001333,0.000009,0.001076,0.000001,0.373591
0.081146,0.001856,0.000001,0.002499,0.200109,0.001873,0.000001,0.000976,0.000008,0.001099,0.000001,0.289568
0.070539,0.002009,0.000001,0.002381,0.216803,0.001777,0.000000,0.000990,0.000008,0.001039,0.000001,0.295547
0.084180,0.002113,0.000001,0.002155,0.215942,0.003412,0.000000,0.000947,0.000006,0.001040,0.000001,0.309798
0.075077,0.003286,0.000001,0.002223,0.190499,0.001270,0.000000,0.000937,0.000006,0.000990,0.000001,0.274290
0.069268,0.002255,0.000001,0.002667,0.192090,0.001684,0.000000,0.001005,0.000009,0.001064,0.000001,0.270045
0.079277,0.004014,0.000001,0.002678,0.283392,0.001853,0.000001,0.001033,0.000006,0.001050,0.000001,0.373305
0.067460,0.002187,0.000001,0.002536,0.238224,0.001737,0.000000,0.000998,0.000009,0.001036,0.000001,0.314189
0.079819,0.001941,0.000001,0.002157,0.184921,0.001814,0.000000,0.001020,0.000008,0.001357,0.000001,0.273040
0.068008,0.002082,0.000001,0.002640,0.189506,0.001801,0.000000,0.000971,0.000008,0.001089,0.000001,0.266105
0.061832,0.001900,0.000001,0.002400,0.270936,0.001826,0.000001,0.000993,0.000010,0.001343,0.000001,0.341242
0.063345,0.002483,0.000001,0.002082,0.183631,0.001890,0.000000,0.001617,0.000011,0.001282,0.000001,0.256343
0.065357,0.002098,0.000001,0.002536,0.242804,0.001866,0.000001,0.001153,0.000011,0.001150,0.000001,0.316978
0.079480,0.003113,0.000001,0.002264,0.186465,0.001870,0.000001,0.001331,0.000016,0.001209,0.000002,0.275751
0.086581,0.002096,0.000001,0.002603,0.187341,0.001852,0.000000,0.001012,0.000006,0.001035,0.000001,0.282529
0.076484,0.002104,0.000001,0.002337,0.176357,0.001685,0.000000,0.001149,0.000006,0.001117,0.000001,0.261241
0.079874,0.003260,0.000000,0.002473,0.261982,0.001778,0.000000,0.001295,0.000007,0.001123,0.000001,0.351794
0.064551,0.002426,0.000001,0.002213,0.237242,0.002265,0.000001,0.001348,0.000006,0.001096,0.000001,0.311150
0.069421,0.003959,0.000001,0.002759,0.285598,0.001859,0.000000,0.001058,0.000007,0.001126,0.000001,0.365789
0.081638,0.001979,0.000001,0.002779,0.197716,0.001713,0.000000,0.001315,0.000009,0.001177,0.000001,0.288327
0.075298,0.002116,0.000001,0.002330,0.275899,0.001734,0.000001,0.000970,0.000008,0.001002,0.000001,0.359357
0.080976,0.001884,0.000000,0.002270,0.179912,0.001711,0.000000,0.001028,0.000009,0.001115,0.000001,0.268907
0.071496,0.002128,0.000001,0.002372,0.275277,0.001835,0.000000,0.000984,0.000008,0.001462,0.000001,0.355564
0.068948,0.002621,0.000000,0.002752,0.205920,0.001794,0.000001,0.001005,0.000011,0.001004,0.000001,0.284058
0.064732,0.001862,0.000000,0.002140,0.209334,0.001917,0.000000,0.001053,0.000007,0.001046,0.000001,0.282092
0.084803,0.002007,0.000001,0.002316,0.216544,0.002855,0.000001,0.002290,0.000019,0.002289,0.000002,0.313126
0.087859,0.002139,0.000001,0.002556,0.244918,0.001672,0.000000,0.001195,0.000009,0.001121,0.000001,0.341472
0.075270,0.006963,0.000001,0.002224,0.228015,0.001824,0.000001,0.001150,0.000008,0.001124,0.000001,0.316581
