Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.092525,0.002142,0.000001,0.002245,0.193470,0.001846,0.000000,0.001270,0.000006,0.001034,0.000001,0.294541
0.073959,0.001979,0.000001,0.002292,0.256441,0.001812,0.000000,0.001059,0.000008,0.001039,0.000000,0.338591
0.100456,0.002810,0.000001,0.002486,0.200979,0.001916,0.000001,0.001049,0.000009,0.001075,0.000001,0.310781
0.081694,0.002082,0.000001,0.002157,0.188805,0.001973,0.000000,0.001421,0.000011,0.001609,0.000001,0.279753
0.059243,0.001736,0.000001,0.002062,0.166935,0.002031,0.000001,0.001531,0.000007,0.001343,0.000001,0.234890
0.059280,0.002007,0.000000,0.002576,0.363471,0.001776,0.000001,0.002112,0.015016,0.001677,0.000001,0.447917
0.089312,0.002260,0.000001,0.002188,0.276698,0.002114,0.000001,0.008510,0.000009,0.002396,0.000001,0.383489
0.074839,0.001840,0.000001,0.002536,0.260764,0.001808,0.000001,0.002221,0.000012,0.002212,0.000001,0.346234
0.093456,0.002135,0.000001,0.002213,0.182425,0.002068,0.000001,0.000958,0.000008,0.001026,0.000001,0.284292
0.067733,0.001892,0.000001,0.002500,0.284795,0.001704,0.000000,0.000942,0.000007,0.000998,0.000001,0.360572
0.102806,0.002119,0.000001,0.002473,0.194438,0.001838,0.000000,0.000956,0.000008,0.001069,0.000001,0.305708
0.079471,0.028688,0.000001,0.002528,0.196945,0.001873,0.000000,0.001031,0.000007,0.001058,0.000001,0.311604
0.062591,0.002211,0.000001,0.002347,0.181749,0.001817,0.000001,0.001023,0.000011,0.002404,0.000001,0.254154
0.061174,0.034353,0.000001,0.002572,0.225974,0.001894,0.000001,0.001846,0.000009,0.001118,0.000001,0.328941
0.062846,0.005524,0.000001,0.001834,0.248894,0.001854,0.000000,0.000988,0.000008,0.001112,0.000001,0.323063
0.063272,0.002083,0.000001,0.002526,0.247801,0.001809,0.000000,0.001294,0.000009,0.001453,0.000001,0.320248
0.073561,0.002200,0.000001,0.002698,0.250176,0.001886,0.000001,0.001088,0.000008,0.001154,0.000001,0.332772
0.085377,0.002639,0.000001,0.002640,0.195981,0.002041,0.000001,0.001088,0.000010,0.001127,0.000001,0.290904
0.059973,0.002125,0.000001,0.002268,0.280687,0.001871,0.000000,0.001445,0.000009,0.001123,0.000001,0.349502
0.080604,0.002221,0.000001,0.002614,0.193293,0.001968,0.000001,0.001403,0.000012,0.001659,0.000000,0.283775
0.070609,0.002003,0.000001,0.002331,0.242085,0.001499,0.000001,0.000999,0.000008,0.001277,0.000001,0.320814
0.064091,0.002134,0.000001,0.002191,0.257962,0.001940,0.000000,0.001062,0.000008,0.001042,0.000000,0.330431
0.079836,0.002282,0.000000,0.002173,0.186376,0.001772,0.000000,0.001098,0.000010,0.001110,0.000001,0.274659
0.062101,0.001933,0.000001,0.002538,0.187956,0.001806,0.000001,0.000986,0.000009,0.000983,0.000001,0.258315
0.102933,0.002045,0.000001,0.002104,0.232174,0.003734,0.000001,0.001225,0.000010,0.001185,0.000001,0.345413
0.091539,0.002140,0.000001,0.002514,0.299176,0.001927,0.000001,0.001010,0.000007,0.001012,0.000001,0.399326
0.096908,0.001944,0.000001,0.002437,0.191124,0.002118,0.000000,0.000948,0.000008,0.001019,0.000001,0.296508
0.068706,0.001821,0.000001,0.002065,0.197638,0.001784,0.000000,0.001678,0.000011,0.001011,0.000001,0.274716
0.062782,0.013407,0.000000,0.002076,0.176114,0.001749,0.000000,0.001016,0.000011,0.001069,0.000001,0.258225
