Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.039452,0.005439,0.000001,0.003352,0.202759,0.001764,0.000000,0.001126,0.000007,0.001247,0.000001,0.255148
0.054410,0.003561,0.000001,0.003103,0.203795,0.002276,0.000000,0.001051,0.000007,0.001069,0.000001,0.269273
0.064389,0.002692,0.000001,0.002167,0.233641,0.002130,0.000001,0.001069,0.000009,0.001278,0.000001,0.307377
0.072365,0.003101,0.000001,0.002337,0.235096,0.001865,0.000000,0.001017,0.000009,0.001148,0.000001,0.316941
0.067499,0.002044,0.000000,0.003124,0.299307,0.001625,0.000000,0.001221,0.000010,0.001163,0.000001,0.375996
0.106345,0.002131,0.000001,0.002352,0.197930,0.001722,0.000000,0.000999,0.000007,0.001403,0.000001,0.312891
0.078174,0.001831,0.000000,0.002100,0.196965,0.001820,0.000000,0.001009,0.000007,0.001135,0.000000,0.283042
0.097994,0.002104,0.000000,0.003073,0.274918,0.001756,0.000000,0.001357,0.000012,0.001127,0.000001,0.382344
0.065721,0.002184,0.000000,0.002661,0.189153,0.001812,0.000000,0.001005,0.000006,0.001097,0.000000,0.263639
0.070525,0.002274,0.000000,0.002767,0.256160,0.002315,0.000001,0.001510,0.000013,0.001652,0.000001,0.337218
0.075869,0.002082,0.000000,0.002364,0.213316,0.001971,0.000001,0.001399,0.000008,0.001135,0.000001,0.298145
0.080675,0.022158,0.000000,0.002393,0.199732,0.001587,0.000000,0.001216,0.000011,0.001159,0.000001,0.308933
0.066309,0.002939,0.000001,0.002356,0.175277,0.001390,0.000000,0.000964,0.000006,0.001017,0.000001,0.250259
0.079239,0.002044,0.000001,0.002620,0.213718,0.001754,0.000001,0.000973,0.000007,0.001123,0.000001,0.301479
0.075547,0.002727,0.000001,0.002206,0.184512,0.001755,0.000000,0.000973,0.000007,0.001102,0.000001,0.268830
0.066330,0.001964,0.000001,0.002384,0.276121,0.001764,0.000000,0.001086,0.000012,0.001168,0.000001,0.350831
0.083891,0.002180,0.000001,0.002396,0.402753,0.001717,0.000000,0.001022,0.000010,0.001768,0.000001,0.495739
0.080808,0.002381,0.000001,0.002229,0.234487,0.001756,0.000000,0.001266,0.000011,0.001339,0.000001,0.324278
0.060824,0.002153,0.000001,0.001941,0.205383,0.001841,0.000000,0.001163,0.000006,0.001627,0.000002,0.274941
0.080842,0.002124,0.000001,0.002591,0.285297,0.001869,0.000001,0.001070,0.000009,0.001130,0.000001,0.374934
0.065958,0.010736,0.000000,0.002522,0.298278,0.001778,0.000000,0.001235,0.000011,0.001197,0.000001,0.381717
0.087468,0.003214,0.000001,0.002686,0.243814,0.001806,0.000000,0.001150,0.000011,0.001439,0.000001,0.341590
0.071897,0.002084,0.000001,0.001698,0.232006,0.001822,0.000001,0.001079,0.000006,0.001181,0.000001,0.311775
0.072458,0.002114,0.000001,0.002241,0.228066,0.001868,0.000000,0.001160,0.000010,0.001230,0.000001,0.309148
0.078529,0.002071,0.000001,0.002559,0.263254,0.001803,0.000000,0.001343,0.000013,0.002395,0.000001,0.351969
0.061757,0.010123,0.000000,0.002495,0.205900,0.001927,0.000000,0.001941,0.000009,0.001281,0.000000,0.285435
0.065859,0.019012,0.000000,0.002594,0.303128,0.001756,0.000000,0.000993,0.000006,0.001151,0.000001,0.394501
0.068189,0.004500,0.000000,0.002415,0.216625,0.001761,0.000000,0.001380,0.000011,0.001335,0.000001,0.296218
0.065716,0.003383,0.000001,0.002306,0.194770,0.001772,0.000000,0.001175,0.000007,0.001358,0.000001,0.270488
0.072160,0.010990,0.000000,0.002238,0.283622,0.001729,0.000000,0.001316,0.000009,0.001592,0.000001,0.373658
0.077151,0.002038,0.000001,0.002617,0.325504,0.001737,0.000000,0.000994,0.000010,0.001125,0.000001,0.411177
0.075753,0.026924,0.000000,0.002625,0.201892,0.001947,0.000000,0.000975,0.000009,0.001084,0.000001,0.311212
0.075418,0.006015,0.000001,0.002867,0.202529,0.001900,0.000001,0.001004,0.000009,0.001065,0.000001,0.290808
0.061233,0.006970,0.000000,0.001932,0.189540,0.001727,0.000000,0.001153,0.000009,0.001269,0.000001,0.263833
0.069305,0.002147,0.000001,0.002363,0.286075,0.001739,0.000001,0.001061,0.000009,0.001113,0.000001,0.363813
0.063038,0.001960,0.000001,0.002511,0.301311,0.002211,0.000000,0.000947,0.000010,0.001095,0.000001,0.373084
0.062050,0.002031,0.000001,0.002306,0.191099,0.001759,0.000000,0.001009,0.000006,0.001084,0.000001,0.261347
0.060516,0.032989,0.000001,0.002260,0.266365,0.001753,0.000001,0.000935,0.000008,0.001152,0.000001,0.365979
0.060684,0.010941,0.000000,0.002494,0.265576,0.001736,0.000000,0.000941,0.000010,0.001063,0.000001,0.343447
0.083126,0.002140,0.000001,0.002751,0.203766,0.001818,0.000001,0.001009,0.000006,0.001099,0.000001,0.295717
0.071092,0.002407,0.000001,0.002461,0.203762,0.001853,0.000001,0.001056,0.000008,0.001023,0.000001,0.283664
