Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.037682,0.006190,0.000001,0.003428,0.202686,0.002038,0.000000,0.001159,0.000007,0.001307,0.000001,0.254500
0.054649,0.002573,0.000001,0.003177,0.202419,0.001820,0.000000,0.001079,0.000007,0.001535,0.000001,0.267263
0.072024,0.005078,0.000001,0.002494,0.181552,0.001727,0.000001,0.000990,0.000009,0.001117,0.000001,0.264994
0.075499,0.002988,0.000001,0.002404,0.176883,0.002137,0.000000,0.001073,0.000009,0.001175,0.000001,0.262169
0.072529,0.002272,0.000000,0.003088,0.197340,0.002507,0.000001,0.002176,0.000014,0.001580,0.000001,0.281510
0.080012,0.001959,0.000000,0.002690,0.240751,0.001475,0.000000,0.001024,0.000008,0.001584,0.000001,0.329504
0.080811,0.002413,0.000001,0.002630,0.207169,0.002325,0.000001,0.002213,0.000015,0.002286,0.000001,0.299864
0.070140,0.002497,0.000001,0.001588,0.190870,0.002610,0.000001,0.001663,0.000011,0.001781,0.000001,0.271161
0.058897,0.002318,0.000000,0.003194,0.303320,0.002254,0.000001,0.001539,0.000019,0.001777,0.000001,0.373321
0.058421,0.001973,0.000000,0.002530,0.223614,0.001695,0.000000,0.001280,0.000008,0.002247,0.000001,0.291769
0.061473,0.001966,0.000001,0.002224,0.249915,0.001856,0.000000,0.001004,0.000008,0.001102,0.000001,0.319550
0.062757,0.001926,0.000000,0.002234,0.191289,0.001913,0.000001,0.001110,0.000010,0.001197,0.000001,0.262437
0.065896,0.003489,0.000001,0.002568,0.181757,0.001341,0.000000,0.001018,0.000006,0.001200,0.000001,0.257277
0.079072,0.001990,0.000001,0.002653,0.237179,0.001813,0.000001,0.001361,0.000009,0.001112,0.000001,0.325192
0.088954,0.002142,0.000001,0.002794,0.278000,0.001734,0.000001,0.000956,0.000007,0.001110,0.000001,0.375699
0.086265,0.001998,0.000001,0.002321,0.191354,0.001770,0.000000,0.001063,0.000011,0.001181,0.000001,0.285965
0.069158,0.002034,0.000001,0.002823,0.222181,0.001727,0.000000,0.001312,0.000009,0.001953,0.000001,0.301197
0.069945,0.001983,0.000001,0.002565,0.276129,0.001774,0.000000,0.001012,0.000007,0.001077,0.000001,0.354495
0.060867,0.002466,0.000001,0.002545,0.265667,0.001815,0.000000,0.001057,0.000006,0.001216,0.000001,0.335642
0.095061,0.002458,0.000001,0.002301,0.202855,0.001857,0.000000,0.001179,0.000009,0.001263,0.000001,0.306983
0.062859,0.002375,0.000000,0.002177,0.310173,0.001826,0.000000,0.001140,0.000010,0.001370,0.000001,0.381931
0.064720,0.002089,0.000001,0.002581,0.203557,0.001844,0.000001,0.001118,0.000009,0.001203,0.000001,0.277124
0.070871,0.002477,0.000001,0.002163,0.201504,0.001793,0.000000,0.001309,0.000012,0.002277,0.000001,0.282409
0.077627,0.002358,0.000000,0.002314,0.294816,0.002611,0.000001,0.001520,0.000011,0.002401,0.000001,0.383660
0.059834,0.002056,0.000001,0.003294,0.292351,0.001828,0.000001,0.001036,0.000006,0.001403,0.000000,0.361810
0.071648,0.002462,0.000001,0.002656,0.247536,0.001760,0.000000,0.001042,0.000009,0.001134,0.000001,0.328249
0.073239,0.002033,0.000001,0.002255,0.255234,0.002257,0.000001,0.001176,0.000011,0.001236,0.000001,0.337443
0.065414,0.005528,0.000000,0.002575,0.248351,0.001905,0.000000,0.001082,0.000008,0.001146,0.000001,0.326010
0.064455,0.011566,0.000000,0.002766,0.204716,0.001983,0.000001,0.001414,0.000009,0.001158,0.000001,0.288070
0.074474,0.005429,0.000000,0.002653,0.255833,0.001803,0.000001,0.001031,0.000010,0.001251,0.000001,0.342486
0.108102,0.002104,0.000001,0.002366,0.248942,0.001794,0.000000,0.001173,0.000011,0.001169,0.000001,0.365663
0.070399,0.002076,0.000000,0.003110,0.236476,0.001899,0.000001,0.001441,0.000012,0.001275,0.000001,0.316688
0.077224,0.002091,0.000001,0.002183,0.226551,0.001775,0.000001,0.001029,0.000009,0.001254,0.000001,0.312119
0.088406,0.002064,0.000001,0.002492,0.298043,0.001830,0.000001,0.001052,0.000006,0.001125,0.000001,0.395020
0.076617,0.002040,0.000001,0.002250,0.200554,0.001871,0.000000,0.001050,0.000011,0.001454,0.000001,0.285849
0.072989,0.002145,0.000001,0.002393,0.185660,0.001708,0.000001,0.001311,0.000010,0.001463,0.000001,0.267680
0.065034,0.002314,0.000001,0.002391,0.298666,0.002144,0.000001,0.001410,0.000011,0.001137,0.000001,0.373108
0.065549,0.002018,0.000001,0.002133,0.256325,0.002677,0.000000,0.000977,0.000008,0.001145,0.000000,0.330833
0.077030,0.013528,0.000000,0.002668,0.193071,0.001740,0.000000,0.001062,0.000011,0.001179,0.000001,0.290291
0.074526,0.002438,0.000001,0.002134,0.192594,0.001455,0.000001,0.001128,0.000006,0.001086,0.000001,0.275368
0.081004,0.017065,0.000000,0.002401,0.278881,0.001818,0.000001,0.001004,0.000007,0.001069,0.000001,0.383251
0.071544,0.002055,0.000001,0.002563,0.209413,0.001822,0.000000,0.001070,0.000006,0.001038,0.000001,0.289513
0.080393,0.002508,0.000001,0.002598,0.203686,0.001825,0.000000,0.001027,0.000008,0.001072,0.000001,0.293117
0.060582,0.002567,0.000001,0.002654,0.259282,0.002390,0.000000,0.000964,0.000011,0.001130,0.000001,0.329581
