Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.043749,0.005502,0.000001,0.003278,0.203325,0.002010,0.000001,0.001472,0.000012,0.001282,0.000001,0.260632
0.056656,0.002276,0.000000,0.003092,0.193205,0.001805,0.000000,0.001045,0.000009,0.001129,0.000001,0.259217
0.091135,0.002198,0.000000,0.002155,0.178558,0.001691,0.000000,0.000983,0.000010,0.001167,0.000001,0.277898
0.076108,0.002051,0.000000,0.002488,0.177726,0.001789,0.000000,0.001034,0.000010,0.001171,0.000001,0.262378
0.067078,0.003176,0.000001,0.003284,0.199683,0.002063,0.000000,0.001137,0.000010,0.001269,0.000001,0.277703
0.078334,0.002125,0.000000,0.002794,0.264512,0.002181,0.000001,0.000985,0.000008,0.001075,0.000001,0.352014
0.075187,0.003412,0.000001,0.003522,0.311281,0.002504,0.000001,0.003269,0.000013,0.002165,0.000001,0.401357
0.066210,0.002121,0.000001,0.002619,0.256288,0.002324,0.000001,0.003796,0.000041,0.001659,0.000001,0.335060
0.073217,0.002008,0.000001,0.001528,0.194902,0.001792,0.000001,0.000980,0.000007,0.001085,0.000001,0.275522
0.063925,0.002422,0.000001,0.003034,0.263336,0.001753,0.000000,0.001017,0.000009,0.001129,0.000001,0.336627
0.066062,0.002045,0.000001,0.002206,0.229870,0.001752,0.000000,0.000969,0.000011,0.001180,0.000001,0.304096
0.061884,0.019330,0.000000,0.002445,0.199175,0.001739,0.000000,0.001264,0.000006,0.001099,0.000001,0.286944
0.062426,0.002076,0.000001,0.002232,0.189353,0.001741,0.000001,0.001268,0.000019,0.001210,0.000001,0.260328
0.061387,0.037781,0.000001,0.003369,0.182090,0.001700,0.000000,0.000959,0.000008,0.001058,0.000001,0.288354
0.062256,0.004910,0.000001,0.002280,0.242150,0.001711,0.000000,0.001170,0.000011,0.001263,0.000001,0.315754
0.073441,0.002168,0.000001,0.002206,0.370153,0.002081,0.000001,0.000969,0.000009,0.001067,0.000001,0.452096
0.061204,0.002104,0.000001,0.002479,0.192028,0.001779,0.000001,0.001099,0.000009,0.001167,0.000001,0.261871
0.061580,0.002237,0.000001,0.002533,0.275294,0.001871,0.000000,0.000976,0.000006,0.001105,0.000001,0.345604
0.061640,0.002019,0.000001,0.002605,0.260392,0.001820,0.000000,0.001033,0.000009,0.001153,0.000001,0.330672
0.090391,0.002176,0.000001,0.002067,0.194278,0.001862,0.000000,0.001014,0.000006,0.001161,0.000001,0.292958
0.088474,0.002205,0.000001,0.002630,0.288629,0.001825,0.000000,0.001167,0.000010,0.001632,0.000001,0.386574
0.094320,0.002220,0.000001,0.002607,0.243399,0.001893,0.000001,0.001243,0.000010,0.001237,0.000001,0.346930
0.059897,0.001913,0.000001,0.002260,0.221353,0.002110,0.000001,0.001047,0.000008,0.001070,0.000001,0.289660
0.074101,0.002138,0.000001,0.002508,0.267227,0.001773,0.000000,0.001399,0.000010,0.001193,0.000001,0.350352
0.070488,0.002717,0.000001,0.002636,0.204136,0.002134,0.000001,0.001645,0.000012,0.002081,0.000001,0.285851
